commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government
111CA_Farms,1046.717858182877,93.79108182877111,0,0,0,0.8211852067559697,22.641249271986023,5717.619314210833,206.29345515433897,0.46924868957483984,0,0.17596825859056495,0,0.05865608619685498,19.59113278974956,0,0,0.05865608619685498,0,0,0.05865608619685498,0,0.05865608619685498,0.05865608619685498,0,1.4077460687245196,89.56784362259755,6.510825567850903,0.46924868957483984,0,0.3519365171811299,0.05865608619685498,4.575174723354689,0,1.1731217239370997,0.11731217239370996,0.11731217239370996,4.399206464764124,18.066074548631335,1.7596825859056493,5.982920792079208,108.51375946418172,4.457862550960979,0.7038730343622598,-13.960148514851484,0.23462434478741992,42.115069889341875
113FF_Forestry_fishing_and_related_activities,2088.710660649552,767.4988532958497,0.37375157209439963,4.485018865132796,0.5606273581415995,17.753199674483984,30.83450469778797,518.5803062809795,43.542058148997555,59.42649996300954,1798.3056891322037,610.8969445882962,3.363764148849597,1.4950062883775985,53.63335059554635,205.750240437967,2.6162610046607973,4.671894651179995,2.429385218613598,3.176888362802397,5.606273581415994,7.475031441887992,3.176888362802397,4.111267293038396,5.419397795368795,44.28956129318636,24.106976400088776,38.870163497817565,10.65191980469039,0,14.950062883775987,7.288155655840793,0,1.868757860471998,6.727528297699194,0,12.894429237256787,46.34519493970556,81.66471850262631,13.641932381445587,55.688984242065544,316.9413331360509,20.36946067914478,5.793149367463195,11.399422948879188,33.637641488495966,34.385144632684764
211_Oil_and_gas_extraction,0,0,929.8289413060335,0,0,5871.390090687404,0,0,0,0,0,0,0,19476.90298582939,942.4357490419949,33.20817647521548,0,3.997280501646308,0,0,0,0,0,0,0,0,0.30748311551125446,0,288.1116792340454,0,0,0,0,0,0,1.8448986930675266,0,0,0,0,0,0,0,0,0.9224493465337633,26.136064818456628,0
212_Mining_except_oil_and_gas,34.486729019211324,0.10083838894506235,0.10083838894506235,563.6865942028985,2.4201213346814963,1113.9616826761037,413.33655628581056,16.840010953825413,4.941081058308055,0.8067071115604988,1.5125758341759352,80.0656808223795,1.3108990562858105,36.10014324233232,360.9005940343782,5.848626558813616,505.4020053926525,988.216211661611,8.369586282440174,13.915697674418604,17.344202898550723,17.041687731715538,71.39357937310415,8.571263060330299,0.9075455005055612,75.62879170879677,2.319282945736434,2.016767778901247,6.957848837209301,0,8.268747893495112,0.5041919447253117,59.9988414223121,0.30251516683518703,0.10083838894506235,0.30251516683518703,1.3108990562858105,1.71425261206606,2.7226365015166833,0.2016767778901247,1.2100606673407481,0.9075455005055612,1.8150910010111223,104.36773255813954,4.941081058308055,116.7708543983822,21.781092012133467
213_Support_activities_for_mining,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,15.55697479573766,0.4687750321493983,10.885115153299589,21.14254848389066,0.9216593852428848,1.2235822873052091,9.939619749472836,31.582724623624717,13.364061086021831,4.878438470164925,8.30287980671392,29.683788476443258,7.095188198464622,14.555862015215215,77.42733369993029,20.808844223716513,25.679337354353482,65.8033019705308,20.602265395989658,14.325447168904494,18.631821193056595,7.691088663061315,16.939463873601987,8.430005239161215,3.8375989920027016,6.3006542456690315,34.530445588496356,86.50091144085593,12.974739449151992,0.8024792923235463,9.375500642987966,15.183543837923732,14.484353959463613,3.718418899083363,10.742099041796383,12.013353366269326,12.958848770096079,5.617355046264824,45.56652219282711,6.674085203482959,19.370737769156495,38.85271029170437,21.563651478872323,3.0271743601511996,14.984910349724835,48.97507285032019,112.82382129697383
23_Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311FT_Food_and_beverage_and_tobacco_products,983.0475513951178,12.8377569755892,0.22134063751015862,0.2951208500135448,0,0.1475604250067724,0,4626.093104174818,1.9182855250880413,72.59972910333202,0.368901062516931,31.50415073894591,0.368901062516931,3.3201095626523793,117.45809830539083,1.4018240375643378,2.213406375101586,0.737802125033862,0.8853625500406345,1.2542636125575655,0.737802125033862,0.44268127502031723,0.368901062516931,0.5902417000270896,1.9182855250880413,11.067031875507931,141.36288715648797,345.95541642837793,20.584679288444747,0,12.247515275562108,0.22134063751015862,0.5902417000270896,0.2951208500135448,7.96826295036571,0.0737802125033862,0.5902417000270896,6.566438912801372,498.90179694789754,60.64733467778346,235.72777894831893,3606.819468440538,56.36808235258706,26.78221713872919,78.5759263161063,0.22134063751015862,469.83239322156334
313TT_Textile_mills_and_textile_product_mills,59.461120816936365,25.94667090193587,0.21622225751613225,8.432668043129159,0,9.297557073193687,299.6840489173593,17.730225116322845,3544.0990229469235,3647.885706554667,25.298004129387472,190.05936435668025,58.38000952935571,3.8920006352903807,36.325339262710216,384.8756183787154,30.487338309774646,1.5135558026129257,0.6486667725483968,38.920006352903805,0.864889030064529,12.540890935935671,626.3958800242351,80.65090205351733,421.20095764142565,237.62826101022935,397.84895382968335,37.622672807807014,176.4373621331639,0,17.94644737383898,19.460003176451902,45.40667407838777,0.21622225751613225,3.89200063529038,0.21622225751613225,3.675778377774248,2.594667090193587,181.6266963135511,10.162446103258215,106.81379521296932,11.892224163387274,80.43467979600119,19.89244769148417,34.59556120258116,8.64889030064529,111.3544626208081
315AL_Apparel_and_leather_and_allied_products,10.493926009904186,3.037715423919633,1.3807797381452878,4.970807057323036,0,2.7615594762905755,31.481778029712558,4.418495162064921,25.406347181873294,3068.6448900540872,1.1046237905162302,5.246963004952093,26.787126920018583,0.8284678428871726,3.8661832668068055,6.351586795468323,3.8661832668068055,4.418495162064921,10.217770062275129,6.075430847839266,18.502448491146854,1.9330916334034027,101.07307683223506,3.3138713715486903,40.042612406213344,49.70807057323036,49.4319146256013,29.824842343938215,39.21414456332617,0,30.929466134454444,10.493926009904186,8.284678428871727,23.47325554846989,25.130191234244236,0,24.577879338986122,3.3138713715486903,180.32983380177458,30.100998291567272,33.96718155837408,23.197099600840833,252.95884802821672,5.523118952581151,121.23246100915627,11.046237905162302,322.5501468307392
