commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places
111CA_Farms,5969.269448126892,68.36672238370097,0,3.84562813408318,1.2818760446943933,0,217.06434356825062,22664.743523237845,194.31104377492514,0,0,0,0,0,812.7094123362454,0,0,0,0,0,0,0,0,0,0,30.978671080114506,140.25860389031155,217.59845858687328,11.857353413423139,0,0,0.10682300372453278,0.5341150186226639,0,71.89188150661056,2.6705750931133196,95.8202343409059,10.895946379902343,0,52.55691783247013,3.6319821266341146,173.3737350449167
113FF_Forestry_fishing_and_related_activities,4867.465468837732,1406.9162829870859,0,12.989023020774846,0,0,0,1674.2167040988209,0,8.887226277372264,2752.5334924199888,1112.2705502526671,10.482369455362157,3.873919146546884,76.56687254351488,318.11712521055586,0.22787759685569905,0,0,0,0,0,0,0,7.519960696238069,34.637394722066254,0,146.52529477821452,0.9115103874227962,0,0,0,0,0,44.89188658057272,2.2787759685569906,0.22787759685569905,15.267798989331837,0,37.144048287478945,97.30373385738349,735.5888826501965
211_Oil_and_gas_extraction,0,0,3906.8739637567387,3.2851578421330574,0,7264.71592314699,0,0,0,0,0,3.6958025723996895,0,96487.96033655976,905.4716302379239,0,0,4.1064473026663215,0,0,0,0,0,0,0,0,1.6425789210665287,12.319341907998965,1.6425789210665287,4.9277367631995865,13.551276098798862,0,0,0,16.83643394093192,0,0,5.749026223732851,12.319341907998965,7.802249875066011,0.8212894605332643,0
212_Mining_except_oil_and_gas,23.320087019579404,0.014430746918056563,0.47621464829586657,92.61653372008702,0.4184916606236403,124.36417693981146,216.53335750543872,13.26185641769398,0.7792603335750544,0,0.1154459753444525,15.556345177664975,0,26.69688179840464,49.45416968817984,1.2987672226250906,105.18571428571428,139.14126178390137,5.2816533720087016,1.255474981870921,0.04329224075416969,0.9379985496736766,0.7071065989847716,1.6595358955765047,0.2741841914430747,1.4142131979695431,0.14430746918056564,0.014430746918056563,1.7172588832487308,0.028861493836113125,6.796881798404641,0,0.4040609137055837,0,10.101522842639595,0.44735315445975343,5.757868020304569,3.2180565627266136,1.5873821609862218,10.28912255257433,0.6638143582306019,3.4200870195794053
213_Support_activities_for_mining,0,0,63.99146082870079,8.635222648862399,4.986761418992493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19118574130322655,0.007966072554301106,0,0,0,0,0,0
22_Utilities,17.7557293561295,0.47413322712961453,11.573330740959095,11.409064111087417,0.283733269778352,117.66717364308025,21.294928563364735,33.80532576109181,4.423999009044041,0.26506660729293413,6.940265112078373,21.115728603504724,4.924265563653241,19.670928927133378,58.8373201540372,18.689062480400395,13.454930319489218,23.370661431743205,16.81492956686444,7.918398226314271,4.651732291366139,2.882132687748523,11.76746403080744,4.4015990140615395,2.3482661406655714,3.3823992423577227,49.91465548600745,109.41650882452554,15.299196573048505,41.070390800416455,27.417593858581803,19.428262314822945,336.0372580624929,3.8527991369902534,17.957329310972014,29.82185998670363,13.820796904203409,23.124261486935687,63.94825234254462,12.476797205253321,22.54186161739065,69.26078448589456
23_Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311FT_Food_and_beverage_and_tobacco_products,5389.369250471147,59.89749411416013,0,0,0,0,0,31759.021468635885,2.1078297048971306,126.82108724464403,7.728708917956146,225.7134308994011,105.74279019567273,90.28537235976043,650.0898114853568,26.523523786622228,41.62963667171833,1.0539148524485653,0,0,0,0,0,0,0,1.0539148524485653,395.7450270944363,817.6622730246786,122.25412288403359,0,20.726992098155122,0,0,0,968.8990543510478,18.092204967033705,0,1074.1148871204962,4104.120087910122,920.5946236138219,1266.2786952169513,7961.4484478718705
313TT_Textile_mills_and_textile_product_mills,82.58543174687802,26.060291795681508,0,0.7340927266389157,0,0,783.6439856870425,55.424000861238135,3128.336154571739,607.8287776570222,212.15279799864663,1104.0754608649293,169.20837349027005,41.10919269177928,3.3034172698751205,920.1852328418807,150.4890089609777,0,0,353.09860151331844,0.36704636331945784,0.36704636331945784,1476.9945659974983,278.5881897594685,1001.6695254988005,731.8904484589989,617.371983103328,1783.111233005926,91.02749810322555,1.1011390899583735,53.22172268132139,0,76.34564357044724,68.27062357741916,93.59682264646175,2.202278179916747,104.60821354604548,15.048900896097772,1329.8089743063956,107.17753808928168,595.3492013041606,91.02749810322554
315AL_Apparel_and_leather_and_allied_products,21.078474420095347,0,0,0,0,1.859865390008413,0,6.819506430030848,334.15581507151154,871.6569127839429,0,0,779.9035535435279,9.91928208004487,0,0.6199551300028043,0.6199551300028043,0,0,0,0,0,1175.434926485317,0,0,35.95739754016265,433.96859100196303,601.976431232723,0,0,517.6625335523415,0,0,61.99551300028043,21.69842955009815,6.819506430030848,199.625551860903,44.01681423019911,683.8105083930932,80.59416690036456,6.819506430030848,54.55605144024678
