commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government
111CA_Farms,799.2902746844841,65.27394209354121,0,0,0,0,0,4029.3659985152194,85.87082405345213,0,0,0,0,0,8.380103934669636,0,0,0,0,0,0,0,0,0,0,1.8678544914625095,50.83593170007424,2.6755753526354864,0.1514476614699332,0,0,0,1.0096510764662212,0,0.20193021529324426,0.10096510764662213,0,4.644394951744618,14.63994060876021,1.8173719376391984,3.281365998515219,69.11061618411284,2.0193021529324424,0.35337787676317745,59.82182628062361,0,28.623608017817375
113FF_Forestry_fishing_and_related_activities,1167.625225923057,628.5347276013426,0.5706170926930029,12.553576039246064,0,6.990059385489285,20.827523883294603,417.4064033049316,37.80338239091144,16.975858507616834,1043.3733539891557,363.62574231861606,1.569197004905758,0.5706170926930029,39.6578879421637,135.94952233410794,0.8559256390395042,1.569197004905758,1.1412341853860057,0.8559256390395042,1.4265427317325072,2.7104311902917635,0.8559256390395042,0.8559256390395042,3.2810482829847665,2.995739736638265,13.124193131939066,17.83178414665634,4.9928995610637745,0,3.1383940098115155,2.567776917118513,0,0.7132713658662536,1.426542731732507,0,5.706170926930029,24.536534985799122,32.23986573715466,13.266847405112317,22.682029434546862,155.63581203201653,5.99147947327653,3.423702556158017,10.271107668474052,13.83746449780532,27.81758326878389
211_Oil_and_gas_extraction,0,0,1221.1352256058574,0,0,7804.052969421913,0,0,0,0,0,0,0,34988.611912791646,451.6293644923085,36.14173238218222,0,6.8299336785226235,0,0,0,0,0,0,0,0,0,0,488.34025801436763,0,0,0,0,0,0,0.8537417098153279,0,0,0,0,0,0,0,0,60.331080826949844,0,0
212_Mining_except_oil_and_gas,35.00918769141024,0.12823878275241846,0.12823878275241846,602.209323805357,4.744834961839483,1900.3705216080891,158.5031354819892,21.67235428515872,5.898984006611249,1.2823878275241847,2.3082980895435323,67.71007729327694,1.2823878275241847,55.527392931797195,320.3404793155413,7.309610616887852,431.0105488308784,956.4048417675368,12.182684361479753,22.698264547178066,14.234504885518449,26.288950464245783,45.268290311603714,14.490982451023285,0.8976714792669291,50.91079675271013,1.9235817412862768,2.436536872295951,10.130863837441057,0,6.66841670312576,0.38471634825725537,34.496232560400564,0.2564775655048369,0.2564775655048369,0.2564775655048369,1.5388653930290215,4.488357396334646,2.0518205240386953,0.38471634825725537,0.7694326965145107,0.8976714792669291,1.2823878275241847,77.45622478246075,26.160711681493364,125.28929074911284,38.98458995673521
213_Support_activities_for_mining,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,79.13598429062347,1.674030436917035,80.44477172312224,71.6485027000491,12.022582228767796,5.235149729995091,33.145802650957286,133.9833087874325,40.81590574374079,15.948944526264114,26.054000981836033,122.32596956308296,21.79283259695631,174.43397152675502,232.233676975945,56.67353951890034,109.45115365733922,253.05252822778596,82.54491899852725,50.12960235640648,66.44378988708885,27.180166912125674,56.85616102110947,33.11536573392243,10.348551791850761,14.33578792341679,116.54295532646047,289.6985763377516,36.37211585665194,2.6784486990672556,29.98036327933235,27.11929307805596,5.5699558173784975,9.709376534118801,30.589101620029453,28.45851742758959,31.95876288659794,20.057928325969563,130.63524791359842,17.40991654393716,52.83848797250859,98.40255277368679,33.571919489445264,5.904761904761904,53.84290623465881,287.96367206676484,296.8208149239077
23_Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311FT_Food_and_beverage_and_tobacco_products,531.4937106918238,6.356132075471698,0.30267295597484273,0.08647798742138364,0,0.04323899371069182,0.08647798742138364,2127.0990566037735,0.25943396226415094,22.873427672955973,0.12971698113207547,13.27437106918239,0.17295597484276728,1.5998427672955975,42.11477987421383,0.2161949685534591,0.8647798742138364,0.30267295597484273,0.3891509433962264,0.5188679245283019,0.47562893081761004,0.17295597484276728,0.12971698113207547,0.3891509433962264,1.210691823899371,4.929245283018868,39.39072327044025,135.03537735849056,9.988207547169809,0,8.34512578616352,0.17295597484276728,0.17295597484276728,0.08647798742138364,1.470125786163522,0,0.2161949685534591,7.566823899371069,205.21226415094335,24.559748427672957,75.92767295597484,1509.7759433962262,12.971698113207546,53.70283018867924,61.87499999999999,0.17295597484276728,191.89465408805032
313TT_Textile_mills_and_textile_product_mills,31.975003321817695,20.23734387456816,0.1349156258304544,4.047468774913632,0,6.880696917353175,150.70075405261758,8.22985317565772,1722.872541854903,1662.8350883603507,15.92004384799362,114.54336633005579,16.18987509965453,6.745781291522721,19.29293449375498,203.8575106298166,15.110550093010893,0.5396625033218176,5.936287536539994,18.3485251129418,0.2698312516609088,7.8251062981663555,182.94558862609617,47.08555341482859,179.43778235450438,163.78756975817166,240.2847296040393,44.3872408982195,104.96435689609353,0,9.848840685623172,14.301056338028168,20.102428248737706,0.1349156258304544,1.7539031357959072,0,1.4840718841349985,1.618987509965453,89.04431304809991,7.8251062981663555,34.94314709008769,3.7776375232527233,26.848209540260427,6.341034414031357,22.126162636194522,5.5315406590486305,60.03745349455221
315AL_Apparel_and_leather_and_allied_products,6.469442051738031,2.2090777737642053,2.5246603128733778,2.2090777737642053,0,1.577912695545861,15.779126955458612,2.3668690433187916,35.818618188891044,1740.753285726194,0.47337380866375833,1.8934952346550333,2.998034121537136,1.420121425991275,1.735703965100447,2.3668690433187916,2.2090777737642053,2.2090777737642053,3.7869904693100667,2.2090777737642053,11.045388868821028,0.7889563477729306,45.12830309261163,2.3668690433187916,20.828447581205367,28.560219789380085,15.463544416349439,21.14403012031454,15.779126955458612,0,10.729806329711856,3.3136166606463084,2.0512865042096196,6.627233321292617,10.098641251493511,0,4.733738086637583,1.735703965100447,62.4853427436161,16.25250076412237,8.362937286393064,5.838276973519686,54.43798799633221,1.420121425991275,89.15206729834115,5.207111895301342,137.5939870515991
