commodity,total_output
111CA_Farms,33352
113FF_Forestry_fishing_and_related_activities,3559
211_Oil_and_gas_extraction,8168
212_Mining_except_oil_and_gas,6244
213_Support_activities_for_mining,3763
22_Utilities,17505
23_Construction,62042
311FT_Food_and_beverage_and_tobacco_products,71837
313TT_Textile_mills_and_textile_product_mills,14085
315AL_Apparel_and_leather_and_allied_products,18652
321_Wood_products,7395
322_Paper_products,12283
323_Printing_and_related_support_activities,6016
324_Petroleum_and_coal_products,16032
325_Chemical_products,21041
326_Plastics_and_rubber_products,6649
327_Nonmetallic_mineral_products,8443
331_Primary_metals,24396
332_Fabricated_metal_products,21459
333_Machinery,17928
334_Computer_and_electronic_products,12686
335_Electrical_equipment_appliances_and_components,8544
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,27470
3364OT_Other_transportation_equipment,16585
337_Furniture_and_related_products,5372
339_Miscellaneous_manufacturing,6808
42_Wholesale_trade,35960
44RT_Retail_trade,54310
48_Transportation,33255
493_Warehousing_and_storage,1258
51_Information,18423
52_Finance_and_insurance,28255
531_Real_estate,54414
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5507
54_Professional_scientific_and_technical_services,32738
55_Management_of_companies_and_enterprises,9641
56_Administrative_and_waste_management_services,5731
61_Educational_services,3483
62_Health_care_and_social_assistance,15014
71_Arts_entertainment_and_recreation,3453
721_Accommodation,3355
722_Food_services_and_drinking_places,20245
81_Other_services_except_government,26964
GFE_Federal_government_enterprises,3158
GFG_Federal_general_government,52582
GSLE_State_and_local_government_enterprises,1111
GSLG_State_and_local_general_government,28934
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,436
Used_Scrap_used_and_secondhand_goods,925
