commodity,total_output
111CA_Farms,28057
113FF_Forestry_fishing_and_related_activities,2277
211_Oil_and_gas_extraction,3640
212_Mining_except_oil_and_gas,5505
213_Support_activities_for_mining,1530
22_Utilities,5888
23_Construction,24836
311FT_Food_and_beverage_and_tobacco_products,50770
313TT_Textile_mills_and_textile_product_mills,13238
315AL_Apparel_and_leather_and_allied_products,14583
321_Wood_products,5466
322_Paper_products,7092
323_Printing_and_related_support_activities,407
324_Petroleum_and_coal_products,7853
325_Chemical_products,9819
326_Plastics_and_rubber_products,2542
327_Nonmetallic_mineral_products,3702
331_Primary_metals,14409
332_Fabricated_metal_products,11281
333_Machinery,9855
334_Computer_and_electronic_products,3421
335_Electrical_equipment_appliances_and_components,4891
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,14586
3364OT_Other_transportation_equipment,3972
337_Furniture_and_related_products,2561
339_Miscellaneous_manufacturing,4946
42_Wholesale_trade,18609
44RT_Retail_trade,31558
48_Transportation,22795
493_Warehousing_and_storage,595
51_Information,8165
52_Finance_and_insurance,11367
531_Real_estate,22250
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,2187
54_Professional_scientific_and_technical_services,12954
55_Management_of_companies_and_enterprises,5086
56_Administrative_and_waste_management_services,2030
61_Educational_services,1326
62_Health_care_and_social_assistance,5825
71_Arts_entertainment_and_recreation,2779
721_Accommodation,2107
722_Food_services_and_drinking_places,13817
81_Other_services_except_government,14316
GFE_Federal_government_enterprises,1579
GFG_Federal_general_government,22940
GSLE_State_and_local_government_enterprises,479
GSLG_State_and_local_general_government,11202
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,29
Used_Scrap_used_and_secondhand_goods,766
