commodity,total_output
111CA_Farms,186745
113FF_Forestry_fishing_and_related_activities,47490
211_Oil_and_gas_extraction,63595
212_Mining_except_oil_and_gas,50368
213_Support_activities_for_mining,16628
22_Utilities,297382
23_Construction,675222
311FT_Food_and_beverage_and_tobacco_products,497965
313TT_Textile_mills_and_textile_product_mills,82414
315AL_Apparel_and_leather_and_allied_products,80842
321_Wood_products,80933
322_Paper_products,163177
323_Printing_and_related_support_activities,68656
324_Petroleum_and_coal_products,149871
325_Chemical_products,369671
326_Plastics_and_rubber_products,143193
327_Nonmetallic_mineral_products,73492
331_Primary_metals,162615
332_Fabricated_metal_products,210038
333_Machinery,233828
334_Computer_and_electronic_products,362374
335_Electrical_equipment_appliances_and_components,98222
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,377983
3364OT_Other_transportation_equipment,112955
337_Furniture_and_related_products,54430
339_Miscellaneous_manufacturing,94010
42_Wholesale_trade,678207
44RT_Retail_trade,705682
481_Air_transportation,102663
482_Rail_transportation,37385
483_Water_transportation,23054
484_Truck_transportation,142036
485_Transit_and_ground_passenger_transportation,28711
486_Pipeline_transportation,22998
487OS_Other_transportation_and_support_activities,78847
493_Warehousing_and_storage,24069
511_Publishing_industries_except_internet_includes_software,98045
512_Motion_picture_and_sound_recording_industries,77480
513_Broadcasting_and_telecommunications,276093
514_Data_processing_internet_publishing_and_other_information_services,43653
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,273005
523_Securities_commodity_contracts_and_investments,150411
524_Insurance_carriers_and_related_activities,331295
525_Funds_trusts_and_other_financial_vehicles,52126
531_Real_estate,1104997
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,179542
5411_Legal_services,134542
5412OP_Miscellaneous_professional_scientific_and_technical_services,673813
5415_Computer_systems_design_and_related_services,98622
55_Management_of_companies_and_enterprises,161665
561_Administrative_and_support_services,244230
562_Waste_management_and_remediation_services,43616
61_Educational_services,118401
621_Ambulatory_health_care_services,364117
622HO_Hospitals_and_nursing_and_residential_care_facilities,395757
624_Social_assistance,52554
711AS_Performing_arts_spectator_sports_museums_and_related_activities,47392
713_Amusements_gambling_and_recreation_industries,66840
721_Accommodation,75337
722_Food_services_and_drinking_places,332757
81_Other_services_except_government,414151
GFE_Federal_government_enterprises,57245
GFG_Federal_general_government,428973
GSLE_State_and_local_government_enterprises,39117
GSLG_State_and_local_general_government,712770
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,982
Used_Scrap_used_and_secondhand_goods,5963
