commodity,total_output
111CA_Farms,460740
113FF_Forestry_fishing_and_related_activities,69838
211_Oil_and_gas_extraction,386246
212_Mining_except_oil_and_gas,85436
213_Support_activities_for_mining,91619
22_Utilities,806518
23_Construction,2051653
311FT_Food_and_beverage_and_tobacco_products,1063181
313TT_Textile_mills_and_textile_product_mills,47743
315AL_Apparel_and_leather_and_allied_products,27241
321_Wood_products,149353
322_Paper_products,189510
323_Printing_and_related_support_activities,68482
324_Petroleum_and_coal_products,623168
325_Chemical_products,783070
326_Plastics_and_rubber_products,238432
327_Nonmetallic_mineral_products,143121
331_Primary_metals,261129
332_Fabricated_metal_products,380281
333_Machinery,392875
334_Computer_and_electronic_products,329452
335_Electrical_equipment_appliances_and_components,140153
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,716664
3364OT_Other_transportation_equipment,265772
337_Furniture_and_related_products,81693
339_Miscellaneous_manufacturing,169357
42_Wholesale_trade,2402189
441_Motor_vehicle_and_parts_dealers,282280
445_Food_and_beverage_stores,267877
452_General_merchandise_stores,272588
481_Air_transportation,182071
482_Rail_transportation,81674
483_Water_transportation,44902
484_Truck_transportation,466074
485_Transit_and_ground_passenger_transportation,79759
486_Pipeline_transportation,67269
487OS_Other_transportation_and_support_activities,363801
493_Warehousing_and_storage,189525
4A0_Other_retail,1349957
511_Publishing_industries_except_internet_includes_software,401198
512_Motion_picture_and_sound_recording_industries,162891
513_Broadcasting_and_telecommunications,775264
514_Data_processing_internet_publishing_and_other_information_services,407766
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,989808
523_Securities_commodity_contracts_and_investments,787265
524_Insurance_carriers_and_related_activities,1402903
525_Funds_trusts_and_other_financial_vehicles,222813
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,510278
5411_Legal_services,422600
5412OP_Miscellaneous_professional_scientific_and_technical_services,2762691
5415_Computer_systems_design_and_related_services,656354
55_Management_of_companies_and_enterprises,710307
561_Administrative_and_support_services,1239071
562_Waste_management_and_remediation_services,143362
61_Educational_services,436610
621_Ambulatory_health_care_services,1256637
622_Hospitals,1250751
623_Nursing_and_residential_care_facilities,264513
624_Social_assistance,261680
711AS_Performing_arts_spectator_sports_museums_and_related_activities,171824
713_Amusements_gambling_and_recreation_industries,204197
721_Accommodation,205592
722_Food_services_and_drinking_places,1182166
81_Other_services_except_government,957317
GFE_Federal_government_enterprises,70166
GFGD_Federal_general_government_defense,713008
GFGN_Federal_general_government_nondefense,533783
GSLE_State_and_local_government_enterprises,115166
GSLG_State_and_local_general_government,2106940
HS_Housing,2398820
ORE_Other_real_estate,1595157
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,4226
Used_Scrap_used_and_secondhand_goods,8949
