commodity,total_output
111CA_Farms,434667
113FF_Forestry_fishing_and_related_activities,64487
211_Oil_and_gas_extraction,379751
212_Mining_except_oil_and_gas,96557
213_Support_activities_for_mining,212957
22_Utilities,677203
23_Construction,1346770
311FT_Food_and_beverage_and_tobacco_products,956211
313TT_Textile_mills_and_textile_product_mills,52959
315AL_Apparel_and_leather_and_allied_products,19837
321_Wood_products,95834
322_Paper_products,183423
323_Printing_and_related_support_activities,68082
324_Petroleum_and_coal_products,765534
325_Chemical_products,795271
326_Plastics_and_rubber_products,227600
327_Nonmetallic_mineral_products,109641
331_Primary_metals,261935
332_Fabricated_metal_products,347141
333_Machinery,393982
334_Computer_and_electronic_products,292054
335_Electrical_equipment_appliances_and_components,121976
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,612296
3364OT_Other_transportation_equipment,301123
337_Furniture_and_related_products,66653
339_Miscellaneous_manufacturing,149340
42_Wholesale_trade,1808644
441_Motor_vehicle_and_parts_dealers,176210
445_Food_and_beverage_stores,198735
452_General_merchandise_stores,209246
481_Air_transportation,208550
482_Rail_transportation,86407
483_Water_transportation,53197
484_Truck_transportation,326228
485_Transit_and_ground_passenger_transportation,78013
486_Pipeline_transportation,45930
487OS_Other_transportation_and_support_activities,224492
493_Warehousing_and_storage,119922
4A0_Other_retail,833392
511_Publishing_industries_except_internet_includes_software,230443
512_Motion_picture_and_sound_recording_industries,135279
513_Broadcasting_and_telecommunications,673316
514_Data_processing_internet_publishing_and_other_information_services,191017
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,746297
523_Securities_commodity_contracts_and_investments,562420
524_Insurance_carriers_and_related_activities,948603
525_Funds_trusts_and_other_financial_vehicles,168282
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,428908
5411_Legal_services,317760
5412OP_Miscellaneous_professional_scientific_and_technical_services,1777109
5415_Computer_systems_design_and_related_services,446494
55_Management_of_companies_and_enterprises,516630
561_Administrative_and_support_services,750871
562_Waste_management_and_remediation_services,103705
61_Educational_services,356475
621_Ambulatory_health_care_services,934924
622_Hospitals,921328
623_Nursing_and_residential_care_facilities,221610
624_Social_assistance,181380
711AS_Performing_arts_spectator_sports_museums_and_related_activities,147661
713_Amusements_gambling_and_recreation_industries,180304
721_Accommodation,198396
722_Food_services_and_drinking_places,806515
81_Other_services_except_government,777584
GFE_Federal_government_enterprises,73017
GFGD_Federal_general_government_defense,598672
GFGN_Federal_general_government_nondefense,353528
GSLE_State_and_local_government_enterprises,92329
GSLG_State_and_local_general_government,1614052
HS_Housing,1826641
ORE_Other_real_estate,1061616
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,3120
Used_Scrap_used_and_secondhand_goods,7876
