commodity,total_output
111CA_Farms,29366
113FF_Forestry_fishing_and_related_activities,3668
211_Oil_and_gas_extraction,7357
212_Mining_except_oil_and_gas,7800
213_Support_activities_for_mining,4067
22_Utilities,13888
23_Construction,55719
311FT_Food_and_beverage_and_tobacco_products,63325
313TT_Textile_mills_and_textile_product_mills,14606
315AL_Apparel_and_leather_and_allied_products,17136
321_Wood_products,8668
322_Paper_products,12321
323_Printing_and_related_support_activities,2858
324_Petroleum_and_coal_products,14693
325_Chemical_products,18147
326_Plastics_and_rubber_products,4426
327_Nonmetallic_mineral_products,6808
331_Primary_metals,28976
332_Fabricated_metal_products,21014
333_Machinery,16074
334_Computer_and_electronic_products,7408
335_Electrical_equipment_appliances_and_components,7068
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,35513
3364OT_Other_transportation_equipment,12478
337_Furniture_and_related_products,4306
339_Miscellaneous_manufacturing,7587
42_Wholesale_trade,32695
44RT_Retail_trade,49065
48_Transportation,32315
493_Warehousing_and_storage,1134
51_Information,15128
52_Finance_and_insurance,24098
531_Real_estate,45689
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,4435
54_Professional_scientific_and_technical_services,25064
55_Management_of_companies_and_enterprises,8919
56_Administrative_and_waste_management_services,4398
61_Educational_services,2582
62_Health_care_and_social_assistance,11158
71_Arts_entertainment_and_recreation,3275
721_Accommodation,2856
722_Food_services_and_drinking_places,18473
81_Other_services_except_government,22396
GFE_Federal_government_enterprises,2794
GFG_Federal_general_government,46802
GSLE_State_and_local_government_enterprises,897
GSLG_State_and_local_general_government,21798
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,319
Used_Scrap_used_and_secondhand_goods,1050
