commodity,total_output
111CA_Farms,147693
113FF_Forestry_fishing_and_related_activities,32125
211_Oil_and_gas_extraction,118102
212_Mining_except_oil_and_gas,46109
213_Support_activities_for_mining,34214
22_Utilities,213184
23_Construction,429493
311FT_Food_and_beverage_and_tobacco_products,324392
313TT_Textile_mills_and_textile_product_mills,57274
315AL_Apparel_and_leather_and_allied_products,61130
321_Wood_products,42494
322_Paper_products,89139
323_Printing_and_related_support_activities,38052
324_Petroleum_and_coal_products,177362
325_Chemical_products,202964
326_Plastics_and_rubber_products,71671
327_Nonmetallic_mineral_products,49728
331_Primary_metals,112751
332_Fabricated_metal_products,141076
333_Machinery,135580
334_Computer_and_electronic_products,189692
335_Electrical_equipment_appliances_and_components,65587
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,214831
3364OT_Other_transportation_equipment,86823
337_Furniture_and_related_products,32401
339_Miscellaneous_manufacturing,45439
42_Wholesale_trade,321933
44RT_Retail_trade,351661
481_Air_transportation,51523
482_Rail_transportation,33162
483_Water_transportation,16130
484_Truck_transportation,66012
485_Transit_and_ground_passenger_transportation,18781
486_Pipeline_transportation,22992
487OS_Other_transportation_and_support_activities,40603
493_Warehousing_and_storage,11543
511_Publishing_industries_except_internet_includes_software,36639
512_Motion_picture_and_sound_recording_industries,31746
513_Broadcasting_and_telecommunications,132898
514_Data_processing_internet_publishing_and_other_information_services,21812
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,155514
523_Securities_commodity_contracts_and_investments,40854
524_Insurance_carriers_and_related_activities,162200
525_Funds_trusts_and_other_financial_vehicles,22585
531_Real_estate,498784
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,75954
5411_Legal_services,56516
5412OP_Miscellaneous_professional_scientific_and_technical_services,310729
5415_Computer_systems_design_and_related_services,34653
55_Management_of_companies_and_enterprises,81262
561_Administrative_and_support_services,79319
562_Waste_management_and_remediation_services,17337
61_Educational_services,48963
621_Ambulatory_health_care_services,121930
622HO_Hospitals_and_nursing_and_residential_care_facilities,166767
624_Social_assistance,19096
711AS_Performing_arts_spectator_sports_museums_and_related_activities,19459
713_Amusements_gambling_and_recreation_industries,24291
721_Accommodation,31065
722_Food_services_and_drinking_places,173240
81_Other_services_except_government,177304
GFE_Federal_government_enterprises,27165
GFG_Federal_general_government,296211
GSLE_State_and_local_government_enterprises,13730
GSLG_State_and_local_general_government,338518
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,568
Used_Scrap_used_and_secondhand_goods,3068
