commodity,total_output
111CA_Farms,87671
113FF_Forestry_fishing_and_related_activities,16333
211_Oil_and_gas_extraction,25552
212_Mining_except_oil_and_gas,22742
213_Support_activities_for_mining,5923
22_Utilities,61328
23_Construction,180751
311FT_Food_and_beverage_and_tobacco_products,176361
313TT_Textile_mills_and_textile_product_mills,35759
315AL_Apparel_and_leather_and_allied_products,34680
321_Wood_products,24245
322_Paper_products,39177
323_Printing_and_related_support_activities,12374
324_Petroleum_and_coal_products,55618
325_Chemical_products,81094
326_Plastics_and_rubber_products,28289
327_Nonmetallic_mineral_products,24836
331_Primary_metals,85841
332_Fabricated_metal_products,72128
333_Machinery,71675
334_Computer_and_electronic_products,50496
335_Electrical_equipment_appliances_and_components,33155
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,84714
3364OT_Other_transportation_equipment,41023
337_Furniture_and_related_products,13843
339_Miscellaneous_manufacturing,21104
42_Wholesale_trade,122104
44RT_Retail_trade,153071
481_Air_transportation,18097
482_Rail_transportation,18953
483_Water_transportation,7552
484_Truck_transportation,29616
485_Transit_and_ground_passenger_transportation,9520
486_Pipeline_transportation,4794
487OS_Other_transportation_and_support_activities,17785
493_Warehousing_and_storage,4693
511_Publishing_industries_except_internet_includes_software,12540
512_Motion_picture_and_sound_recording_industries,10355
513_Broadcasting_and_telecommunications,43186
514_Data_processing_internet_publishing_and_other_information_services,5647
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,54758
523_Securities_commodity_contracts_and_investments,5386
524_Insurance_carriers_and_related_activities,45500
525_Funds_trusts_and_other_financial_vehicles,6788
531_Real_estate,171627
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,23059
5411_Legal_services,20245
5412OP_Miscellaneous_professional_scientific_and_technical_services,95955
5415_Computer_systems_design_and_related_services,8474
55_Management_of_companies_and_enterprises,28627
561_Administrative_and_support_services,19799
562_Waste_management_and_remediation_services,7041
61_Educational_services,18654
621_Ambulatory_health_care_services,34403
622HO_Hospitals_and_nursing_and_residential_care_facilities,44333
624_Social_assistance,5039
711AS_Performing_arts_spectator_sports_museums_and_related_activities,7385
713_Amusements_gambling_and_recreation_industries,6941
721_Accommodation,11370
722_Food_services_and_drinking_places,64791
81_Other_services_except_government,70607
GFE_Federal_government_enterprises,11292
GFG_Federal_general_government,123169
GSLE_State_and_local_government_enterprises,3649
GSLG_State_and_local_general_government,142036
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,234
Used_Scrap_used_and_secondhand_goods,1967
