commodity,total_output
111CA_Farms,33051
113FF_Forestry_fishing_and_related_activities,3301
211_Oil_and_gas_extraction,6058
212_Mining_except_oil_and_gas,6839
213_Support_activities_for_mining,3198
22_Utilities,10256
23_Construction,45063
311FT_Food_and_beverage_and_tobacco_products,57369
313TT_Textile_mills_and_textile_product_mills,14920
315AL_Apparel_and_leather_and_allied_products,15323
321_Wood_products,7796
322_Paper_products,9582
323_Printing_and_related_support_activities,1493
324_Petroleum_and_coal_products,12966
325_Chemical_products,16264
326_Plastics_and_rubber_products,3692
327_Nonmetallic_mineral_products,5478
331_Primary_metals,18386
332_Fabricated_metal_products,20399
333_Machinery,15195
334_Computer_and_electronic_products,6128
335_Electrical_equipment_appliances_and_components,6668
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,21747
3364OT_Other_transportation_equipment,10670
337_Furniture_and_related_products,3583
339_Miscellaneous_manufacturing,6926
42_Wholesale_trade,26525
44RT_Retail_trade,43114
48_Transportation,31990
493_Warehousing_and_storage,1041
51_Information,12256
52_Finance_and_insurance,17376
531_Real_estate,36512
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,3404
54_Professional_scientific_and_technical_services,19655
55_Management_of_companies_and_enterprises,7634
56_Administrative_and_waste_management_services,3406
61_Educational_services,2015
62_Health_care_and_social_assistance,8754
71_Arts_entertainment_and_recreation,2818
721_Accommodation,2406
722_Food_services_and_drinking_places,16934
81_Other_services_except_government,18768
GFE_Federal_government_enterprises,2280
GFG_Federal_general_government,47592
GSLE_State_and_local_government_enterprises,690
GSLG_State_and_local_general_government,17370
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,95
Used_Scrap_used_and_secondhand_goods,988
