commodity,total_output
111CA_Farms,29395
113FF_Forestry_fishing_and_related_activities,3682
211_Oil_and_gas_extraction,7907
212_Mining_except_oil_and_gas,8175
213_Support_activities_for_mining,4257
22_Utilities,15243
23_Construction,59176
311FT_Food_and_beverage_and_tobacco_products,64215
313TT_Textile_mills_and_textile_product_mills,14064
315AL_Apparel_and_leather_and_allied_products,17842
321_Wood_products,8506
322_Paper_products,13331
323_Printing_and_related_support_activities,3361
324_Petroleum_and_coal_products,16384
325_Chemical_products,18735
326_Plastics_and_rubber_products,4389
327_Nonmetallic_mineral_products,7191
331_Primary_metals,30998
332_Fabricated_metal_products,22589
333_Machinery,18117
334_Computer_and_electronic_products,8856
335_Electrical_equipment_appliances_and_components,8003
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,30995
3364OT_Other_transportation_equipment,13475
337_Furniture_and_related_products,4620
339_Miscellaneous_manufacturing,8100
42_Wholesale_trade,35219
44RT_Retail_trade,50883
48_Transportation,34263
493_Warehousing_and_storage,1244
51_Information,16067
52_Finance_and_insurance,26045
531_Real_estate,48280
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,4845
54_Professional_scientific_and_technical_services,28053
55_Management_of_companies_and_enterprises,9331
56_Administrative_and_waste_management_services,4871
61_Educational_services,2851
62_Health_care_and_social_assistance,12347
71_Arts_entertainment_and_recreation,3498
721_Accommodation,3064
722_Food_services_and_drinking_places,19314
81_Other_services_except_government,24090
GFE_Federal_government_enterprises,2662
GFG_Federal_general_government,47353
GSLE_State_and_local_government_enterprises,963
GSLG_State_and_local_general_government,23681
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,225
Used_Scrap_used_and_secondhand_goods,1015
