commodity,total_output
111CA_Farms,168943
113FF_Forestry_fishing_and_related_activities,36966
211_Oil_and_gas_extraction,70890
212_Mining_except_oil_and_gas,50560
213_Support_activities_for_mining,19693
22_Utilities,260244
23_Construction,547492
311FT_Food_and_beverage_and_tobacco_products,440366
313TT_Textile_mills_and_textile_product_mills,69675
315AL_Apparel_and_leather_and_allied_products,68882
321_Wood_products,53456
322_Paper_products,121234
323_Printing_and_related_support_activities,53818
324_Petroleum_and_coal_products,158237
325_Chemical_products,304494
326_Plastics_and_rubber_products,106128
327_Nonmetallic_mineral_products,57664
331_Primary_metals,121537
332_Fabricated_metal_products,163914
333_Machinery,169500
334_Computer_and_electronic_products,246625
335_Electrical_equipment_appliances_and_components,76119
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,236396
3364OT_Other_transportation_equipment,136060
337_Furniture_and_related_products,41375
339_Miscellaneous_manufacturing,71040
42_Wholesale_trade,504370
44RT_Retail_trade,533081
481_Air_transportation,83464
482_Rail_transportation,33506
483_Water_transportation,20080
484_Truck_transportation,108793
485_Transit_and_ground_passenger_transportation,24943
486_Pipeline_transportation,21020
487OS_Other_transportation_and_support_activities,59395
493_Warehousing_and_storage,17630
511_Publishing_industries_except_internet_includes_software,64577
512_Motion_picture_and_sound_recording_industries,55804
513_Broadcasting_and_telecommunications,197877
514_Data_processing_internet_publishing_and_other_information_services,31724
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,226533
523_Securities_commodity_contracts_and_investments,90378
524_Insurance_carriers_and_related_activities,268224
525_Funds_trusts_and_other_financial_vehicles,35742
531_Real_estate,883864
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,127370
5411_Legal_services,114498
5412OP_Miscellaneous_professional_scientific_and_technical_services,542220
5415_Computer_systems_design_and_related_services,68925
55_Management_of_companies_and_enterprises,122329
561_Administrative_and_support_services,168396
562_Waste_management_and_remediation_services,32853
61_Educational_services,87325
621_Ambulatory_health_care_services,272456
622HO_Hospitals_and_nursing_and_residential_care_facilities,317632
624_Social_assistance,40340
711AS_Performing_arts_spectator_sports_museums_and_related_activities,32971
713_Amusements_gambling_and_recreation_industries,46562
721_Accommodation,55205
722_Food_services_and_drinking_places,279263
81_Other_services_except_government,301657
GFE_Federal_government_enterprises,47657
GFG_Federal_general_government,426137
GSLE_State_and_local_government_enterprises,29304
GSLG_State_and_local_general_government,578720
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,730
Used_Scrap_used_and_secondhand_goods,3095
