commodity,total_output
111CA_Farms,202003
113FF_Forestry_fishing_and_related_activities,49192
211_Oil_and_gas_extraction,61763
212_Mining_except_oil_and_gas,51423
213_Support_activities_for_mining,26157
22_Utilities,330254
23_Construction,834984
311FT_Food_and_beverage_and_tobacco_products,542947
313TT_Textile_mills_and_textile_product_mills,84353
315AL_Apparel_and_leather_and_allied_products,76752
321_Wood_products,91407
322_Paper_products,151278
323_Printing_and_related_support_activities,77408
324_Petroleum_and_coal_products,134488
325_Chemical_products,406387
326_Plastics_and_rubber_products,160713
327_Nonmetallic_mineral_products,89151
331_Primary_metals,172917
332_Fabricated_metal_products,238983
333_Machinery,268041
334_Computer_and_electronic_products,429891
335_Electrical_equipment_appliances_and_components,108589
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,435813
3364OT_Other_transportation_equipment,167813
337_Furniture_and_related_products,67985
339_Miscellaneous_manufacturing,111268
42_Wholesale_trade,764421
441_Motor_vehicle_and_parts_dealers,111659
445_Food_and_beverage_stores,123913
452_General_merchandise_stores,119216
481_Air_transportation,114547
482_Rail_transportation,37303
483_Water_transportation,24431
484_Truck_transportation,171131
485_Transit_and_ground_passenger_transportation,33985
486_Pipeline_transportation,24270
487OS_Other_transportation_and_support_activities,101781
493_Warehousing_and_storage,29610
4A0_Other_retail,447330
511_Publishing_industries_except_internet_includes_software,145649
512_Motion_picture_and_sound_recording_industries,96561
513_Broadcasting_and_telecommunications,386501
514_Data_processing_internet_publishing_and_other_information_services,52187
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,356459
523_Securities_commodity_contracts_and_investments,265065
524_Insurance_carriers_and_related_activities,373157
525_Funds_trusts_and_other_financial_vehicles,77132
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,244167
5411_Legal_services,170098
5412OP_Miscellaneous_professional_scientific_and_technical_services,869164
5415_Computer_systems_design_and_related_services,168953
55_Management_of_companies_and_enterprises,215011
561_Administrative_and_support_services,352689
562_Waste_management_and_remediation_services,52160
61_Educational_services,144255
621_Ambulatory_health_care_services,420797
622_Hospitals,363551
623_Nursing_and_residential_care_facilities,101202
624_Social_assistance,67248
711AS_Performing_arts_spectator_sports_museums_and_related_activities,58811
713_Amusements_gambling_and_recreation_industries,81001
721_Accommodation,93113
722_Food_services_and_drinking_places,388114
81_Other_services_except_government,498251
GFE_Federal_government_enterprises,63053
GFGD_Federal_general_government_defense,289497
GFGN_Federal_general_government_nondefense,148342
GSLE_State_and_local_government_enterprises,44427
GSLG_State_and_local_general_government,829769
HS_Housing,893297
ORE_Other_real_estate,422959
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,1095
Used_Scrap_used_and_secondhand_goods,7492
