commodity,total_output
111CA_Farms,299954
113FF_Forestry_fishing_and_related_activities,51512
211_Oil_and_gas_extraction,235942
212_Mining_except_oil_and_gas,86381
213_Support_activities_for_mining,116506
22_Utilities,543039
23_Construction,1436071
311FT_Food_and_beverage_and_tobacco_products,725714
313TT_Textile_mills_and_textile_product_mills,59593
315AL_Apparel_and_leather_and_allied_products,28739
321_Wood_products,102636
322_Paper_products,172697
323_Printing_and_related_support_activities,76751
324_Petroleum_and_coal_products,592701
325_Chemical_products,710581
326_Plastics_and_rubber_products,204099
327_Nonmetallic_mineral_products,125500
331_Primary_metals,253834
332_Fabricated_metal_products,331626
333_Machinery,335693
334_Computer_and_electronic_products,396876
335_Electrical_equipment_appliances_and_components,121844
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,496424
3364OT_Other_transportation_equipment,231437
337_Furniture_and_related_products,82724
339_Miscellaneous_manufacturing,151693
42_Wholesale_trade,1256965
441_Motor_vehicle_and_parts_dealers,145363
445_Food_and_beverage_stores,169518
452_General_merchandise_stores,189525
481_Air_transportation,158930
482_Rail_transportation,59610
483_Water_transportation,47606
484_Truck_transportation,273181
485_Transit_and_ground_passenger_transportation,56578
486_Pipeline_transportation,25860
487OS_Other_transportation_and_support_activities,193110
493_Warehousing_and_storage,72391
4A0_Other_retail,713700
511_Publishing_industries_except_internet_includes_software,210481
512_Motion_picture_and_sound_recording_industries,136076
513_Broadcasting_and_telecommunications,555743
514_Data_processing_internet_publishing_and_other_information_services,112319
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,638779
523_Securities_commodity_contracts_and_investments,523409
524_Insurance_carriers_and_related_activities,694424
525_Funds_trusts_and_other_financial_vehicles,136230
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,356861
5411_Legal_services,290234
5412OP_Miscellaneous_professional_scientific_and_technical_services,1472496
5415_Computer_systems_design_and_related_services,293844
55_Management_of_companies_and_enterprises,421306
561_Administrative_and_support_services,586174
562_Waste_management_and_remediation_services,87860
61_Educational_services,268067
621_Ambulatory_health_care_services,721142
622_Hospitals,648835
623_Nursing_and_residential_care_facilities,172913
624_Social_assistance,135039
711AS_Performing_arts_spectator_sports_museums_and_related_activities,117117
713_Amusements_gambling_and_recreation_industries,158475
721_Accommodation,143894
722_Food_services_and_drinking_places,623345
81_Other_services_except_government,668622
GFE_Federal_government_enterprises,77610
GFGD_Federal_general_government_defense,528119
GFGN_Federal_general_government_nondefense,272869
GSLE_State_and_local_government_enterprises,68019
GSLG_State_and_local_general_government,1397544
HS_Housing,1480166
ORE_Other_real_estate,902668
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,1685
Used_Scrap_used_and_secondhand_goods,9769
