commodity,total_output
111CA_Farms,374390
113FF_Forestry_fishing_and_related_activities,57153
211_Oil_and_gas_extraction,295210
212_Mining_except_oil_and_gas,108244
213_Support_activities_for_mining,144938
22_Utilities,608951
23_Construction,1088176
311FT_Food_and_beverage_and_tobacco_products,880140
313TT_Textile_mills_and_textile_product_mills,48848
315AL_Apparel_and_leather_and_allied_products,23203
321_Wood_products,74872
322_Paper_products,179853
323_Printing_and_related_support_activities,68806
324_Petroleum_and_coal_products,801671
325_Chemical_products,767713
326_Plastics_and_rubber_products,200182
327_Nonmetallic_mineral_products,93946
331_Primary_metals,259200
332_Fabricated_metal_products,322600
333_Machinery,355070
334_Computer_and_electronic_products,319383
335_Electrical_equipment_appliances_and_components,114966
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,460899
3364OT_Other_transportation_equipment,239112
337_Furniture_and_related_products,57386
339_Miscellaneous_manufacturing,144429
42_Wholesale_trade,1525976
441_Motor_vehicle_and_parts_dealers,132082
445_Food_and_beverage_stores,185808
452_General_merchandise_stores,202013
481_Air_transportation,191911
482_Rail_transportation,74691
483_Water_transportation,48748
484_Truck_transportation,272654
485_Transit_and_ground_passenger_transportation,63731
486_Pipeline_transportation,37959
487OS_Other_transportation_and_support_activities,194219
493_Warehousing_and_storage,100631
4A0_Other_retail,703256
511_Publishing_industries_except_internet_includes_software,211222
512_Motion_picture_and_sound_recording_industries,126850
513_Broadcasting_and_telecommunications,607124
514_Data_processing_internet_publishing_and_other_information_services,151663
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,633467
523_Securities_commodity_contracts_and_investments,459799
524_Insurance_carriers_and_related_activities,730436
525_Funds_trusts_and_other_financial_vehicles,134022
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,357634
5411_Legal_services,297577
5412OP_Miscellaneous_professional_scientific_and_technical_services,1566515
5415_Computer_systems_design_and_related_services,386227
55_Management_of_companies_and_enterprises,434047
561_Administrative_and_support_services,623416
562_Waste_management_and_remediation_services,96044
61_Educational_services,330701
621_Ambulatory_health_care_services,855303
622_Hospitals,812374
623_Nursing_and_residential_care_facilities,202385
624_Social_assistance,166994
711AS_Performing_arts_spectator_sports_museums_and_related_activities,126930
713_Amusements_gambling_and_recreation_industries,162771
721_Accommodation,160765
722_Food_services_and_drinking_places,690965
81_Other_services_except_government,687280
GFE_Federal_government_enterprises,72486
GFGD_Federal_general_government_defense,661984
GFGN_Federal_general_government_nondefense,342114
GSLE_State_and_local_government_enterprises,81637
GSLG_State_and_local_general_government,1507214
HS_Housing,1681495
ORE_Other_real_estate,851673
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,2538
Used_Scrap_used_and_secondhand_goods,9220
