commodity,total_output
111CA_Farms,29837
113FF_Forestry_fishing_and_related_activities,3345
211_Oil_and_gas_extraction,6657
212_Mining_except_oil_and_gas,7323
213_Support_activities_for_mining,3498
22_Utilities,11500
23_Construction,48106
311FT_Food_and_beverage_and_tobacco_products,62280
313TT_Textile_mills_and_textile_product_mills,15128
315AL_Apparel_and_leather_and_allied_products,16012
321_Wood_products,7779
322_Paper_products,10718
323_Printing_and_related_support_activities,1983
324_Petroleum_and_coal_products,12845
325_Chemical_products,17158
326_Plastics_and_rubber_products,3940
327_Nonmetallic_mineral_products,5891
331_Primary_metals,23288
332_Fabricated_metal_products,23285
333_Machinery,15591
334_Computer_and_electronic_products,7538
335_Electrical_equipment_appliances_and_components,7296
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,28485
3364OT_Other_transportation_equipment,11404
337_Furniture_and_related_products,3959
339_Miscellaneous_manufacturing,7171
42_Wholesale_trade,27352
44RT_Retail_trade,45104
48_Transportation,33531
493_Warehousing_and_storage,1131
51_Information,13396
52_Finance_and_insurance,20059
531_Real_estate,40089
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,3729
54_Professional_scientific_and_technical_services,21873
55_Management_of_companies_and_enterprises,8147
56_Administrative_and_waste_management_services,3743
61_Educational_services,2182
62_Health_care_and_social_assistance,9484
71_Arts_entertainment_and_recreation,2912
721_Accommodation,2566
722_Food_services_and_drinking_places,17529
81_Other_services_except_government,19879
GFE_Federal_government_enterprises,2480
GFG_Federal_general_government,51604
GSLE_State_and_local_government_enterprises,746
GSLG_State_and_local_general_government,18495
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,113
Used_Scrap_used_and_secondhand_goods,1081
