commodity,total_output
111CA_Farms,381849
113FF_Forestry_fishing_and_related_activities,60947
211_Oil_and_gas_extraction,301897
212_Mining_except_oil_and_gas,87945
213_Support_activities_for_mining,153665
22_Utilities,714001
23_Construction,1812530
311FT_Food_and_beverage_and_tobacco_products,991063
313TT_Textile_mills_and_textile_product_mills,47111
315AL_Apparel_and_leather_and_allied_products,19512
321_Wood_products,111002
322_Paper_products,189170
323_Printing_and_related_support_activities,70868
324_Petroleum_and_coal_products,593223
325_Chemical_products,768666
326_Plastics_and_rubber_products,244591
327_Nonmetallic_mineral_products,134843
331_Primary_metals,235361
332_Fabricated_metal_products,372823
333_Machinery,383878
334_Computer_and_electronic_products,317051
335_Electrical_equipment_appliances_and_components,130579
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,699513
3364OT_Other_transportation_equipment,318840
337_Furniture_and_related_products,73686
339_Miscellaneous_manufacturing,152726
42_Wholesale_trade,2078551
441_Motor_vehicle_and_parts_dealers,230090
445_Food_and_beverage_stores,231992
452_General_merchandise_stores,230424
481_Air_transportation,254096
482_Rail_transportation,82939
483_Water_transportation,58401
484_Truck_transportation,390625
485_Transit_and_ground_passenger_transportation,109085
486_Pipeline_transportation,62983
487OS_Other_transportation_and_support_activities,277088
493_Warehousing_and_storage,154365
4A0_Other_retail,1064066
511_Publishing_industries_except_internet_includes_software,322545
512_Motion_picture_and_sound_recording_industries,162691
513_Broadcasting_and_telecommunications,746428
514_Data_processing_internet_publishing_and_other_information_services,307316
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,943659
523_Securities_commodity_contracts_and_investments,657225
524_Insurance_carriers_and_related_activities,1267870
525_Funds_trusts_and_other_financial_vehicles,164425
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,501489
5411_Legal_services,376010
5412OP_Miscellaneous_professional_scientific_and_technical_services,2338379
5415_Computer_systems_design_and_related_services,587332
55_Management_of_companies_and_enterprises,651288
561_Administrative_and_support_services,1073425
562_Waste_management_and_remediation_services,129928
61_Educational_services,420100
621_Ambulatory_health_care_services,1199133
622_Hospitals,1169303
623_Nursing_and_residential_care_facilities,265128
624_Social_assistance,236202
711AS_Performing_arts_spectator_sports_museums_and_related_activities,194403
713_Amusements_gambling_and_recreation_industries,222945
721_Accommodation,248939
722_Food_services_and_drinking_places,1065778
81_Other_services_except_government,949836
GFE_Federal_government_enterprises,69506
GFGD_Federal_general_government_defense,679644
GFGN_Federal_general_government_nondefense,415141
GSLE_State_and_local_government_enterprises,112346
GSLG_State_and_local_general_government,1913994
HS_Housing,2220457
ORE_Other_real_estate,1489723
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,4309
Used_Scrap_used_and_secondhand_goods,10758
