commodity,total_output
111CA_Farms,53097
113FF_Forestry_fishing_and_related_activities,9731
211_Oil_and_gas_extraction,13886
212_Mining_except_oil_and_gas,11579
213_Support_activities_for_mining,2907
22_Utilities,42002
23_Construction,141995
311FT_Food_and_beverage_and_tobacco_products,117116
313TT_Textile_mills_and_textile_product_mills,26002
315AL_Apparel_and_leather_and_allied_products,30660
321_Wood_products,15214
322_Paper_products,24906
323_Printing_and_related_support_activities,8413
324_Petroleum_and_coal_products,25482
325_Chemical_products,47986
326_Plastics_and_rubber_products,17430
327_Nonmetallic_mineral_products,17557
331_Primary_metals,46789
332_Fabricated_metal_products,47419
333_Machinery,44800
334_Computer_and_electronic_products,35580
335_Electrical_equipment_appliances_and_components,22516
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,71480
3364OT_Other_transportation_equipment,30173
337_Furniture_and_related_products,9799
339_Miscellaneous_manufacturing,14759
42_Wholesale_trade,85429
44RT_Retail_trade,115916
481_Air_transportation,11896
482_Rail_transportation,14336
483_Water_transportation,4767
484_Truck_transportation,23159
485_Transit_and_ground_passenger_transportation,7976
486_Pipeline_transportation,3414
487OS_Other_transportation_and_support_activities,12665
493_Warehousing_and_storage,3514
511_Publishing_industries_except_internet_includes_software,9442
512_Motion_picture_and_sound_recording_industries,7835
513_Broadcasting_and_telecommunications,30556
514_Data_processing_internet_publishing_and_other_information_services,3669
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,40724
523_Securities_commodity_contracts_and_investments,6667
524_Insurance_carriers_and_related_activities,34140
525_Funds_trusts_and_other_financial_vehicles,4826
531_Real_estate,130958
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,16438
5411_Legal_services,14441
5412OP_Miscellaneous_professional_scientific_and_technical_services,72942
5415_Computer_systems_design_and_related_services,5543
55_Management_of_companies_and_enterprises,21855
561_Administrative_and_support_services,13579
562_Waste_management_and_remediation_services,5403
61_Educational_services,14229
621_Ambulatory_health_care_services,25003
622HO_Hospitals_and_nursing_and_residential_care_facilities,30604
624_Social_assistance,3442
711AS_Performing_arts_spectator_sports_museums_and_related_activities,5663
713_Amusements_gambling_and_recreation_industries,4638
721_Accommodation,8406
722_Food_services_and_drinking_places,47226
81_Other_services_except_government,57077
GFE_Federal_government_enterprises,8324
GFG_Federal_general_government,106681
GSLE_State_and_local_government_enterprises,2573
GSLG_State_and_local_general_government,102279
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,355
Used_Scrap_used_and_secondhand_goods,1434
