commodity,total_output
111CA_Farms,132221
113FF_Forestry_fishing_and_related_activities,32161
211_Oil_and_gas_extraction,65472
212_Mining_except_oil_and_gas,41719
213_Support_activities_for_mining,17147
22_Utilities,199355
23_Construction,506831
311FT_Food_and_beverage_and_tobacco_products,335522
313TT_Textile_mills_and_textile_product_mills,56853
315AL_Apparel_and_leather_and_allied_products,59777
321_Wood_products,45162
322_Paper_products,93424
323_Printing_and_related_support_activities,42801
324_Petroleum_and_coal_products,116258
325_Chemical_products,201310
326_Plastics_and_rubber_products,76722
327_Nonmetallic_mineral_products,53326
331_Primary_metals,98759
332_Fabricated_metal_products,141257
333_Machinery,137113
334_Computer_and_electronic_products,193720
335_Electrical_equipment_appliances_and_components,68099
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,224222
3364OT_Other_transportation_equipment,106502
337_Furniture_and_related_products,35571
339_Miscellaneous_manufacturing,47115
42_Wholesale_trade,363117
44RT_Retail_trade,414028
481_Air_transportation,59250
482_Rail_transportation,29744
483_Water_transportation,16062
484_Truck_transportation,70797
485_Transit_and_ground_passenger_transportation,20498
486_Pipeline_transportation,21023
487OS_Other_transportation_and_support_activities,41799
493_Warehousing_and_storage,12907
511_Publishing_industries_except_internet_includes_software,41937
512_Motion_picture_and_sound_recording_industries,37819
513_Broadcasting_and_telecommunications,156145
514_Data_processing_internet_publishing_and_other_information_services,23841
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,197538
523_Securities_commodity_contracts_and_investments,63830
524_Insurance_carriers_and_related_activities,183260
525_Funds_trusts_and_other_financial_vehicles,28658
531_Real_estate,604806
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,91093
5411_Legal_services,71940
5412OP_Miscellaneous_professional_scientific_and_technical_services,378402
5415_Computer_systems_design_and_related_services,40106
55_Management_of_companies_and_enterprises,96010
561_Administrative_and_support_services,98290
562_Waste_management_and_remediation_services,21749
61_Educational_services,56577
621_Ambulatory_health_care_services,153306
622HO_Hospitals_and_nursing_and_residential_care_facilities,194372
624_Social_assistance,24167
711AS_Performing_arts_spectator_sports_museums_and_related_activities,21517
713_Amusements_gambling_and_recreation_industries,28573
721_Accommodation,37196
722_Food_services_and_drinking_places,197799
81_Other_services_except_government,213598
GFE_Federal_government_enterprises,31602
GFG_Federal_general_government,339771
GSLE_State_and_local_government_enterprises,17599
GSLG_State_and_local_general_government,398218
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,548
Used_Scrap_used_and_secondhand_goods,3097
