commodity,total_output
111CA_Farms,172687
113FF_Forestry_fishing_and_related_activities,38337
211_Oil_and_gas_extraction,79609
212_Mining_except_oil_and_gas,50622
213_Support_activities_for_mining,19184
22_Utilities,248599
23_Construction,583700
311FT_Food_and_beverage_and_tobacco_products,430413
313TT_Textile_mills_and_textile_product_mills,69597
315AL_Apparel_and_leather_and_allied_products,67796
321_Wood_products,56550
322_Paper_products,123262
323_Printing_and_related_support_activities,55757
324_Petroleum_and_coal_products,170342
325_Chemical_products,300265
326_Plastics_and_rubber_products,106726
327_Nonmetallic_mineral_products,61682
331_Primary_metals,132916
332_Fabricated_metal_products,168981
333_Machinery,176309
334_Computer_and_electronic_products,245563
335_Electrical_equipment_appliances_and_components,80201
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,245819
3364OT_Other_transportation_equipment,134219
337_Furniture_and_related_products,43896
339_Miscellaneous_manufacturing,68943
42_Wholesale_trade,496511
44RT_Retail_trade,527649
481_Air_transportation,82670
482_Rail_transportation,33836
483_Water_transportation,19181
484_Truck_transportation,108311
485_Transit_and_ground_passenger_transportation,23930
486_Pipeline_transportation,21075
487OS_Other_transportation_and_support_activities,56705
493_Warehousing_and_storage,17376
511_Publishing_industries_except_internet_includes_software,60678
512_Motion_picture_and_sound_recording_industries,51979
513_Broadcasting_and_telecommunications,189460
514_Data_processing_internet_publishing_and_other_information_services,30304
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,217832
523_Securities_commodity_contracts_and_investments,75276
524_Insurance_carriers_and_related_activities,257094
525_Funds_trusts_and_other_financial_vehicles,37424
531_Real_estate,850681
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,128256
5411_Legal_services,111501
5412OP_Miscellaneous_professional_scientific_and_technical_services,532248
5415_Computer_systems_design_and_related_services,64404
55_Management_of_companies_and_enterprises,118265
561_Administrative_and_support_services,164694
562_Waste_management_and_remediation_services,32517
61_Educational_services,80780
621_Ambulatory_health_care_services,249227
622HO_Hospitals_and_nursing_and_residential_care_facilities,289174
624_Social_assistance,39336
711AS_Performing_arts_spectator_sports_museums_and_related_activities,31252
713_Amusements_gambling_and_recreation_industries,44385
721_Accommodation,53514
722_Food_services_and_drinking_places,272746
81_Other_services_except_government,299977
GFE_Federal_government_enterprises,43353
GFG_Federal_general_government,404170
GSLE_State_and_local_government_enterprises,26960
GSLG_State_and_local_general_government,544016
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,668
Used_Scrap_used_and_secondhand_goods,3166
