commodity,total_output
111CA_Farms,91022
113FF_Forestry_fishing_and_related_activities,19308
211_Oil_and_gas_extraction,33189
212_Mining_except_oil_and_gas,27368
213_Support_activities_for_mining,9450
22_Utilities,84249
23_Construction,201047
311FT_Food_and_beverage_and_tobacco_products,194077
313TT_Textile_mills_and_textile_product_mills,39938
315AL_Apparel_and_leather_and_allied_products,38768
321_Wood_products,27231
322_Paper_products,45968
323_Printing_and_related_support_activities,15543
324_Petroleum_and_coal_products,77784
325_Chemical_products,104405
326_Plastics_and_rubber_products,32757
327_Nonmetallic_mineral_products,28959
331_Primary_metals,85492
332_Fabricated_metal_products,82020
333_Machinery,81091
334_Computer_and_electronic_products,57575
335_Electrical_equipment_appliances_and_components,35229
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,110942
3364OT_Other_transportation_equipment,46792
337_Furniture_and_related_products,14949
339_Miscellaneous_manufacturing,24569
42_Wholesale_trade,156501
44RT_Retail_trade,184097
481_Air_transportation,21232
482_Rail_transportation,19515
483_Water_transportation,10190
484_Truck_transportation,34242
485_Transit_and_ground_passenger_transportation,11076
486_Pipeline_transportation,6756
487OS_Other_transportation_and_support_activities,20669
493_Warehousing_and_storage,5360
511_Publishing_industries_except_internet_includes_software,14956
512_Motion_picture_and_sound_recording_industries,13754
513_Broadcasting_and_telecommunications,55086
514_Data_processing_internet_publishing_and_other_information_services,7392
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,64721
523_Securities_commodity_contracts_and_investments,8248
524_Insurance_carriers_and_related_activities,58221
525_Funds_trusts_and_other_financial_vehicles,8745
531_Real_estate,208426
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,27578
5411_Legal_services,23146
5412OP_Miscellaneous_professional_scientific_and_technical_services,113077
5415_Computer_systems_design_and_related_services,10855
55_Management_of_companies_and_enterprises,35718
561_Administrative_and_support_services,24576
562_Waste_management_and_remediation_services,8881
61_Educational_services,22457
621_Ambulatory_health_care_services,44896
622HO_Hospitals_and_nursing_and_residential_care_facilities,60385
624_Social_assistance,6818
711AS_Performing_arts_spectator_sports_museums_and_related_activities,8853
713_Amusements_gambling_and_recreation_industries,9202
721_Accommodation,13660
722_Food_services_and_drinking_places,82259
81_Other_services_except_government,87972
GFE_Federal_government_enterprises,13891
GFG_Federal_general_government,140046
GSLE_State_and_local_government_enterprises,4549
GSLG_State_and_local_general_government,174462
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,282
Used_Scrap_used_and_secondhand_goods,2170
