commodity,total_output
111CA_Farms,251442
113FF_Forestry_fishing_and_related_activities,54399
211_Oil_and_gas_extraction,215283
212_Mining_except_oil_and_gas,85363
213_Support_activities_for_mining,108429
22_Utilities,510159
23_Construction,1441075
311FT_Food_and_beverage_and_tobacco_products,670084
313TT_Textile_mills_and_textile_product_mills,66413
315AL_Apparel_and_leather_and_allied_products,38270
321_Wood_products,113023
322_Paper_products,165602
323_Printing_and_related_support_activities,76978
324_Petroleum_and_coal_products,537887
325_Chemical_products,644692
326_Plastics_and_rubber_products,207899
327_Nonmetallic_mineral_products,123458
331_Primary_metals,231837
332_Fabricated_metal_products,306494
333_Machinery,314968
334_Computer_and_electronic_products,383991
335_Electrical_equipment_appliances_and_components,114276
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,506732
3364OT_Other_transportation_equipment,184562
337_Furniture_and_related_products,85104
339_Miscellaneous_manufacturing,148187
42_Wholesale_trade,1185465
441_Motor_vehicle_and_parts_dealers,142164
445_Food_and_beverage_stores,167276
452_General_merchandise_stores,179760
481_Air_transportation,150994
482_Rail_transportation,57035
483_Water_transportation,42296
484_Truck_transportation,267328
485_Transit_and_ground_passenger_transportation,53390
486_Pipeline_transportation,24386
487OS_Other_transportation_and_support_activities,180570
493_Warehousing_and_storage,64304
4A0_Other_retail,698942
511_Publishing_industries_except_internet_includes_software,206327
512_Motion_picture_and_sound_recording_industries,135060
513_Broadcasting_and_telecommunications,536974
514_Data_processing_internet_publishing_and_other_information_services,102706
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,621597
523_Securities_commodity_contracts_and_investments,473858
524_Insurance_carriers_and_related_activities,637409
525_Funds_trusts_and_other_financial_vehicles,118561
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,347488
5411_Legal_services,280902
5412OP_Miscellaneous_professional_scientific_and_technical_services,1370111
5415_Computer_systems_design_and_related_services,264386
55_Management_of_companies_and_enterprises,375218
561_Administrative_and_support_services,547927
562_Waste_management_and_remediation_services,84192
61_Educational_services,248214
621_Ambulatory_health_care_services,686079
622_Hospitals,614273
623_Nursing_and_residential_care_facilities,163141
624_Social_assistance,125639
711AS_Performing_arts_spectator_sports_museums_and_related_activities,107207
713_Amusements_gambling_and_recreation_industries,148833
721_Accommodation,138388
722_Food_services_and_drinking_places,598876
81_Other_services_except_government,652864
GFE_Federal_government_enterprises,74869
GFGD_Federal_general_government_defense,501268
GFGN_Federal_general_government_nondefense,264280
GSLE_State_and_local_government_enterprises,65010
GSLG_State_and_local_general_government,1307405
HS_Housing,1398437
ORE_Other_real_estate,916738
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,1541
Used_Scrap_used_and_secondhand_goods,8368
