commodity,total_output
111CA_Farms,395700
113FF_Forestry_fishing_and_related_activities,62848
211_Oil_and_gas_extraction,216474
212_Mining_except_oil_and_gas,83486
213_Support_activities_for_mining,156339
22_Utilities,653591
23_Construction,1481455
311FT_Food_and_beverage_and_tobacco_products,955041
313TT_Textile_mills_and_textile_product_mills,50858
315AL_Apparel_and_leather_and_allied_products,19457
321_Wood_products,98860
322_Paper_products,181911
323_Printing_and_related_support_activities,68588
324_Petroleum_and_coal_products,497874
325_Chemical_products,738024
326_Plastics_and_rubber_products,230019
327_Nonmetallic_mineral_products,114656
331_Primary_metals,223898
332_Fabricated_metal_products,337021
333_Machinery,362108
334_Computer_and_electronic_products,293637
335_Electrical_equipment_appliances_and_components,121551
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,658894
3364OT_Other_transportation_equipment,308174
337_Furniture_and_related_products,71137
339_Miscellaneous_manufacturing,152285
42_Wholesale_trade,1834220
441_Motor_vehicle_and_parts_dealers,198907
445_Food_and_beverage_stores,206857
452_General_merchandise_stores,215853
481_Air_transportation,208534
482_Rail_transportation,79926
483_Water_transportation,50413
484_Truck_transportation,325874
485_Transit_and_ground_passenger_transportation,82436
486_Pipeline_transportation,46760
487OS_Other_transportation_and_support_activities,234085
493_Warehousing_and_storage,123887
4A0_Other_retail,883472
511_Publishing_industries_except_internet_includes_software,235290
512_Motion_picture_and_sound_recording_industries,141319
513_Broadcasting_and_telecommunications,696993
514_Data_processing_internet_publishing_and_other_information_services,207450
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,749180
523_Securities_commodity_contracts_and_investments,572740
524_Insurance_carriers_and_related_activities,1025304
525_Funds_trusts_and_other_financial_vehicles,188469
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,428523
5411_Legal_services,331301
5412OP_Miscellaneous_professional_scientific_and_technical_services,1858870
5415_Computer_systems_design_and_related_services,452555
55_Management_of_companies_and_enterprises,545660
561_Administrative_and_support_services,799648
562_Waste_management_and_remediation_services,104086
61_Educational_services,369336
621_Ambulatory_health_care_services,984542
622_Hospitals,984547
623_Nursing_and_residential_care_facilities,231151
624_Social_assistance,188912
711AS_Performing_arts_spectator_sports_museums_and_related_activities,156560
713_Amusements_gambling_and_recreation_industries,186832
721_Accommodation,210331
722_Food_services_and_drinking_places,872719
81_Other_services_except_government,803629
GFE_Federal_government_enterprises,73472
GFGD_Federal_general_government_defense,586829
GFGN_Federal_general_government_nondefense,368316
GSLE_State_and_local_government_enterprises,96477
GSLG_State_and_local_general_government,1653836
HS_Housing,1887478
ORE_Other_real_estate,1154317
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,3291
Used_Scrap_used_and_secondhand_goods,7995
