commodity,total_output
111CA_Farms,146317
113FF_Forestry_fishing_and_related_activities,36200
211_Oil_and_gas_extraction,64001
212_Mining_except_oil_and_gas,47624
213_Support_activities_for_mining,17173
22_Utilities,229496
23_Construction,555044
311FT_Food_and_beverage_and_tobacco_products,386475
313TT_Textile_mills_and_textile_product_mills,68754
315AL_Apparel_and_leather_and_allied_products,68535
321_Wood_products,55584
322_Paper_products,114636
323_Printing_and_related_support_activities,51842
324_Petroleum_and_coal_products,128226
325_Chemical_products,269776
326_Plastics_and_rubber_products,97726
327_Nonmetallic_mineral_products,61080
331_Primary_metals,133730
332_Fabricated_metal_products,160319
333_Machinery,162074
334_Computer_and_electronic_products,232246
335_Electrical_equipment_appliances_and_components,77778
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,254619
3364OT_Other_transportation_equipment,114656
337_Furniture_and_related_products,42128
339_Miscellaneous_manufacturing,61094
42_Wholesale_trade,439844
44RT_Retail_trade,482637
481_Air_transportation,77011
482_Rail_transportation,32492
483_Water_transportation,17422
484_Truck_transportation,90121
485_Transit_and_ground_passenger_transportation,21266
486_Pipeline_transportation,20428
487OS_Other_transportation_and_support_activities,49153
493_Warehousing_and_storage,15144
511_Publishing_industries_except_internet_includes_software,50923
512_Motion_picture_and_sound_recording_industries,43523
513_Broadcasting_and_telecommunications,169432
514_Data_processing_internet_publishing_and_other_information_services,24723
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,213555
523_Securities_commodity_contracts_and_investments,66429
524_Insurance_carriers_and_related_activities,219474
525_Funds_trusts_and_other_financial_vehicles,34984
531_Real_estate,727668
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,111433
5411_Legal_services,92668
5412OP_Miscellaneous_professional_scientific_and_technical_services,459142
5415_Computer_systems_design_and_related_services,49573
55_Management_of_companies_and_enterprises,105041
561_Administrative_and_support_services,129616
562_Waste_management_and_remediation_services,27088
61_Educational_services,67201
621_Ambulatory_health_care_services,201946
622HO_Hospitals_and_nursing_and_residential_care_facilities,233127
624_Social_assistance,32699
711AS_Performing_arts_spectator_sports_museums_and_related_activities,25087
713_Amusements_gambling_and_recreation_industries,35616
721_Accommodation,47361
722_Food_services_and_drinking_places,239207
81_Other_services_except_government,260978
GFE_Federal_government_enterprises,36771
GFG_Federal_general_government,363450
GSLE_State_and_local_government_enterprises,22106
GSLG_State_and_local_general_government,457004
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,556
Used_Scrap_used_and_secondhand_goods,3214
