commodity,total_output
111CA_Farms,373846
113FF_Forestry_fishing_and_related_activities,61064
211_Oil_and_gas_extraction,184215
212_Mining_except_oil_and_gas,76086
213_Support_activities_for_mining,90062
22_Utilities,639108
23_Construction,1587719
311FT_Food_and_beverage_and_tobacco_products,954240
313TT_Textile_mills_and_textile_product_mills,49756
315AL_Apparel_and_leather_and_allied_products,19694
321_Wood_products,102445
322_Paper_products,175948
323_Printing_and_related_support_activities,71724
324_Petroleum_and_coal_products,431296
325_Chemical_products,728050
326_Plastics_and_rubber_products,226164
327_Nonmetallic_mineral_products,120810
331_Primary_metals,201236
332_Fabricated_metal_products,325781
333_Machinery,336967
334_Computer_and_electronic_products,287224
335_Electrical_equipment_appliances_and_components,116753
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,667207
3364OT_Other_transportation_equipment,288608
337_Furniture_and_related_products,71888
339_Miscellaneous_manufacturing,144003
42_Wholesale_trade,1833319
441_Motor_vehicle_and_parts_dealers,216470
445_Food_and_beverage_stores,210395
452_General_merchandise_stores,215896
481_Air_transportation,206874
482_Rail_transportation,73581
483_Water_transportation,49160
484_Truck_transportation,324796
485_Transit_and_ground_passenger_transportation,84443
486_Pipeline_transportation,47380
487OS_Other_transportation_and_support_activities,239632
493_Warehousing_and_storage,132985
4A0_Other_retail,921502
511_Publishing_industries_except_internet_includes_software,259668
512_Motion_picture_and_sound_recording_industries,147367
513_Broadcasting_and_telecommunications,726850
514_Data_processing_internet_publishing_and_other_information_services,225453
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,788158
523_Securities_commodity_contracts_and_investments,569597
524_Insurance_carriers_and_related_activities,1066919
525_Funds_trusts_and_other_financial_vehicles,182158
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,440312
5411_Legal_services,338009
5412OP_Miscellaneous_professional_scientific_and_technical_services,1951077
5415_Computer_systems_design_and_related_services,482228
55_Management_of_companies_and_enterprises,549245
561_Administrative_and_support_services,865273
562_Waste_management_and_remediation_services,110087
61_Educational_services,382256
621_Ambulatory_health_care_services,1042379
622_Hospitals,1034206
623_Nursing_and_residential_care_facilities,240589
624_Social_assistance,200049
711AS_Performing_arts_spectator_sports_museums_and_related_activities,163191
713_Amusements_gambling_and_recreation_industries,194195
721_Accommodation,219286
722_Food_services_and_drinking_places,915417
81_Other_services_except_government,837381
GFE_Federal_government_enterprises,73513
GFGD_Federal_general_government_defense,588899
GFGN_Federal_general_government_nondefense,376809
GSLE_State_and_local_government_enterprises,100702
GSLG_State_and_local_general_government,1697401
HS_Housing,1962981
ORE_Other_real_estate,1223857
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,3223
Used_Scrap_used_and_secondhand_goods,7999
