commodity,total_output
111CA_Farms,322924
113FF_Forestry_fishing_and_related_activities,51857
211_Oil_and_gas_extraction,331276
212_Mining_except_oil_and_gas,96605
213_Support_activities_for_mining,137597
22_Utilities,626593
23_Construction,1362905
311FT_Food_and_beverage_and_tobacco_products,789575
313TT_Textile_mills_and_textile_product_mills,52634
315AL_Apparel_and_leather_and_allied_products,26060
321_Wood_products,89296
322_Paper_products,175863
323_Printing_and_related_support_activities,75972
324_Petroleum_and_coal_products,714232
325_Chemical_products,714602
326_Plastics_and_rubber_products,197983
327_Nonmetallic_mineral_products,112468
331_Primary_metals,271166
332_Fabricated_metal_products,347883
333_Machinery,344101
334_Computer_and_electronic_products,376149
335_Electrical_equipment_appliances_and_components,123294
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,409844
3364OT_Other_transportation_equipment,243034
337_Furniture_and_related_products,74354
339_Miscellaneous_manufacturing,159621
42_Wholesale_trade,1317225
441_Motor_vehicle_and_parts_dealers,117226
445_Food_and_beverage_stores,175553
452_General_merchandise_stores,194049
481_Air_transportation,168824
482_Rail_transportation,66868
483_Water_transportation,51126
484_Truck_transportation,277604
485_Transit_and_ground_passenger_transportation,57634
486_Pipeline_transportation,32160
487OS_Other_transportation_and_support_activities,193015
493_Warehousing_and_storage,80196
4A0_Other_retail,681822
511_Publishing_industries_except_internet_includes_software,213176
512_Motion_picture_and_sound_recording_industries,130178
513_Broadcasting_and_telecommunications,571617
514_Data_processing_internet_publishing_and_other_information_services,123337
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,619134
523_Securities_commodity_contracts_and_investments,481056
524_Insurance_carriers_and_related_activities,718175
525_Funds_trusts_and_other_financial_vehicles,138745
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,377108
5411_Legal_services,291988
5412OP_Miscellaneous_professional_scientific_and_technical_services,1537402
5415_Computer_systems_design_and_related_services,322655
55_Management_of_companies_and_enterprises,420153
561_Administrative_and_support_services,597719
562_Waste_management_and_remediation_services,91385
61_Educational_services,286542
621_Ambulatory_health_care_services,760634
622_Hospitals,694763
623_Nursing_and_residential_care_facilities,181777
624_Social_assistance,146568
711AS_Performing_arts_spectator_sports_museums_and_related_activities,121978
713_Amusements_gambling_and_recreation_industries,160868
721_Accommodation,150164
722_Food_services_and_drinking_places,637550
81_Other_services_except_government,682708
GFE_Federal_government_enterprises,78332
GFGD_Federal_general_government_defense,583200
GFGN_Federal_general_government_nondefense,297071
GSLE_State_and_local_government_enterprises,71747
GSLG_State_and_local_general_government,1473169
HS_Housing,1575464
ORE_Other_real_estate,834284
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,1964
Used_Scrap_used_and_secondhand_goods,9723
