commodity,total_output
111CA_Farms,140694
113FF_Forestry_fishing_and_related_activities,28128
211_Oil_and_gas_extraction,116662
212_Mining_except_oil_and_gas,42046
213_Support_activities_for_mining,48817
22_Utilities,185906
23_Construction,326447
311FT_Food_and_beverage_and_tobacco_products,300737
313TT_Textile_mills_and_textile_product_mills,48951
315AL_Apparel_and_leather_and_allied_products,57936
321_Wood_products,32588
322_Paper_products,76335
323_Printing_and_related_support_activities,31332
324_Petroleum_and_coal_products,197733
325_Chemical_products,170380
326_Plastics_and_rubber_products,56459
327_Nonmetallic_mineral_products,42152
331_Primary_metals,101119
332_Fabricated_metal_products,131234
333_Machinery,129361
334_Computer_and_electronic_products,146030
335_Electrical_equipment_appliances_and_components,53931
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,141628
3364OT_Other_transportation_equipment,79145
337_Furniture_and_related_products,25520
339_Miscellaneous_manufacturing,42322
42_Wholesale_trade,276973
44RT_Retail_trade,306420
481_Air_transportation,41086
482_Rail_transportation,30554
483_Water_transportation,15394
484_Truck_transportation,52341
485_Transit_and_ground_passenger_transportation,16553
486_Pipeline_transportation,21438
487OS_Other_transportation_and_support_activities,35964
493_Warehousing_and_storage,9193
511_Publishing_industries_except_internet_includes_software,30278
512_Motion_picture_and_sound_recording_industries,25340
513_Broadcasting_and_telecommunications,111244
514_Data_processing_internet_publishing_and_other_information_services,18759
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,113859
523_Securities_commodity_contracts_and_investments,29477
524_Insurance_carriers_and_related_activities,113380
525_Funds_trusts_and_other_financial_vehicles,17428
531_Real_estate,411673
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,58981
5411_Legal_services,45330
5412OP_Miscellaneous_professional_scientific_and_technical_services,242457
5415_Computer_systems_design_and_related_services,27827
55_Management_of_companies_and_enterprises,63527
561_Administrative_and_support_services,58619
562_Waste_management_and_remediation_services,13912
61_Educational_services,41050
621_Ambulatory_health_care_services,94072
622HO_Hospitals_and_nursing_and_residential_care_facilities,139209
624_Social_assistance,15532
711AS_Performing_arts_spectator_sports_museums_and_related_activities,16641
713_Amusements_gambling_and_recreation_industries,20130
721_Accommodation,24232
722_Food_services_and_drinking_places,149075
81_Other_services_except_government,141458
GFE_Federal_government_enterprises,24654
GFG_Federal_general_government,258386
GSLE_State_and_local_government_enterprises,9495
GSLG_State_and_local_general_government,296144
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,562
Used_Scrap_used_and_secondhand_goods,2779
