commodity,total_output
111CA_Farms,29644
113FF_Forestry_fishing_and_related_activities,3509
211_Oil_and_gas_extraction,8703
212_Mining_except_oil_and_gas,7425
213_Support_activities_for_mining,4158
22_Utilities,16414
23_Construction,60789
311FT_Food_and_beverage_and_tobacco_products,64808
313TT_Textile_mills_and_textile_product_mills,13325
315AL_Apparel_and_leather_and_allied_products,17817
321_Wood_products,7668
322_Paper_products,12902
323_Printing_and_related_support_activities,3832
324_Petroleum_and_coal_products,17424
325_Chemical_products,19206
326_Plastics_and_rubber_products,5450
327_Nonmetallic_mineral_products,7046
331_Primary_metals,28072
332_Fabricated_metal_products,23412
333_Machinery,18184
334_Computer_and_electronic_products,11085
335_Electrical_equipment_appliances_and_components,7983
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,33661
3364OT_Other_transportation_equipment,15921
337_Furniture_and_related_products,4614
339_Miscellaneous_manufacturing,8097
42_Wholesale_trade,35815
44RT_Retail_trade,53892
48_Transportation,35052
493_Warehousing_and_storage,1305
51_Information,17370
52_Finance_and_insurance,27396
531_Real_estate,51146
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5184
54_Professional_scientific_and_technical_services,30473
55_Management_of_companies_and_enterprises,9794
56_Administrative_and_waste_management_services,5346
61_Educational_services,3131
62_Health_care_and_social_assistance,13529
71_Arts_entertainment_and_recreation,3411
721_Accommodation,3343
722_Food_services_and_drinking_places,20092
81_Other_services_except_government,25733
GFE_Federal_government_enterprises,2977
GFG_Federal_general_government,50879
GSLE_State_and_local_government_enterprises,1030
GSLG_State_and_local_general_government,26054
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,382
Used_Scrap_used_and_secondhand_goods,1004
