commodity,total_output
111CA_Farms,124228
113FF_Forestry_fishing_and_related_activities,30256
211_Oil_and_gas_extraction,110869
212_Mining_except_oil_and_gas,41567
213_Support_activities_for_mining,32808
22_Utilities,206564
23_Construction,366781
311FT_Food_and_beverage_and_tobacco_products,308006
313TT_Textile_mills_and_textile_product_mills,54968
315AL_Apparel_and_leather_and_allied_products,60048
321_Wood_products,38002
322_Paper_products,80569
323_Printing_and_related_support_activities,33709
324_Petroleum_and_coal_products,181128
325_Chemical_products,184448
326_Plastics_and_rubber_products,61974
327_Nonmetallic_mineral_products,45380
331_Primary_metals,104293
332_Fabricated_metal_products,129559
333_Machinery,118299
334_Computer_and_electronic_products,158254
335_Electrical_equipment_appliances_and_components,57400
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,177700
3364OT_Other_transportation_equipment,83792
337_Furniture_and_related_products,28339
339_Miscellaneous_manufacturing,42375
42_Wholesale_trade,278611
44RT_Retail_trade,327255
481_Air_transportation,44979
482_Rail_transportation,29903
483_Water_transportation,15712
484_Truck_transportation,58895
485_Transit_and_ground_passenger_transportation,17381
486_Pipeline_transportation,22310
487OS_Other_transportation_and_support_activities,37349
493_Warehousing_and_storage,10112
511_Publishing_industries_except_internet_includes_software,33799
512_Motion_picture_and_sound_recording_industries,28211
513_Broadcasting_and_telecommunications,123014
514_Data_processing_internet_publishing_and_other_information_services,20772
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,151181
523_Securities_commodity_contracts_and_investments,43514
524_Insurance_carriers_and_related_activities,132289
525_Funds_trusts_and_other_financial_vehicles,19558
531_Real_estate,452190
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,67849
5411_Legal_services,49808
5412OP_Miscellaneous_professional_scientific_and_technical_services,272837
5415_Computer_systems_design_and_related_services,30398
55_Management_of_companies_and_enterprises,71338
561_Administrative_and_support_services,67026
562_Waste_management_and_remediation_services,15380
61_Educational_services,45412
621_Ambulatory_health_care_services,107884
622HO_Hospitals_and_nursing_and_residential_care_facilities,155277
624_Social_assistance,17130
711AS_Performing_arts_spectator_sports_museums_and_related_activities,18188
713_Amusements_gambling_and_recreation_industries,22316
721_Accommodation,26745
722_Food_services_and_drinking_places,161285
81_Other_services_except_government,157719
GFE_Federal_government_enterprises,25783
GFG_Federal_general_government,280020
GSLE_State_and_local_government_enterprises,11411
GSLG_State_and_local_general_government,315373
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,568
Used_Scrap_used_and_secondhand_goods,2886
