commodity,total_output
111CA_Farms,223030
113FF_Forestry_fishing_and_related_activities,47475
211_Oil_and_gas_extraction,135259
212_Mining_except_oil_and_gas,50810
213_Support_activities_for_mining,43568
22_Utilities,414506
23_Construction,1097790
311FT_Food_and_beverage_and_tobacco_products,602301
313TT_Textile_mills_and_textile_product_mills,66374
315AL_Apparel_and_leather_and_allied_products,42295
321_Wood_products,91728
322_Paper_products,146344
323_Printing_and_related_support_activities,74238
324_Petroleum_and_coal_products,251257
325_Chemical_products,480047
326_Plastics_and_rubber_products,174540
327_Nonmetallic_mineral_products,94727
331_Primary_metals,137457
332_Fabricated_metal_products,235118
333_Machinery,245799
334_Computer_and_electronic_products,353560
335_Electrical_equipment_appliances_and_components,95048
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,473480
3364OT_Other_transportation_equipment,148651
337_Furniture_and_related_products,74032
339_Miscellaneous_manufacturing,126095
42_Wholesale_trade,921301
441_Motor_vehicle_and_parts_dealers,136147
445_Food_and_beverage_stores,144599
452_General_merchandise_stores,152177
481_Air_transportation,121442
482_Rail_transportation,41215
483_Water_transportation,29827
484_Truck_transportation,206009
485_Transit_and_ground_passenger_transportation,37270
486_Pipeline_transportation,22500
487OS_Other_transportation_and_support_activities,140202
493_Warehousing_and_storage,45864
4A0_Other_retail,566587
511_Publishing_industries_except_internet_includes_software,173514
512_Motion_picture_and_sound_recording_industries,129636
513_Broadcasting_and_telecommunications,496750
514_Data_processing_internet_publishing_and_other_information_services,76832
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,526068
523_Securities_commodity_contracts_and_investments,348145
524_Insurance_carriers_and_related_activities,507390
525_Funds_trusts_and_other_financial_vehicles,87111
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,286935
5411_Legal_services,238908
5412OP_Miscellaneous_professional_scientific_and_technical_services,1109277
5415_Computer_systems_design_and_related_services,233256
55_Management_of_companies_and_enterprises,273582
561_Administrative_and_support_services,434600
562_Waste_management_and_remediation_services,66112
61_Educational_services,205889
621_Ambulatory_health_care_services,583781
622_Hospitals,504371
623_Nursing_and_residential_care_facilities,136592
624_Social_assistance,107813
711AS_Performing_arts_spectator_sports_museums_and_related_activities,88718
713_Amusements_gambling_and_recreation_industries,116863
721_Accommodation,110568
722_Food_services_and_drinking_places,505025
81_Other_services_except_government,589019
GFE_Federal_government_enterprises,68912
GFGD_Federal_general_government_defense,411179
GFGN_Federal_general_government_nondefense,220427
GSLE_State_and_local_government_enterprises,54524
GSLG_State_and_local_general_government,1114773
HS_Housing,1173169
ORE_Other_real_estate,660919
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,766
Used_Scrap_used_and_secondhand_goods,5920
