commodity,total_output
111CA_Farms,315864
113FF_Forestry_fishing_and_related_activities,53509
211_Oil_and_gas_extraction,249318
212_Mining_except_oil_and_gas,95849
213_Support_activities_for_mining,109108
22_Utilities,611765
23_Construction,1088678
311FT_Food_and_beverage_and_tobacco_products,815340
313TT_Textile_mills_and_textile_product_mills,45767
315AL_Apparel_and_leather_and_allied_products,22335
321_Wood_products,73272
322_Paper_products,171026
323_Printing_and_related_support_activities,67116
324_Petroleum_and_coal_products,598630
325_Chemical_products,692656
326_Plastics_and_rubber_products,185796
327_Nonmetallic_mineral_products,90368
331_Primary_metals,217900
332_Fabricated_metal_products,288864
333_Machinery,306724
334_Computer_and_electronic_products,318796
335_Electrical_equipment_appliances_and_components,106518
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,403920
3364OT_Other_transportation_equipment,229716
337_Furniture_and_related_products,56378
339_Miscellaneous_manufacturing,143835
42_Wholesale_trade,1354434
441_Motor_vehicle_and_parts_dealers,132823
445_Food_and_beverage_stores,179387
452_General_merchandise_stores,206254
481_Air_transportation,161322
482_Rail_transportation,64829
483_Water_transportation,46896
484_Truck_transportation,246464
485_Transit_and_ground_passenger_transportation,58663
486_Pipeline_transportation,33324
487OS_Other_transportation_and_support_activities,180180
493_Warehousing_and_storage,91161
4A0_Other_retail,674254
511_Publishing_industries_except_internet_includes_software,204041
512_Motion_picture_and_sound_recording_industries,128487
513_Broadcasting_and_telecommunications,587228
514_Data_processing_internet_publishing_and_other_information_services,137248
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,627551
523_Securities_commodity_contracts_and_investments,466879
524_Insurance_carriers_and_related_activities,664498
525_Funds_trusts_and_other_financial_vehicles,127848
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,342504
5411_Legal_services,285873
5412OP_Miscellaneous_professional_scientific_and_technical_services,1492262
5415_Computer_systems_design_and_related_services,354077
55_Management_of_companies_and_enterprises,409782
561_Administrative_and_support_services,585988
562_Waste_management_and_remediation_services,94727
61_Educational_services,317214
621_Ambulatory_health_care_services,822659
622_Hospitals,775570
623_Nursing_and_residential_care_facilities,196266
624_Social_assistance,164765
711AS_Performing_arts_spectator_sports_museums_and_related_activities,124574
713_Amusements_gambling_and_recreation_industries,157971
721_Accommodation,149731
722_Food_services_and_drinking_places,655373
81_Other_services_except_government,663099
GFE_Federal_government_enterprises,75073
GFGD_Federal_general_government_defense,651766
GFGN_Federal_general_government_nondefense,351142
GSLE_State_and_local_government_enterprises,78439
GSLG_State_and_local_general_government,1508137
HS_Housing,1646679
ORE_Other_real_estate,828671
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,2210
Used_Scrap_used_and_secondhand_goods,8322
