commodity,total_output
111CA_Farms,200427
113FF_Forestry_fishing_and_related_activities,44879
211_Oil_and_gas_extraction,118311
212_Mining_except_oil_and_gas,48711
213_Support_activities_for_mining,27587
22_Utilities,437751
23_Construction,975579
311FT_Food_and_beverage_and_tobacco_products,555577
313TT_Textile_mills_and_textile_product_mills,80237
315AL_Apparel_and_leather_and_allied_products,72971
321_Wood_products,92726
322_Paper_products,160393
323_Printing_and_related_support_activities,80008
324_Petroleum_and_coal_products,246582
325_Chemical_products,443287
326_Plastics_and_rubber_products,176662
327_Nonmetallic_mineral_products,94495
331_Primary_metals,162927
332_Fabricated_metal_products,253945
333_Machinery,280387
334_Computer_and_electronic_products,507774
335_Electrical_equipment_appliances_and_components,118362
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,471259
3364OT_Other_transportation_equipment,144060
337_Furniture_and_related_products,75152
339_Miscellaneous_manufacturing,122820
42_Wholesale_trade,877180
441_Motor_vehicle_and_parts_dealers,123487
445_Food_and_beverage_stores,129875
452_General_merchandise_stores,131745
481_Air_transportation,132416
482_Rail_transportation,38622
483_Water_transportation,26998
484_Truck_transportation,195557
485_Transit_and_ground_passenger_transportation,34233
486_Pipeline_transportation,23352
487OS_Other_transportation_and_support_activities,125574
493_Warehousing_and_storage,34578
4A0_Other_retail,510739
511_Publishing_industries_except_internet_includes_software,172471
512_Motion_picture_and_sound_recording_industries,114911
513_Broadcasting_and_telecommunications,484289
514_Data_processing_internet_publishing_and_other_information_services,69571
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,438760
523_Securities_commodity_contracts_and_investments,381745
524_Insurance_carriers_and_related_activities,419854
525_Funds_trusts_and_other_financial_vehicles,104841
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,297155
5411_Legal_services,187591
5412OP_Miscellaneous_professional_scientific_and_technical_services,1035019
5415_Computer_systems_design_and_related_services,239239
55_Management_of_companies_and_enterprises,251995
561_Administrative_and_support_services,421854
562_Waste_management_and_remediation_services,59831
61_Educational_services,167541
621_Ambulatory_health_care_services,467535
622_Hospitals,401322
623_Nursing_and_residential_care_facilities,111628
624_Social_assistance,84197
711AS_Performing_arts_spectator_sports_museums_and_related_activities,68761
713_Amusements_gambling_and_recreation_industries,97671
721_Accommodation,109476
722_Food_services_and_drinking_places,441579
81_Other_services_except_government,546187
GFE_Federal_government_enterprises,66724
GFGD_Federal_general_government_defense,309155
GFGN_Federal_general_government_nondefense,166526
GSLE_State_and_local_government_enterprises,47159
GSLG_State_and_local_general_government,961907
HS_Housing,1009559
ORE_Other_real_estate,504829
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,681
Used_Scrap_used_and_secondhand_goods,6430
