commodity,total_output
111CA_Farms,29837
113FF_Forestry_fishing_and_related_activities,3183
211_Oil_and_gas_extraction,6878
212_Mining_except_oil_and_gas,6772
213_Support_activities_for_mining,3738
22_Utilities,12526
23_Construction,50492
311FT_Food_and_beverage_and_tobacco_products,63935
313TT_Textile_mills_and_textile_product_mills,13567
315AL_Apparel_and_leather_and_allied_products,16112
321_Wood_products,7518
322_Paper_products,10885
323_Printing_and_related_support_activities,2363
324_Petroleum_and_coal_products,13243
325_Chemical_products,16141
326_Plastics_and_rubber_products,3572
327_Nonmetallic_mineral_products,5863
331_Primary_metals,22817
332_Fabricated_metal_products,19477
333_Machinery,14435
334_Computer_and_electronic_products,7229
335_Electrical_equipment_appliances_and_components,6557
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,27216
3364OT_Other_transportation_equipment,13187
337_Furniture_and_related_products,3737
339_Miscellaneous_manufacturing,6967
42_Wholesale_trade,29251
44RT_Retail_trade,45358
48_Transportation,29461
493_Warehousing_and_storage,992
51_Information,13879
52_Finance_and_insurance,21849
531_Real_estate,43096
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,4045
54_Professional_scientific_and_technical_services,22925
55_Management_of_companies_and_enterprises,8059
56_Administrative_and_waste_management_services,3984
61_Educational_services,2395
62_Health_care_and_social_assistance,10405
71_Arts_entertainment_and_recreation,3051
721_Accommodation,2705
722_Food_services_and_drinking_places,17817
81_Other_services_except_government,20637
GFE_Federal_government_enterprises,2739
GFG_Federal_general_government,47153
GSLE_State_and_local_government_enterprises,809
GSLG_State_and_local_general_government,19918
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,141
Used_Scrap_used_and_secondhand_goods,976
