commodity,total_output
111CA_Farms,213815
113FF_Forestry_fishing_and_related_activities,45547
211_Oil_and_gas_extraction,85800
212_Mining_except_oil_and_gas,52418
213_Support_activities_for_mining,26252
22_Utilities,322090
23_Construction,762267
311FT_Food_and_beverage_and_tobacco_products,536515
313TT_Textile_mills_and_textile_product_mills,84343
315AL_Apparel_and_leather_and_allied_products,84832
321_Wood_products,88948
322_Paper_products,148039
323_Printing_and_related_support_activities,75525
324_Petroleum_and_coal_products,175367
325_Chemical_products,407426
326_Plastics_and_rubber_products,155760
327_Nonmetallic_mineral_products,83913
331_Primary_metals,169340
332_Fabricated_metal_products,231325
333_Machinery,260856
334_Computer_and_electronic_products,425706
335_Electrical_equipment_appliances_and_components,103790
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,418959
3364OT_Other_transportation_equipment,140550
337_Furniture_and_related_products,63279
339_Miscellaneous_manufacturing,107118
42_Wholesale_trade,735386
441_Motor_vehicle_and_parts_dealers,116259
445_Food_and_beverage_stores,120793
452_General_merchandise_stores,112507
481_Air_transportation,113167
482_Rail_transportation,37352
483_Water_transportation,24398
484_Truck_transportation,159028
485_Transit_and_ground_passenger_transportation,31594
486_Pipeline_transportation,24397
487OS_Other_transportation_and_support_activities,91015
493_Warehousing_and_storage,27367
4A0_Other_retail,424384
511_Publishing_industries_except_internet_includes_software,129312
512_Motion_picture_and_sound_recording_industries,89276
513_Broadcasting_and_telecommunications,349620
514_Data_processing_internet_publishing_and_other_information_services,48102
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,324549
523_Securities_commodity_contracts_and_investments,223120
524_Insurance_carriers_and_related_activities,350543
525_Funds_trusts_and_other_financial_vehicles,67614
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,222075
5411_Legal_services,155561
5412OP_Miscellaneous_professional_scientific_and_technical_services,802544
5415_Computer_systems_design_and_related_services,139531
55_Management_of_companies_and_enterprises,189452
561_Administrative_and_support_services,309739
562_Waste_management_and_remediation_services,47229
61_Educational_services,134134
621_Ambulatory_health_care_services,400361
622_Hospitals,341816
623_Nursing_and_residential_care_facilities,94536
624_Social_assistance,62499
711AS_Performing_arts_spectator_sports_museums_and_related_activities,53959
713_Amusements_gambling_and_recreation_industries,76999
721_Accommodation,88314
722_Food_services_and_drinking_places,365700
81_Other_services_except_government,463013
GFE_Federal_government_enterprises,60845
GFGD_Federal_general_government_defense,293010
GFGN_Federal_general_government_nondefense,146559
GSLE_State_and_local_government_enterprises,43073
GSLG_State_and_local_general_government,780960
HS_Housing,838393
ORE_Other_real_estate,404553
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,1115
Used_Scrap_used_and_secondhand_goods,7786
