commodity,total_output
111CA_Farms,133330
113FF_Forestry_fishing_and_related_activities,28892
211_Oil_and_gas_extraction,57602
212_Mining_except_oil_and_gas,41791
213_Support_activities_for_mining,20862
22_Utilities,130697
23_Construction,312888
311FT_Food_and_beverage_and_tobacco_products,249756
313TT_Textile_mills_and_textile_product_mills,48579
315AL_Apparel_and_leather_and_allied_products,47190
321_Wood_products,37248
322_Paper_products,62109
323_Printing_and_related_support_activities,23055
324_Petroleum_and_coal_products,139501
325_Chemical_products,150461
326_Plastics_and_rubber_products,48254
327_Nonmetallic_mineral_products,43160
331_Primary_metals,127229
332_Fabricated_metal_products,122392
333_Machinery,122326
334_Computer_and_electronic_products,98391
335_Electrical_equipment_appliances_and_components,51685
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,155180
3364OT_Other_transportation_equipment,70335
337_Furniture_and_related_products,22751
339_Miscellaneous_manufacturing,34308
42_Wholesale_trade,227468
44RT_Retail_trade,236597
481_Air_transportation,26084
482_Rail_transportation,27073
483_Water_transportation,14910
484_Truck_transportation,50465
485_Transit_and_ground_passenger_transportation,13445
486_Pipeline_transportation,17362
487OS_Other_transportation_and_support_activities,29352
493_Warehousing_and_storage,8171
511_Publishing_industries_except_internet_includes_software,22654
512_Motion_picture_and_sound_recording_industries,18789
513_Broadcasting_and_telecommunications,74841
514_Data_processing_internet_publishing_and_other_information_services,12558
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,88849
523_Securities_commodity_contracts_and_investments,15488
524_Insurance_carriers_and_related_activities,85603
525_Funds_trusts_and_other_financial_vehicles,11589
531_Real_estate,299896
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,41105
5411_Legal_services,30903
5412OP_Miscellaneous_professional_scientific_and_technical_services,168231
5415_Computer_systems_design_and_related_services,17165
55_Management_of_companies_and_enterprises,49852
561_Administrative_and_support_services,41155
562_Waste_management_and_remediation_services,11605
61_Educational_services,29167
621_Ambulatory_health_care_services,63775
622HO_Hospitals_and_nursing_and_residential_care_facilities,90294
624_Social_assistance,10927
711AS_Performing_arts_spectator_sports_museums_and_related_activities,12014
713_Amusements_gambling_and_recreation_industries,13418
721_Accommodation,18645
722_Food_services_and_drinking_places,115851
81_Other_services_except_government,117701
GFE_Federal_government_enterprises,17998
GFG_Federal_general_government,178833
GSLE_State_and_local_government_enterprises,6519
GSLG_State_and_local_general_government,225872
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,381
Used_Scrap_used_and_secondhand_goods,2913
