commodity,total_output
111CA_Farms,145676
113FF_Forestry_fishing_and_related_activities,30257
211_Oil_and_gas_extraction,121469
212_Mining_except_oil_and_gas,48961
213_Support_activities_for_mining,46353
22_Utilities,169220
23_Construction,335861
311FT_Food_and_beverage_and_tobacco_products,291497
313TT_Textile_mills_and_textile_product_mills,52495
315AL_Apparel_and_leather_and_allied_products,55411
321_Wood_products,36403
322_Paper_products,74589
323_Printing_and_related_support_activities,28134
324_Petroleum_and_coal_products,211938
325_Chemical_products,182940
326_Plastics_and_rubber_products,54863
327_Nonmetallic_mineral_products,44886
331_Primary_metals,134276
332_Fabricated_metal_products,138301
333_Machinery,143021
334_Computer_and_electronic_products,130970
335_Electrical_equipment_appliances_and_components,56410
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,147009
3364OT_Other_transportation_equipment,83012
337_Furniture_and_related_products,25488
339_Miscellaneous_manufacturing,40874
42_Wholesale_trade,295057
44RT_Retail_trade,307462
481_Air_transportation,34225
482_Rail_transportation,33915
483_Water_transportation,17623
484_Truck_transportation,53788
485_Transit_and_ground_passenger_transportation,15347
486_Pipeline_transportation,20102
487OS_Other_transportation_and_support_activities,35161
493_Warehousing_and_storage,9547
511_Publishing_industries_except_internet_includes_software,27476
512_Motion_picture_and_sound_recording_industries,22874
513_Broadcasting_and_telecommunications,95732
514_Data_processing_internet_publishing_and_other_information_services,16649
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,96243
523_Securities_commodity_contracts_and_investments,22340
524_Insurance_carriers_and_related_activities,99530
525_Funds_trusts_and_other_financial_vehicles,15548
531_Real_estate,378242
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54203
5411_Legal_services,40889
5412OP_Miscellaneous_professional_scientific_and_technical_services,220157
5415_Computer_systems_design_and_related_services,24188
55_Management_of_companies_and_enterprises,61015
561_Administrative_and_support_services,54614
562_Waste_management_and_remediation_services,13096
61_Educational_services,36720
621_Ambulatory_health_care_services,86666
622HO_Hospitals_and_nursing_and_residential_care_facilities,122396
624_Social_assistance,14341
711AS_Performing_arts_spectator_sports_museums_and_related_activities,15577
713_Amusements_gambling_and_recreation_industries,18327
721_Accommodation,23027
722_Food_services_and_drinking_places,140513
81_Other_services_except_government,138035
GFE_Federal_government_enterprises,23810
GFG_Federal_general_government,233556
GSLE_State_and_local_government_enterprises,8150
GSLG_State_and_local_general_government,273485
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,508
Used_Scrap_used_and_secondhand_goods,3068
