commodity,total_output
111CA_Farms,176711
113FF_Forestry_fishing_and_related_activities,41149
211_Oil_and_gas_extraction,68594
212_Mining_except_oil_and_gas,48797
213_Support_activities_for_mining,15360
22_Utilities,268446
23_Construction,576992
311FT_Food_and_beverage_and_tobacco_products,453399
313TT_Textile_mills_and_textile_product_mills,74426
315AL_Apparel_and_leather_and_allied_products,73281
321_Wood_products,61466
322_Paper_products,123100
323_Printing_and_related_support_activities,56289
324_Petroleum_and_coal_products,150593
325_Chemical_products,312966
326_Plastics_and_rubber_products,112422
327_Nonmetallic_mineral_products,59835
331_Primary_metals,122951
332_Fabricated_metal_products,169337
333_Machinery,172388
334_Computer_and_electronic_products,263082
335_Electrical_equipment_appliances_and_components,81459
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,272379
3364OT_Other_transportation_equipment,136906
337_Furniture_and_related_products,45076
339_Miscellaneous_manufacturing,75223
42_Wholesale_trade,528140
44RT_Retail_trade,561283
481_Air_transportation,85468
482_Rail_transportation,34513
483_Water_transportation,20536
484_Truck_transportation,117747
485_Transit_and_ground_passenger_transportation,25541
486_Pipeline_transportation,22224
487OS_Other_transportation_and_support_activities,62800
493_Warehousing_and_storage,19299
511_Publishing_industries_except_internet_includes_software,69077
512_Motion_picture_and_sound_recording_industries,58003
513_Broadcasting_and_telecommunications,211730
514_Data_processing_internet_publishing_and_other_information_services,34123
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,234275
523_Securities_commodity_contracts_and_investments,100566
524_Insurance_carriers_and_related_activities,279886
525_Funds_trusts_and_other_financial_vehicles,36929
531_Real_estate,936669
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,134102
5411_Legal_services,124471
5412OP_Miscellaneous_professional_scientific_and_technical_services,566777
5415_Computer_systems_design_and_related_services,66945
55_Management_of_companies_and_enterprises,129117
561_Administrative_and_support_services,182081
562_Waste_management_and_remediation_services,35945
61_Educational_services,94740
621_Ambulatory_health_care_services,303424
622HO_Hospitals_and_nursing_and_residential_care_facilities,345076
624_Social_assistance,43032
711AS_Performing_arts_spectator_sports_museums_and_related_activities,36016
713_Amusements_gambling_and_recreation_industries,53102
721_Accommodation,60237
722_Food_services_and_drinking_places,290721
81_Other_services_except_government,329296
GFE_Federal_government_enterprises,50441
GFG_Federal_general_government,432059
GSLE_State_and_local_government_enterprises,31718
GSLG_State_and_local_general_government,616324
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,770
Used_Scrap_used_and_secondhand_goods,3210
