commodity,total_output
111CA_Farms,248908
113FF_Forestry_fishing_and_related_activities,53431
211_Oil_and_gas_extraction,212238
212_Mining_except_oil_and_gas,75188
213_Support_activities_for_mining,78315
22_Utilities,497517
23_Construction,1358399
311FT_Food_and_beverage_and_tobacco_products,663342
313TT_Textile_mills_and_textile_product_mills,70872
315AL_Apparel_and_leather_and_allied_products,39121
321_Wood_products,113359
322_Paper_products,158208
323_Printing_and_related_support_activities,75858
324_Petroleum_and_coal_products,467189
325_Chemical_products,597241
326_Plastics_and_rubber_products,196054
327_Nonmetallic_mineral_products,111466
331_Primary_metals,201289
332_Fabricated_metal_products,278108
333_Machinery,290534
334_Computer_and_electronic_products,370430
335_Electrical_equipment_appliances_and_components,105545
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,505575
3364OT_Other_transportation_equipment,176845
337_Furniture_and_related_products,82761
339_Miscellaneous_manufacturing,141388
42_Wholesale_trade,1099538
441_Motor_vehicle_and_parts_dealers,137397
445_Food_and_beverage_stores,158543
452_General_merchandise_stores,175413
481_Air_transportation,140959
482_Rail_transportation,50779
483_Water_transportation,37764
484_Truck_transportation,251246
485_Transit_and_ground_passenger_transportation,47373
486_Pipeline_transportation,23093
487OS_Other_transportation_and_support_activities,164557
493_Warehousing_and_storage,55350
4A0_Other_retail,656063
511_Publishing_industries_except_internet_includes_software,196479
512_Motion_picture_and_sound_recording_industries,132382
513_Broadcasting_and_telecommunications,525021
514_Data_processing_internet_publishing_and_other_information_services,91664
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,591782
523_Securities_commodity_contracts_and_investments,415520
524_Insurance_carriers_and_related_activities,605038
525_Funds_trusts_and_other_financial_vehicles,107525
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,320012
5411_Legal_services,270126
5412OP_Miscellaneous_professional_scientific_and_technical_services,1282683
5415_Computer_systems_design_and_related_services,254675
55_Management_of_companies_and_enterprises,344720
561_Administrative_and_support_services,512459
562_Waste_management_and_remediation_services,76823
61_Educational_services,227766
621_Ambulatory_health_care_services,658174
622_Hospitals,573086
623_Nursing_and_residential_care_facilities,154491
624_Social_assistance,118174
711AS_Performing_arts_spectator_sports_museums_and_related_activities,97715
713_Amusements_gambling_and_recreation_industries,136760
721_Accommodation,129965
722_Food_services_and_drinking_places,566135
81_Other_services_except_government,623345
GFE_Federal_government_enterprises,70431
GFGD_Federal_general_government_defense,477972
GFGN_Federal_general_government_nondefense,247802
GSLE_State_and_local_government_enterprises,61297
GSLG_State_and_local_general_government,1236253
HS_Housing,1327974
ORE_Other_real_estate,904312
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,1390
Used_Scrap_used_and_secondhand_goods,7535
