commodity,total_output
111CA_Farms,33567
113FF_Forestry_fishing_and_related_activities,4270
211_Oil_and_gas_extraction,8480
212_Mining_except_oil_and_gas,6909
213_Support_activities_for_mining,3127
22_Utilities,20778
23_Construction,67536
311FT_Food_and_beverage_and_tobacco_products,76381
313TT_Textile_mills_and_textile_product_mills,15596
315AL_Apparel_and_leather_and_allied_products,20172
321_Wood_products,7588
322_Paper_products,14298
323_Printing_and_related_support_activities,6631
324_Petroleum_and_coal_products,16678
325_Chemical_products,24819
326_Plastics_and_rubber_products,7658
327_Nonmetallic_mineral_products,9935
331_Primary_metals,28742
332_Fabricated_metal_products,23757
333_Machinery,20662
334_Computer_and_electronic_products,16048
335_Electrical_equipment_appliances_and_components,10673
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,38761
3364OT_Other_transportation_equipment,16328
337_Furniture_and_related_products,5723
339_Miscellaneous_manufacturing,7998
42_Wholesale_trade,40847
44RT_Retail_trade,62174
48_Transportation,37160
493_Warehousing_and_storage,1515
51_Information,20772
52_Finance_and_insurance,33964
531_Real_estate,60545
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,6498
54_Professional_scientific_and_technical_services,38322
55_Management_of_companies_and_enterprises,10892
56_Administrative_and_waste_management_services,6856
61_Educational_services,4143
62_Health_care_and_social_assistance,17866
71_Arts_entertainment_and_recreation,4337
721_Accommodation,3601
722_Food_services_and_drinking_places,22249
81_Other_services_except_government,30344
GFE_Federal_government_enterprises,3716
GFG_Federal_general_government,50978
GSLE_State_and_local_government_enterprises,1034
GSLG_State_and_local_general_government,33539
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,438
Used_Scrap_used_and_secondhand_goods,1056
