commodity,total_output
111CA_Farms,140547
113FF_Forestry_fishing_and_related_activities,30277
211_Oil_and_gas_extraction,110543
212_Mining_except_oil_and_gas,43660
213_Support_activities_for_mining,30500
22_Utilities,211846
23_Construction,471112
311FT_Food_and_beverage_and_tobacco_products,328353
313TT_Textile_mills_and_textile_product_mills,54793
315AL_Apparel_and_leather_and_allied_products,59888
321_Wood_products,42303
322_Paper_products,89039
323_Printing_and_related_support_activities,40514
324_Petroleum_and_coal_products,166959
325_Chemical_products,206548
326_Plastics_and_rubber_products,74144
327_Nonmetallic_mineral_products,51224
331_Primary_metals,103561
332_Fabricated_metal_products,142285
333_Machinery,140285
334_Computer_and_electronic_products,195000
335_Electrical_equipment_appliances_and_components,66877
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,221147
3364OT_Other_transportation_equipment,97086
337_Furniture_and_related_products,33690
339_Miscellaneous_manufacturing,45805
42_Wholesale_trade,349568
44RT_Retail_trade,397333
481_Air_transportation,54986
482_Rail_transportation,31282
483_Water_transportation,16047
484_Truck_transportation,68246
485_Transit_and_ground_passenger_transportation,19816
486_Pipeline_transportation,21687
487OS_Other_transportation_and_support_activities,40394
493_Warehousing_and_storage,11804
511_Publishing_industries_except_internet_includes_software,37500
512_Motion_picture_and_sound_recording_industries,34123
513_Broadcasting_and_telecommunications,144453
514_Data_processing_internet_publishing_and_other_information_services,22655
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,175824
523_Securities_commodity_contracts_and_investments,50014
524_Insurance_carriers_and_related_activities,190602
525_Funds_trusts_and_other_financial_vehicles,26019
531_Real_estate,553426
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,84875
5411_Legal_services,64717
5412OP_Miscellaneous_professional_scientific_and_technical_services,347942
5415_Computer_systems_design_and_related_services,37313
55_Management_of_companies_and_enterprises,88765
561_Administrative_and_support_services,88537
562_Waste_management_and_remediation_services,20416
61_Educational_services,52675
621_Ambulatory_health_care_services,137433
622HO_Hospitals_and_nursing_and_residential_care_facilities,179570
624_Social_assistance,21696
711AS_Performing_arts_spectator_sports_museums_and_related_activities,20772
713_Amusements_gambling_and_recreation_industries,27083
721_Accommodation,34919
722_Food_services_and_drinking_places,184339
81_Other_services_except_government,200303
GFE_Federal_government_enterprises,30213
GFG_Federal_general_government,320380
GSLE_State_and_local_government_enterprises,16153
GSLG_State_and_local_general_government,370260
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,569
Used_Scrap_used_and_secondhand_goods,3013
