commodity,total_output
111CA_Farms,176689
113FF_Forestry_fishing_and_related_activities,43098
211_Oil_and_gas_extraction,69388
212_Mining_except_oil_and_gas,45471
213_Support_activities_for_mining,17953
22_Utilities,284287
23_Construction,607828
311FT_Food_and_beverage_and_tobacco_products,463434
313TT_Textile_mills_and_textile_product_mills,77446
315AL_Apparel_and_leather_and_allied_products,76270
321_Wood_products,71588
322_Paper_products,123591
323_Printing_and_related_support_activities,59067
324_Petroleum_and_coal_products,145292
325_Chemical_products,321821
326_Plastics_and_rubber_products,120981
327_Nonmetallic_mineral_products,62795
331_Primary_metals,128167
332_Fabricated_metal_products,175706
333_Machinery,188664
334_Computer_and_electronic_products,277559
335_Electrical_equipment_appliances_and_components,86781
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,307898
3364OT_Other_transportation_equipment,129047
337_Furniture_and_related_products,47984
339_Miscellaneous_manufacturing,82509
42_Wholesale_trade,569094
44RT_Retail_trade,606445
481_Air_transportation,92570
482_Rail_transportation,34609
483_Water_transportation,21383
484_Truck_transportation,124128
485_Transit_and_ground_passenger_transportation,26397
486_Pipeline_transportation,23500
487OS_Other_transportation_and_support_activities,67375
493_Warehousing_and_storage,20487
511_Publishing_industries_except_internet_includes_software,77994
512_Motion_picture_and_sound_recording_industries,64663
513_Broadcasting_and_telecommunications,229062
514_Data_processing_internet_publishing_and_other_information_services,36432
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,247952
523_Securities_commodity_contracts_and_investments,121987
524_Insurance_carriers_and_related_activities,300916
525_Funds_trusts_and_other_financial_vehicles,43929
531_Real_estate,986797
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,148074
5411_Legal_services,129090
5412OP_Miscellaneous_professional_scientific_and_technical_services,588490
5415_Computer_systems_design_and_related_services,84383
55_Management_of_companies_and_enterprises,138989
561_Administrative_and_support_services,193924
562_Waste_management_and_remediation_services,38585
61_Educational_services,102463
621_Ambulatory_health_care_services,320860
622HO_Hospitals_and_nursing_and_residential_care_facilities,363960
624_Social_assistance,46423
711AS_Performing_arts_spectator_sports_museums_and_related_activities,40272
713_Amusements_gambling_and_recreation_industries,56652
721_Accommodation,64267
722_Food_services_and_drinking_places,307171
81_Other_services_except_government,349965
GFE_Federal_government_enterprises,51549
GFG_Federal_general_government,429489
GSLE_State_and_local_government_enterprises,34339
GSLG_State_and_local_general_government,643551
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,844
Used_Scrap_used_and_secondhand_goods,4027
