commodity,total_output
111CA_Farms,194474
113FF_Forestry_fishing_and_related_activities,52108
211_Oil_and_gas_extraction,71220
212_Mining_except_oil_and_gas,48498
213_Support_activities_for_mining,21717
22_Utilities,378066
23_Construction,900287
311FT_Food_and_beverage_and_tobacco_products,540526
313TT_Textile_mills_and_textile_product_mills,82060
315AL_Apparel_and_leather_and_allied_products,74270
321_Wood_products,96903
322_Paper_products,153733
323_Printing_and_related_support_activities,78691
324_Petroleum_and_coal_products,162864
325_Chemical_products,414687
326_Plastics_and_rubber_products,169887
327_Nonmetallic_mineral_products,92428
331_Primary_metals,160640
332_Fabricated_metal_products,244132
333_Machinery,262327
334_Computer_and_electronic_products,452718
335_Electrical_equipment_appliances_and_components,110937
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,491389
3364OT_Other_transportation_equipment,162225
337_Furniture_and_related_products,70632
339_Miscellaneous_manufacturing,109804
42_Wholesale_trade,817785
441_Motor_vehicle_and_parts_dealers,128927
445_Food_and_beverage_stores,129854
452_General_merchandise_stores,127903
481_Air_transportation,119372
482_Rail_transportation,37979
483_Water_transportation,25498
484_Truck_transportation,182737
485_Transit_and_ground_passenger_transportation,34032
486_Pipeline_transportation,24275
487OS_Other_transportation_and_support_activities,113011
493_Warehousing_and_storage,31950
4A0_Other_retail,470773
511_Publishing_industries_except_internet_includes_software,162321
512_Motion_picture_and_sound_recording_industries,104319
513_Broadcasting_and_telecommunications,437037
514_Data_processing_internet_publishing_and_other_information_services,65538
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,394218
523_Securities_commodity_contracts_and_investments,316535
524_Insurance_carriers_and_related_activities,389168
525_Funds_trusts_and_other_financial_vehicles,87311
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,269515
5411_Legal_services,180778
5412OP_Miscellaneous_professional_scientific_and_technical_services,937146
5415_Computer_systems_design_and_related_services,209531
55_Management_of_companies_and_enterprises,232313
561_Administrative_and_support_services,384720
562_Waste_management_and_remediation_services,56885
61_Educational_services,154294
621_Ambulatory_health_care_services,438984
622_Hospitals,378539
623_Nursing_and_residential_care_facilities,105015
624_Social_assistance,74772
711AS_Performing_arts_spectator_sports_museums_and_related_activities,62834
713_Amusements_gambling_and_recreation_industries,90352
721_Accommodation,99159
722_Food_services_and_drinking_places,409265
81_Other_services_except_government,520234
GFE_Federal_government_enterprises,65152
GFGD_Federal_general_government_defense,301766
GFGN_Federal_general_government_nondefense,154099
GSLE_State_and_local_government_enterprises,45703
GSLG_State_and_local_general_government,895563
HS_Housing,947677
ORE_Other_real_estate,451025
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,776
Used_Scrap_used_and_secondhand_goods,6863
