commodity,total_output
111CA_Farms,429736
113FF_Forestry_fishing_and_related_activities,57567
211_Oil_and_gas_extraction,340614
212_Mining_except_oil_and_gas,94741
213_Support_activities_for_mining,178088
22_Utilities,627321
23_Construction,1231765
311FT_Food_and_beverage_and_tobacco_products,929725
313TT_Textile_mills_and_textile_product_mills,50992
315AL_Apparel_and_leather_and_allied_products,20131
321_Wood_products,89498
322_Paper_products,182860
323_Printing_and_related_support_activities,67793
324_Petroleum_and_coal_products,825967
325_Chemical_products,801224
326_Plastics_and_rubber_products,221165
327_Nonmetallic_mineral_products,102950
331_Primary_metals,260145
332_Fabricated_metal_products,337924
333_Machinery,381935
334_Computer_and_electronic_products,301839
335_Electrical_equipment_appliances_and_components,119125
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,550270
3364OT_Other_transportation_equipment,281683
337_Furniture_and_related_products,65025
339_Miscellaneous_manufacturing,152514
42_Wholesale_trade,1727344
441_Motor_vehicle_and_parts_dealers,163860
445_Food_and_beverage_stores,191709
452_General_merchandise_stores,204422
481_Air_transportation,198864
482_Rail_transportation,81221
483_Water_transportation,49749
484_Truck_transportation,300966
485_Transit_and_ground_passenger_transportation,71172
486_Pipeline_transportation,42439
487OS_Other_transportation_and_support_activities,210722
493_Warehousing_and_storage,116209
4A0_Other_retail,794926
511_Publishing_industries_except_internet_includes_software,219111
512_Motion_picture_and_sound_recording_industries,133765
513_Broadcasting_and_telecommunications,640620
514_Data_processing_internet_publishing_and_other_information_services,180465
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,718942
523_Securities_commodity_contracts_and_investments,524374
524_Insurance_carriers_and_related_activities,856549
525_Funds_trusts_and_other_financial_vehicles,160412
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,399746
5411_Legal_services,309085
5412OP_Miscellaneous_professional_scientific_and_technical_services,1678165
5415_Computer_systems_design_and_related_services,427662
55_Management_of_companies_and_enterprises,484984
561_Administrative_and_support_services,683358
562_Waste_management_and_remediation_services,98677
61_Educational_services,344929
621_Ambulatory_health_care_services,898194
622_Hospitals,886666
623_Nursing_and_residential_care_facilities,214371
624_Social_assistance,173932
711AS_Performing_arts_spectator_sports_museums_and_related_activities,138702
713_Amusements_gambling_and_recreation_industries,174678
721_Accommodation,183884
722_Food_services_and_drinking_places,760000
81_Other_services_except_government,731321
GFE_Federal_government_enterprises,71241
GFGD_Federal_general_government_defense,611205
GFGN_Federal_general_government_nondefense,346307
GSLE_State_and_local_government_enterprises,89444
GSLG_State_and_local_general_government,1575132
HS_Housing,1773773
ORE_Other_real_estate,993422
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,3008
Used_Scrap_used_and_secondhand_goods,7786
