commodity,total_output
111CA_Farms,111308
113FF_Forestry_fishing_and_related_activities,26090
211_Oil_and_gas_extraction,43089
212_Mining_except_oil_and_gas,32479
213_Support_activities_for_mining,16888
22_Utilities,112099
23_Construction,275733
311FT_Food_and_beverage_and_tobacco_products,228741
313TT_Textile_mills_and_textile_product_mills,46105
315AL_Apparel_and_leather_and_allied_products,46113
321_Wood_products,34896
322_Paper_products,55388
323_Printing_and_related_support_activities,20692
324_Petroleum_and_coal_products,98396
325_Chemical_products,130166
326_Plastics_and_rubber_products,44199
327_Nonmetallic_mineral_products,39249
331_Primary_metals,109203
332_Fabricated_metal_products,106709
333_Machinery,106486
334_Computer_and_electronic_products,82684
335_Electrical_equipment_appliances_and_components,45867
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,152456
3364OT_Other_transportation_equipment,56799
337_Furniture_and_related_products,21208
339_Miscellaneous_manufacturing,31014
42_Wholesale_trade,198804
44RT_Retail_trade,221480
481_Air_transportation,27453
482_Rail_transportation,23994
483_Water_transportation,12778
484_Truck_transportation,46049
485_Transit_and_ground_passenger_transportation,12466
486_Pipeline_transportation,14795
487OS_Other_transportation_and_support_activities,27359
493_Warehousing_and_storage,7246
511_Publishing_industries_except_internet_includes_software,19675
512_Motion_picture_and_sound_recording_industries,16573
513_Broadcasting_and_telecommunications,68015
514_Data_processing_internet_publishing_and_other_information_services,10532
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,83080
523_Securities_commodity_contracts_and_investments,12335
524_Insurance_carriers_and_related_activities,81779
525_Funds_trusts_and_other_financial_vehicles,10689
531_Real_estate,266182
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,35300
5411_Legal_services,29288
5412OP_Miscellaneous_professional_scientific_and_technical_services,145363
5415_Computer_systems_design_and_related_services,13790
55_Management_of_companies_and_enterprises,45558
561_Administrative_and_support_services,34315
562_Waste_management_and_remediation_services,10801
61_Educational_services,26438
621_Ambulatory_health_care_services,56640
622HO_Hospitals_and_nursing_and_residential_care_facilities,79025
624_Social_assistance,9298
711AS_Performing_arts_spectator_sports_museums_and_related_activities,10746
713_Amusements_gambling_and_recreation_industries,11751
721_Accommodation,16242
722_Food_services_and_drinking_places,102180
81_Other_services_except_government,108708
GFE_Federal_government_enterprises,16354
GFG_Federal_general_government,164180
GSLE_State_and_local_government_enterprises,5854
GSLG_State_and_local_general_government,206590
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,345
Used_Scrap_used_and_secondhand_goods,2672
