commodity,total_output
111CA_Farms,87292
113FF_Forestry_fishing_and_related_activities,14795
211_Oil_and_gas_extraction,15979
212_Mining_except_oil_and_gas,15172
213_Support_activities_for_mining,3816
22_Utilities,51466
23_Construction,178612
311FT_Food_and_beverage_and_tobacco_products,150527
313TT_Textile_mills_and_textile_product_mills,33738
315AL_Apparel_and_leather_and_allied_products,34007
321_Wood_products,22768
322_Paper_products,31675
323_Printing_and_related_support_activities,10789
324_Petroleum_and_coal_products,33052
325_Chemical_products,61539
326_Plastics_and_rubber_products,24406
327_Nonmetallic_mineral_products,22429
331_Primary_metals,65436
332_Fabricated_metal_products,61229
333_Machinery,60902
334_Computer_and_electronic_products,45364
335_Electrical_equipment_appliances_and_components,29447
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,91166
3364OT_Other_transportation_equipment,36446
337_Furniture_and_related_products,13335
339_Miscellaneous_manufacturing,18989
42_Wholesale_trade,104328
44RT_Retail_trade,135991
481_Air_transportation,15227
482_Rail_transportation,16660
483_Water_transportation,6095
484_Truck_transportation,27598
485_Transit_and_ground_passenger_transportation,8803
486_Pipeline_transportation,4223
487OS_Other_transportation_and_support_activities,15565
493_Warehousing_and_storage,4204
511_Publishing_industries_except_internet_includes_software,11385
512_Motion_picture_and_sound_recording_industries,9471
513_Broadcasting_and_telecommunications,39226
514_Data_processing_internet_publishing_and_other_information_services,5080
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,47674
523_Securities_commodity_contracts_and_investments,6182
524_Insurance_carriers_and_related_activities,42538
525_Funds_trusts_and_other_financial_vehicles,6002
531_Real_estate,157150
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,21150
5411_Legal_services,18309
5412OP_Miscellaneous_professional_scientific_and_technical_services,88817
5415_Computer_systems_design_and_related_services,7163
55_Management_of_companies_and_enterprises,26378
561_Administrative_and_support_services,17455
562_Waste_management_and_remediation_services,6570
61_Educational_services,17263
621_Ambulatory_health_care_services,30989
622HO_Hospitals_and_nursing_and_residential_care_facilities,38598
624_Social_assistance,4589
711AS_Performing_arts_spectator_sports_museums_and_related_activities,6689
713_Amusements_gambling_and_recreation_industries,5962
721_Accommodation,10832
722_Food_services_and_drinking_places,58871
81_Other_services_except_government,64664
GFE_Federal_government_enterprises,9555
GFG_Federal_general_government,114534
GSLE_State_and_local_government_enterprises,3298
GSLG_State_and_local_general_government,124592
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,211
Used_Scrap_used_and_secondhand_goods,1752
