commodity,total_output
111CA_Farms,164365
113FF_Forestry_fishing_and_related_activities,37015
211_Oil_and_gas_extraction,68718
212_Mining_except_oil_and_gas,48573
213_Support_activities_for_mining,16179
22_Utilities,243160
23_Construction,573423
311FT_Food_and_beverage_and_tobacco_products,415596
313TT_Textile_mills_and_textile_product_mills,71318
315AL_Apparel_and_leather_and_allied_products,67141
321_Wood_products,57058
322_Paper_products,122976
323_Printing_and_related_support_activities,53754
324_Petroleum_and_coal_products,143105
325_Chemical_products,292079
326_Plastics_and_rubber_products,103411
327_Nonmetallic_mineral_products,61639
331_Primary_metals,138695
332_Fabricated_metal_products,166420
333_Machinery,176111
334_Computer_and_electronic_products,237138
335_Electrical_equipment_appliances_and_components,81621
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,264943
3364OT_Other_transportation_equipment,120407
337_Furniture_and_related_products,43807
339_Miscellaneous_manufacturing,64153
42_Wholesale_trade,465565
44RT_Retail_trade,508680
481_Air_transportation,79601
482_Rail_transportation,33112
483_Water_transportation,17914
484_Truck_transportation,97991
485_Transit_and_ground_passenger_transportation,22422
486_Pipeline_transportation,20928
487OS_Other_transportation_and_support_activities,52605
493_Warehousing_and_storage,16126
511_Publishing_industries_except_internet_includes_software,55804
512_Motion_picture_and_sound_recording_industries,48597
513_Broadcasting_and_telecommunications,177615
514_Data_processing_internet_publishing_and_other_information_services,27621
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,214078
523_Securities_commodity_contracts_and_investments,77525
524_Insurance_carriers_and_related_activities,239625
525_Funds_trusts_and_other_financial_vehicles,37747
531_Real_estate,781866
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,119038
5411_Legal_services,101483
5412OP_Miscellaneous_professional_scientific_and_technical_services,498989
5415_Computer_systems_design_and_related_services,59355
55_Management_of_companies_and_enterprises,111779
561_Administrative_and_support_services,147046
562_Waste_management_and_remediation_services,29777
61_Educational_services,74276
621_Ambulatory_health_care_services,221780
622HO_Hospitals_and_nursing_and_residential_care_facilities,258979
624_Social_assistance,35537
711AS_Performing_arts_spectator_sports_museums_and_related_activities,26398
713_Amusements_gambling_and_recreation_industries,40256
721_Accommodation,50402
722_Food_services_and_drinking_places,253831
81_Other_services_except_government,282794
GFE_Federal_government_enterprises,39972
GFG_Federal_general_government,382885
GSLE_State_and_local_government_enterprises,24606
GSLG_State_and_local_general_government,498544
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,608
Used_Scrap_used_and_secondhand_goods,3263
