commodity,total_output
111CA_Farms,257620
113FF_Forestry_fishing_and_related_activities,52330
211_Oil_and_gas_extraction,161125
212_Mining_except_oil_and_gas,60436
213_Support_activities_for_mining,53649
22_Utilities,427457
23_Construction,1223293
311FT_Food_and_beverage_and_tobacco_products,633060
313TT_Textile_mills_and_textile_product_mills,67752
315AL_Apparel_and_leather_and_allied_products,37657
321_Wood_products,104612
322_Paper_products,150606
323_Printing_and_related_support_activities,73908
324_Petroleum_and_coal_products,329733
325_Chemical_products,535179
326_Plastics_and_rubber_products,181789
327_Nonmetallic_mineral_products,100623
331_Primary_metals,182327
332_Fabricated_metal_products,250970
333_Machinery,259547
334_Computer_and_electronic_products,360119
335_Electrical_equipment_appliances_and_components,99360
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,492296
3364OT_Other_transportation_equipment,153427
337_Furniture_and_related_products,77138
339_Miscellaneous_manufacturing,127961
42_Wholesale_trade,1007827
441_Motor_vehicle_and_parts_dealers,142051
445_Food_and_beverage_stores,152610
452_General_merchandise_stores,167255
481_Air_transportation,131443
482_Rail_transportation,45081
483_Water_transportation,34979
484_Truck_transportation,227270
485_Transit_and_ground_passenger_transportation,43136
486_Pipeline_transportation,23187
487OS_Other_transportation_and_support_activities,153115
493_Warehousing_and_storage,51025
4A0_Other_retail,617165
511_Publishing_industries_except_internet_includes_software,188003
512_Motion_picture_and_sound_recording_industries,128617
513_Broadcasting_and_telecommunications,504764
514_Data_processing_internet_publishing_and_other_information_services,84721
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,548373
523_Securities_commodity_contracts_and_investments,380881
524_Insurance_carriers_and_related_activities,555757
525_Funds_trusts_and_other_financial_vehicles,98820
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,298061
5411_Legal_services,252015
5412OP_Miscellaneous_professional_scientific_and_technical_services,1187709
5415_Computer_systems_design_and_related_services,240138
55_Management_of_companies_and_enterprises,311093
561_Administrative_and_support_services,469175
562_Waste_management_and_remediation_services,71428
61_Educational_services,215206
621_Ambulatory_health_care_services,623751
622_Hospitals,536128
623_Nursing_and_residential_care_facilities,143973
624_Social_assistance,111519
711AS_Performing_arts_spectator_sports_museums_and_related_activities,92490
713_Amusements_gambling_and_recreation_industries,129052
721_Accommodation,119638
722_Food_services_and_drinking_places,537218
81_Other_services_except_government,612572
GFE_Federal_government_enterprises,70227
GFGD_Federal_general_government_defense,448922
GFGN_Federal_general_government_nondefense,234781
GSLE_State_and_local_government_enterprises,57363
GSLG_State_and_local_general_government,1168216
HS_Housing,1238831
ORE_Other_real_estate,771292
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,1064
Used_Scrap_used_and_secondhand_goods,6990
