commodity,total_output
111CA_Farms,36068
113FF_Forestry_fishing_and_related_activities,4914
211_Oil_and_gas_extraction,9018
212_Mining_except_oil_and_gas,6792
213_Support_activities_for_mining,2691
22_Utilities,23263
23_Construction,72895
311FT_Food_and_beverage_and_tobacco_products,80552
313TT_Textile_mills_and_textile_product_mills,17025
315AL_Apparel_and_leather_and_allied_products,20881
321_Wood_products,7367
322_Paper_products,15294
323_Printing_and_related_support_activities,6909
324_Petroleum_and_coal_products,16479
325_Chemical_products,28118
326_Plastics_and_rubber_products,8353
327_Nonmetallic_mineral_products,10632
331_Primary_metals,29894
332_Fabricated_metal_products,25034
333_Machinery,23095
334_Computer_and_electronic_products,19241
335_Electrical_equipment_appliances_and_components,12411
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,41263
3364OT_Other_transportation_equipment,18030
337_Furniture_and_related_products,6047
339_Miscellaneous_manufacturing,8614
42_Wholesale_trade,44281
44RT_Retail_trade,69421
48_Transportation,40619
493_Warehousing_and_storage,1792
51_Information,23321
52_Finance_and_insurance,39543
531_Real_estate,66687
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,7580
54_Professional_scientific_and_technical_services,44475
55_Management_of_companies_and_enterprises,12054
56_Administrative_and_waste_management_services,8143
61_Educational_services,4844
62_Health_care_and_social_assistance,20830
71_Arts_entertainment_and_recreation,5266
721_Accommodation,3866
722_Food_services_and_drinking_places,24002
81_Other_services_except_government,33392
GFE_Federal_government_enterprises,4048
GFG_Federal_general_government,59018
GSLE_State_and_local_government_enterprises,1145
GSLG_State_and_local_general_government,38672
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,548
Used_Scrap_used_and_secondhand_goods,1096
