commodity,total_output
111CA_Farms,292295
113FF_Forestry_fishing_and_related_activities,49235
211_Oil_and_gas_extraction,186059
212_Mining_except_oil_and_gas,87354
213_Support_activities_for_mining,92442
22_Utilities,545601
23_Construction,1184935
311FT_Food_and_beverage_and_tobacco_products,786286
313TT_Textile_mills_and_textile_product_mills,43946
315AL_Apparel_and_leather_and_allied_products,24040
321_Wood_products,66640
322_Paper_products,159625
323_Printing_and_related_support_activities,65467
324_Petroleum_and_coal_products,470541
325_Chemical_products,594421
326_Plastics_and_rubber_products,165822
327_Nonmetallic_mineral_products,87291
331_Primary_metals,155465
332_Fabricated_metal_products,270368
333_Machinery,273748
334_Computer_and_electronic_products,310722
335_Electrical_equipment_appliances_and_components,99654
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,318228
3364OT_Other_transportation_equipment,223098
337_Furniture_and_related_products,56721
339_Miscellaneous_manufacturing,145678
42_Wholesale_trade,1144268
441_Motor_vehicle_and_parts_dealers,85873
445_Food_and_beverage_stores,172936
452_General_merchandise_stores,200015
481_Air_transportation,144624
482_Rail_transportation,53389
483_Water_transportation,42921
484_Truck_transportation,226734
485_Transit_and_ground_passenger_transportation,58110
486_Pipeline_transportation,28669
487OS_Other_transportation_and_support_activities,169146
493_Warehousing_and_storage,81135
4A0_Other_retail,646937
511_Publishing_industries_except_internet_includes_software,200571
512_Motion_picture_and_sound_recording_industries,122007
513_Broadcasting_and_telecommunications,570593
514_Data_processing_internet_publishing_and_other_information_services,126418
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,626029
523_Securities_commodity_contracts_and_investments,455839
524_Insurance_carriers_and_related_activities,649035
525_Funds_trusts_and_other_financial_vehicles,118113
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,329273
5411_Legal_services,279547
5412OP_Miscellaneous_professional_scientific_and_technical_services,1452924
5415_Computer_systems_design_and_related_services,323706
55_Management_of_companies_and_enterprises,388280
561_Administrative_and_support_services,555132
562_Waste_management_and_remediation_services,86900
61_Educational_services,300780
621_Ambulatory_health_care_services,791165
622_Hospitals,744534
623_Nursing_and_residential_care_facilities,187100
624_Social_assistance,155160
711AS_Performing_arts_spectator_sports_museums_and_related_activities,123874
713_Amusements_gambling_and_recreation_industries,155141
721_Accommodation,142481
722_Food_services_and_drinking_places,632647
81_Other_services_except_government,645590
GFE_Federal_government_enterprises,75880
GFGD_Federal_general_government_defense,614310
GFGN_Federal_general_government_nondefense,323854
GSLE_State_and_local_government_enterprises,74726
GSLG_State_and_local_general_government,1495266
HS_Housing,1608434
ORE_Other_real_estate,778883
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,2049
Used_Scrap_used_and_secondhand_goods,7964
