commodity,total_output
111CA_Farms,388637
113FF_Forestry_fishing_and_related_activities,62805
211_Oil_and_gas_extraction,206101
212_Mining_except_oil_and_gas,76406
213_Support_activities_for_mining,89658
22_Utilities,685433
23_Construction,1882738
311FT_Food_and_beverage_and_tobacco_products,1013602
313TT_Textile_mills_and_textile_product_mills,43543
315AL_Apparel_and_leather_and_allied_products,20052
321_Wood_products,121277
322_Paper_products,177025
323_Printing_and_related_support_activities,66793
324_Petroleum_and_coal_products,358302
325_Chemical_products,713435
326_Plastics_and_rubber_products,230385
327_Nonmetallic_mineral_products,132665
331_Primary_metals,197905
332_Fabricated_metal_products,340646
333_Machinery,343190
334_Computer_and_electronic_products,308995
335_Electrical_equipment_appliances_and_components,124315
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,627312
3364OT_Other_transportation_equipment,248729
337_Furniture_and_related_products,77550
339_Miscellaneous_manufacturing,149192
42_Wholesale_trade,1991792
441_Motor_vehicle_and_parts_dealers,219817
445_Food_and_beverage_stores,258418
452_General_merchandise_stores,253014
481_Air_transportation,111747
482_Rail_transportation,72170
483_Water_transportation,38478
484_Truck_transportation,384460
485_Transit_and_ground_passenger_transportation,67629
486_Pipeline_transportation,59476
487OS_Other_transportation_and_support_activities,284294
493_Warehousing_and_storage,157962
4A0_Other_retail,1125668
511_Publishing_industries_except_internet_includes_software,343827
512_Motion_picture_and_sound_recording_industries,139873
513_Broadcasting_and_telecommunications,742776
514_Data_processing_internet_publishing_and_other_information_services,330390
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,946753
523_Securities_commodity_contracts_and_investments,689181
524_Insurance_carriers_and_related_activities,1318460
525_Funds_trusts_and_other_financial_vehicles,193837
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,474135
5411_Legal_services,381688
5412OP_Miscellaneous_professional_scientific_and_technical_services,2409654
5415_Computer_systems_design_and_related_services,612049
55_Management_of_companies_and_enterprises,657446
561_Administrative_and_support_services,1026842
562_Waste_management_and_remediation_services,129754
61_Educational_services,412968
621_Ambulatory_health_care_services,1148214
622_Hospitals,1155929
623_Nursing_and_residential_care_facilities,263351
624_Social_assistance,238419
711AS_Performing_arts_spectator_sports_museums_and_related_activities,126276
713_Amusements_gambling_and_recreation_industries,149877
721_Accommodation,136353
722_Food_services_and_drinking_places,885364
81_Other_services_except_government,886066
GFE_Federal_government_enterprises,68412
GFGD_Federal_general_government_defense,701608
GFGN_Federal_general_government_nondefense,467992
GSLE_State_and_local_government_enterprises,106959
GSLG_State_and_local_general_government,1968775
HS_Housing,2313756
ORE_Other_real_estate,1410117
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,3260
Used_Scrap_used_and_secondhand_goods,9996
