commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,F010_Personal_consumption_expenditures,F02E_Nonresidential_private_fixed_investment_in_equipment,F02N_Nonresidential_private_fixed_investment_in_intellectual_property_products,F02R_Residential_private_fixed_investment,F02S_Nonresidential_private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_Federal_national_defense_Consumption_expenditures,F06E_Federal_national_defense_Gross_investment_in_equipment,F06N_Federal_national_defense_Gross_investment_in_intellectual_property_products,F06S_Federal_national_defense_Gross_investment_in_structures,F07C_Federal_national_nondefense_Consumption_expenditures,F07E_Federal_national_nondefense_Gross_investment_in_equipment,F07N_Federal_national_nondefense_Gross_investment_in_intellectual_property_products,F07S_Federal_national_nondefense_Gross_investment_in_structures,F10C_State_and_local_Consumption_expenditures,F10E_State_and_local_Gross_investment_in_equipment,F10N_State_and_local_Gross_investment_in_intellectual_property_products,F10S_State_and_local_Gross_investment_in_structures,GFE_Federal_government_enterprises,GFG_Federal_general_government
493_Warehousing_and_storage,459,0,5,383,0,627,0,235,124,87,157,167,235,189,382,262,147,96,1222,453,900,94,155,73,108,334,26897,63581,6422,12000,2309,35,96,361,1235,5,2376,218,1896,289,1015,1706,710,113,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264
4A0_Other_retail,850,9,37,139,9,1320,77866,1205,170,3,116,198,1302,216,3109,161,44,30,183,644,34,105,1111,117,568,639,796,4676,11925,25,460,460,6380,122,1242,0,1566,198,1033,554,1195,10003,2874,729560,38752,10275,6332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187
511_Publishing_industries_except_internet_includes_software,58,2,15,0,2,159,650,7,0,0,2,4,53,2,41,10,1,5,28,29,10,2,12,79,7,27,1618,1077,312,112,15224,1256,376,326,5318,1932,1799,630,3171,74,115,88,720,78385,0,94749,0,0,-140,35972,-4181,0,0,1621,0,0,0,2132,0,0,0,5563,0,387,1957
512_Motion_picture_and_sound_recording_industries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,534,18,0,61353,24,69,427,1607,132,31,1551,1348,138,1314,1470,691,25541,0,36716,0,0,40,20272,-7669,0,0,0,0,0,0,0,0,0,0,0,0,7,1164
513_Broadcasting_and_telecommunications,637,41,724,265,407,1844,8795,1032,92,28,271,269,429,208,975,585,358,270,979,790,286,174,464,338,174,479,16792,12478,5556,642,123519,19780,18308,1332,19393,5655,12626,2424,11026,1447,2580,5569,4648,337957,6932,29084,0,0,0,14092,-170,0,0,0,0,0,0,0,0,0,0,0,0,723,7156
514_Data_processing_internet_publishing_and_other_information_services,0,0,48,8,8,1889,1270,867,81,39,379,318,185,113,437,459,483,320,1029,898,207,143,315,673,272,394,4368,10219,742,149,16793,12583,851,4828,19751,5807,21227,4798,6563,1154,766,3552,6766,47643,0,9124,0,0,0,5228,-1161,0,0,454,0,0,0,443,0,0,0,1201,0,356,14046
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,1620,86,1581,762,962,9163,8858,3200,202,85,335,301,332,215,1692,1269,927,936,1455,1240,567,346,1240,621,480,741,20521,23161,17623,1002,8706,81183,166982,16176,24222,14953,9834,2916,13793,1754,1686,2833,14632,254673,0,0,0,0,0,52896,-48,0,0,0,0,0,0,0,0,0,0,0,0,3999,406
523_Securities_commodity_contracts_and_investments,315,35,2713,1367,2529,733,2471,210,15,4,52,32,52,36,55,112,84,1107,1573,1256,70,255,1217,619,429,710,2170,1662,10941,38,1077,168615,6113,725,3869,7758,1930,656,9541,394,2590,2878,15125,225905,0,0,0,0,0,62032,-61,0,0,0,0,0,0,0,0,0,0,0,0,138,129
524_Insurance_carriers_and_related_activities,2796,1085,5438,1755,1848,1266,633,3360,375,170,289,350,105,242,2431,622,1059,798,951,1498,224,810,1699,1445,465,632,26995,12109,14211,1691,5104,395355,63523,3451,12298,303,8857,2147,69994,3123,1736,3709,3877,355395,0,0,9799,0,0,17249,-52268,0,0,0,0,0,0,0,0,0,0,0,0,643,62058
525_Funds_trusts_and_other_financial_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22083,0,0,0,59,0,0,0,0,0,0,0,160017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
