commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,F010_Personal_consumption_expenditures,F02E_Nonresidential_private_fixed_investment_in_equipment,F02N_Nonresidential_private_fixed_investment_in_intellectual_property_products,F02R_Residential_private_fixed_investment,F02S_Nonresidential_private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_Federal_national_defense_Consumption_expenditures,F06E_Federal_national_defense_Gross_investment_in_equipment,F06N_Federal_national_defense_Gross_investment_in_intellectual_property_products,F06S_Federal_national_defense_Gross_investment_in_structures,F07C_Federal_national_nondefense_Consumption_expenditures,F07E_Federal_national_nondefense_Gross_investment_in_equipment,F07N_Federal_national_nondefense_Gross_investment_in_intellectual_property_products,F07S_Federal_national_nondefense_Gross_investment_in_structures,F10C_State_and_local_Consumption_expenditures,F10E_State_and_local_Gross_investment_in_equipment,F10N_State_and_local_Gross_investment_in_intellectual_property_products,F10S_State_and_local_Gross_investment_in_structures,GFE_Federal_government_enterprises,GFG_Federal_general_government
111CA_Farms,36041,590,0,63,42,0,1956,180707,1590,0,0,0,0,0,7594,0,0,0,0,0,0,0,0,0,0,482,1355,1416,58,0,0,1,2,0,353,23,568,91,0,264,21,819,24,63542,0,0,0,0,-343,49311,-25078,0,0,0,0,0,0,0,0,0,0,0,0,0,-598
113FF_Forestry_fishing_and_related_activities,20014,5689,0,64,0,0,0,6554,0,54,10747,3279,59,4,574,2283,2,0,0,0,0,0,0,0,44,331,0,582,3,0,0,0,0,0,79,9,1,65,0,175,293,2738,104,6025,0,0,0,0,-279,4901,-15357,0,0,0,0,0,0,0,0,0,0,0,0,21,81
211_Oil_and_gas_extraction,0,0,51918,50,8,100018,0,9,0,0,14,17,2,516731,17798,14,1,143,5,2,0,0,1,0,0,0,74,80,290,11,15,0,0,0,41,136,26,16,179,52,58,166,123,0,0,0,0,0,-583,7647,-389503,0,0,0,0,0,0,0,0,0,0,0,0,2401,0
212_Mining_except_oil_and_gas,2250,1,56,7371,83,12715,13247,3293,183,0,16,2764,0,672,5452,244,9868,20068,578,150,40,134,82,94,36,380,14,1,104,3,273,0,0,0,687,57,339,317,90,764,56,429,642,326,355,0,0,0,-215,12005,-5667,0,0,0,0,0,0,0,0,0,0,0,0,0,1369
213_Support_activities_for_mining,0,0,9286,1766,1719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,1843,0,0,120348,-1,3344,-729,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,6180,195,2646,4168,178,30052,5173,16277,1940,264,2117,8767,1521,1437,21077,5523,5755,9477,6179,3094,4017,1384,4059,1834,955,1807,11159,27260,13591,6000,4276,8110,58637,2665,3633,9169,2348,6267,11114,3067,5251,18722,5649,254253,0,0,0,0,0,4461,-3932,0,0,0,0,0,0,0,0,0,0,0,0,1295,3481
23_Construction,1739,37,2085,1810,2593,6291,227,1254,90,34,187,509,281,4578,1339,445,339,697,649,451,646,148,374,214,110,229,1233,2518,4349,363,2157,9229,109037,152,836,470,365,349,1405,429,587,1287,3785,0,0,0,397349,434347,0,87,0,0,0,0,13671,0,0,0,10317,0,0,0,278330,1323,6768
311FT_Food_and_beverage_and_tobacco_products,28643,430,0,0,0,0,0,163480,11,635,37,1179,989,87,3801,128,183,7,0,0,0,0,0,0,0,9,1838,5024,422,0,94,0,0,0,895,114,0,6072,14409,3955,4135,33618,1292,493031,0,0,0,0,138,50572,-63625,0,0,0,0,0,0,0,0,0,0,0,0,579,2739
313TT_Textile_mills_and_textile_product_mills,207,103,0,4,0,0,2434,155,10104,3017,718,2474,359,31,1,2284,338,0,0,861,11,0,3356,822,3203,2369,865,3236,274,2,152,0,55,139,154,5,190,40,2985,532,1591,259,1091,19264,1284,0,529,0,-1042,9348,-24500,0,0,0,0,0,31,0,0,0,41,0,0,-3,1040
315AL_Apparel_and_leather_and_allied_products,14,0,0,0,0,1,0,12,288,3417,0,0,1032,6,0,1,0,0,0,0,0,0,1370,0,0,50,645,979,0,0,1767,0,0,71,24,5,389,82,1352,100,25,291,2170,129443,0,0,0,0,-2592,4407,-122325,0,0,0,0,0,0,0,0,0,0,0,0,49,100
