commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government
111CA_Farms,16737,1249,3,0,0,0,0,81474,2325,1,0,0,0,0,267,0,2,0,0,0,0,0,0,0,0,40,2005,91,6,0,1,0,24,0,4,3,0,74,275,104,74,1517,40,7,888,1,710
113FF_Forestry_fishing_and_related_activities,6868,5117,8,70,0,46,302,2158,221,143,7436,2143,9,8,336,709,5,10,11,5,6,14,21,5,20,43,478,121,36,0,15,10,0,3,5,0,20,101,120,90,100,844,33,18,51,65,155
211_Oil_and_gas_extraction,0,0,4591,0,0,22610,0,0,0,0,0,0,0,115756,2045,100,0,33,0,0,0,0,0,0,0,0,0,0,1679,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,141,0,0
212_Mining_except_oil_and_gas,291,3,29,6724,42,13100,1724,155,47,9,16,539,7,472,3173,62,3433,11542,105,162,85,158,328,117,8,583,15,19,84,0,43,2,284,1,1,2,8,32,12,3,4,4,8,582,123,920,296
213_Support_activities_for_mining,0,0,2446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,2031,97,1753,2388,150,111,913,2782,1036,334,715,2844,473,4197,6432,1243,2732,7703,2087,1320,1332,707,1388,972,255,349,4275,10292,1082,104,767,1022,985,193,790,792,771,641,3020,405,1156,1995,1034,160,1248,5834,7004
23_Construction,263,111,0,165,4,2056,93,288,92,44,90,180,64,446,350,106,202,495,502,261,233,111,262,306,59,73,809,1368,1529,76,1239,280,9134,46,116,157,86,756,790,147,242,247,713,102,1772,1671,10204
311FT_Food_and_beverage_and_tobacco_products,15283,183,10,4,1,4,6,46038,11,525,4,344,10,55,1430,9,26,11,13,17,14,6,5,13,37,119,1949,3938,195,0,141,8,3,4,26,0,9,145,4011,468,1550,33418,359,865,1008,3,4436
313TT_Textile_mills_and_textile_product_mills,234,169,24,49,3,48,1236,57,13772,10586,155,846,107,42,164,1511,129,6,37,130,1,68,1407,370,1272,1090,2333,347,743,0,64,96,140,1,7,0,10,13,573,50,235,47,229,50,122,33,365
315AL_Apparel_and_leather_and_allied_products,49,26,29,28,3,11,93,19,169,9912,6,18,19,11,20,23,21,30,39,23,85,8,271,31,131,230,203,211,161,1,77,22,12,37,43,0,43,14,536,165,80,23,439,12,503,29,794
321_Wood_products,485,46,341,181,53,476,13948,78,18,44,6112,1890,1,81,63,146,291,249,497,286,107,183,361,402,2615,752,895,54,240,5,273,12,1286,1,11,2,147,20,177,96,41,24,26,72,25,209,88
322_Paper_products,461,84,29,45,2,130,653,6590,409,313,135,17611,7960,588,3014,1149,1207,152,793,481,777,621,391,71,295,1131,2888,4527,193,13,5551,515,245,40,776,45,356,558,867,50,121,1118,400,41,153,47,1602
323_Printing_and_related_support_activities,7,13,41,15,0,116,65,1456,24,42,16,48,1874,10,412,35,45,46,301,77,347,41,57,104,23,103,1899,152,343,5,5771,2379,411,19,1756,140,266,293,917,53,97,41,1837,128,340,77,2088
324_Petroleum_and_coal_products,8069,1260,1104,2113,1491,7468,11138,1241,552,330,564,2542,494,19631,4290,643,949,2215,1098,901,715,409,821,858,231,473,3717,8713,25311,55,1348,999,2240,198,1768,154,1840,636,1961,204,338,369,1028,559,4252,2622,7826
325_Chemical_products,8536,1409,814,933,1166,732,2926,2503,8810,763,822,4285,1557,4014,40134,12098,2187,3817,2268,1024,1600,1925,1144,657,484,1527,737,241,327,1,393,351,739,54,286,118,768,198,7376,28,158,189,611,35,1325,703,4035
326_Plastics_and_rubber_products,584,157,73,566,58,334,2336,2733,595,435,215,1255,608,319,2925,2111,204,351,1183,2124,4552,1043,4783,849,800,1166,939,787,1050,6,366,56,645,123,405,14,158,84,2844,65,229,726,233,33,330,206,792
