commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,F010_Personal_consumption_expenditures,F02E_Private_fixed_investment_in_equipment,F02N_Private_fixed_investment_in_intellectual_property_products,F02T_Private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_National_defense_Consumption_expenditures,F06E_National_defense_Gross_investment_except_structures,F06S_National_defense_Gross_investment_in_structures,F07C_Nondefense_Consumption_expenditures,F07E_Nondefense_Gross_investment_except_structures,F07S_Nondefense_Gross_investment_in_structures,F10C_State_and_local_government_consumption_expenditures,F10E_State_and_local_government_gross_investment_except_structures,F10S_State_and_local_government_gross_investment_in_structures,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government,T001_Total_Intermediate,T004_Total_Final_Uses_GDP
111CA_Farms,4373,240,2,4,0,27,430,22187,2004,72,0,0,0,0,51,0,11,1,0,0,0,0,0,0,0,30,308,38,10,0,17,0,44,0,2,1,124,0,76,43,2,408,2,4493,0,0,0,472,3612,-1877,0,0,0,0,0,0,0,0,0,0,-167,6,187,30537,6700
113FF_Forestry_fishing_and_related_activities,1454,1083,0,0,18,0,141,227,23,129,1416,666,0,0,188,218,0,0,0,16,0,2,0,0,1,10,86,23,2,0,0,0,0,0,0,0,0,0,0,0,0,119,1,359,0,0,0,44,158,-964,0,0,0,0,0,0,0,0,0,0,12,1,4,5842,-403
211_Oil_and_gas_extraction,0,0,149,0,0,1903,0,0,0,0,0,0,0,8351,18,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,-1299,0,0,0,0,0,0,0,0,0,0,0,22,0,10499,-1271
212_Mining_except_oil_and_gas,114,0,2,835,5,910,544,31,13,3,2,145,1,110,574,18,885,2618,16,9,5,8,14,4,2,129,0,2,29,0,23,0,36,0,0,0,27,10,9,1,1,0,7,6,0,0,0,-53,604,-1182,0,0,0,0,0,0,0,0,0,17,175,90,38,7463,-624
213_Support_activities_for_mining,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,2251
22_Utilities,187,3,31,226,1,15,239,237,117,59,65,261,53,510,630,79,405,788,227,116,105,90,123,91,27,48,183,3113,250,15,204,676,142,22,551,184,213,319,421,98,74,121,579,10950,0,0,0,0,30,-104,0,0,0,0,0,0,0,0,0,14,221,623,812,13570,10877
23_Construction,188,2,0,19,1,223,14,27,12,5,7,15,2,252,43,4,13,30,8,1,0,1,16,4,0,3,17,356,389,9,58,74,3647,4,5,45,23,118,55,23,26,24,190,0,0,0,48567,0,3,0,0,0,1640,0,0,2319,0,0,15969,19,501,241,2097,8807,68498
311FT_Food_and_beverage_and_tobacco_products,5232,119,1,1,0,6,55,16078,86,369,1,234,32,68,762,7,9,14,4,3,6,2,2,3,1,34,301,1630,183,0,28,11,2,2,34,0,3,3,436,151,24,8971,100,42845,0,0,0,648,2372,-2327,0,0,0,0,0,0,0,0,0,109,305,1,700,36124,43538
313TT_Textile_mills_and_textile_product_mills,94,93,1,2,1,7,163,76,5980,5624,14,100,36,0,23,464,56,2,54,10,2,42,433,40,339,279,405,117,23,0,6,0,1,0,1,0,1,0,27,1,12,0,168,2956,222,0,0,183,424,-934,0,0,0,0,0,0,0,0,0,9,82,3,26,14816,2851
315AL_Apparel_and_leather_and_allied_products,11,7,0,0,6,19,76,38,2,5327,22,30,1,14,38,15,28,55,77,69,57,27,32,30,24,106,3,74,31,0,10,3,0,22,8,0,7,1,18,13,0,0,467,15044,0,0,0,17,222,-667,0,0,0,0,0,0,0,0,0,0,86,1,148,7005,14616
321_Wood_products,116,14,12,65,8,229,3159,71,10,48,1573,242,30,14,49,39,111,59,143,67,26,51,94,51,708,207,30,12,50,1,138,4,94,1,1,0,3,3,22,3,4,0,13,123,169,0,474,107,149,-891,0,0,0,0,0,0,0,0,0,6,8,54,4,7647,131
322_Paper_products,16,68,1,12,0,37,207,1540,188,168,26,4518,1515,227,790,156,317,28,234,103,197,173,66,24,71,287,167,2062,43,2,1411,357,21,4,109,9,39,27,94,7,6,1,123,1005,0,0,0,138,551,-1207,0,0,0,0,0,0,0,0,0,5,55,28,170,15712,486
323_Printing_and_related_support_activities,2,1,0,1,0,20,13,310,5,9,2,40,453,4,34,1,4,8,100,7,51,8,5,10,2,9,65,141,97,1,1079,743,29,5,283,31,80,328,52,42,3,0,259,238,0,0,0,61,30,-8,0,0,0,0,0,0,0,0,0,23,147,8,408,4924,321
324_Petroleum_and_coal_products,817,31,16,69,51,320,990,87,22,13,20,105,21,1389,207,12,63,163,66,61,47,41,55,42,6,21,115,895,1289,4,122,76,93,7,145,19,135,44,109,16,19,3,198,7689,0,0,0,244,944,-819,0,0,0,0,0,0,0,0,0,37,438,82,348,8931,8058
325_Chemical_products,1419,7,33,179,40,106,855,281,1899,242,139,750,405,677,6654,1641,370,511,483,174,229,341,226,60,121,366,98,189,102,0,117,32,235,148,51,22,150,31,1008,86,25,8,403,6568,0,0,0,355,2346,-521,0,0,0,0,0,0,0,0,0,4,609,128,491,22145,8747
326_Plastics_and_rubber_products,133,2,7,145,10,39,524,163,165,327,19,177,81,2,314,408,134,27,179,304,357,455,724,191,303,430,36,269,243,1,48,11,62,316,37,3,7,7,65,8,4,0,282,1241,17,0,0,126,326,-105,0,0,0,0,1,0,0,0,0,4,128,16,130,7299,1605
