commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,F010_Personal_consumption_expenditures,F02E_Private_fixed_investment_in_equipment,F02N_Private_fixed_investment_in_intellectual_property_products,F02T_Private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_National_defense_Consumption_expenditures,F06E_National_defense_Gross_investment_except_structures,F06S_National_defense_Gross_investment_in_structures,F07C_Nondefense_Consumption_expenditures,F07E_Nondefense_Gross_investment_except_structures,F07S_Nondefense_Gross_investment_in_structures,F10C_State_and_local_government_consumption_expenditures,F10E_State_and_local_government_gross_investment_except_structures,F10S_State_and_local_government_gross_investment_in_structures,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government,T001_Total_Intermediate,T004_Total_Final_Uses_GDP
111CA_Farms,13236,480,2,1,0,7,400,51591,2044,1,0,21,1,0,133,1,1,1,2,3,4,1,2,5,0,39,502,47,16,0,7,8,134,1,7,1,3,23,214,179,58,1100,10,8711,0,0,0,1449,10027,-3430,0,0,0,0,0,0,0,0,0,2,-218,6,461,70535,16757
113FF_Forestry_fishing_and_related_activities,3229,3103,1,61,0,63,303,867,43,120,4461,1242,1,2,127,264,11,13,26,22,5,9,10,4,8,33,90,59,6,0,77,4,0,1,3,0,3,56,38,98,38,316,14,824,0,0,0,30,1088,-2053,0,0,0,0,0,0,0,0,0,1,10,11,54,14906,-111
211_Oil_and_gas_extraction,0,0,695,0,0,3728,0,0,0,0,0,0,0,15835,214,5,0,3,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,118,2,-4789,0,0,0,0,0,0,0,0,0,0,6,0,0,20649,-4670
212_Mining_except_oil_and_gas,158,24,10,1655,10,2295,962,63,22,6,31,226,2,124,992,50,1473,5960,76,31,13,16,72,18,7,371,1,3,76,0,70,0,81,3,7,1,15,30,23,5,14,0,21,15,238,0,0,95,996,-1623,0,0,0,0,0,0,0,0,0,88,22,250,74,15451,-279
213_Support_activities_for_mining,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,3483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,3529
22_Utilities,691,80,215,707,1,21,260,846,454,194,347,769,171,725,1907,394,1038,2350,825,492,313,302,612,311,112,152,520,3533,449,29,410,897,818,57,227,375,294,445,1168,187,504,513,632,22594,0,0,0,0,224,-708,0,0,0,0,0,0,0,0,0,96,388,1089,2436,29356,22110
23_Construction,721,80,0,182,1,57,122,110,32,16,41,213,47,450,306,86,98,131,101,47,22,18,82,52,8,16,196,859,544,32,197,481,9701,99,117,90,144,273,919,137,123,184,379,0,0,0,117024,0,17,0,0,0,2112,0,0,3107,0,0,29137,21,1320,687,7673,27215,151397
311FT_Food_and_beverage_and_tobacco_products,7977,125,5,3,0,6,107,26032,66,617,7,218,11,45,744,13,19,16,25,42,44,16,18,55,48,75,456,1367,198,0,84,84,16,8,61,0,14,28,1624,218,795,16735,179,88815,0,0,0,1220,6153,-6542,0,0,0,0,0,0,0,0,0,77,209,3,2389,60879,89647
313TT_Textile_mills_and_textile_product_mills,108,169,5,20,0,10,1211,56,10337,9505,158,304,211,9,46,977,67,10,44,53,1,82,958,123,770,471,468,88,126,0,26,64,13,1,8,0,8,2,279,24,71,24,177,5403,1069,0,0,590,1265,-1863,0,0,0,0,1,0,0,1,0,12,77,6,95,27274,6465
315AL_Apparel_and_leather_and_allied_products,14,11,2,7,0,6,27,16,14,4287,8,11,24,2,11,13,6,16,35,17,24,10,50,18,39,69,16,34,53,0,20,6,3,24,17,0,11,3,179,41,23,0,305,32046,0,0,0,837,454,-4963,0,0,0,0,0,0,0,0,0,1,66,12,79,5633,28374
