commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,F010_Personal_consumption_expenditures,F02E_Private_fixed_investment_in_equipment,F02N_Private_fixed_investment_in_intellectual_property_products,F02T_Private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_National_defense_Consumption_expenditures,F06E_National_defense_Gross_investment_except_structures,F06S_National_defense_Gross_investment_in_structures,F07C_Nondefense_Consumption_expenditures,F07E_Nondefense_Gross_investment_except_structures,F07S_Nondefense_Gross_investment_in_structures,F10C_State_and_local_government_consumption_expenditures,F10E_State_and_local_government_gross_investment_except_structures,F10S_State_and_local_government_gross_investment_in_structures,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government,T001_Total_Intermediate,T004_Total_Final_Uses_GDP
111CA_Farms,4819,223,1,3,0,16,290,23818,1779,43,0,0,0,0,89,0,6,1,0,0,1,0,0,0,0,28,455,43,10,0,11,1,39,0,3,1,73,0,76,84,8,488,2,4953,0,0,0,727,3558,-1854,0,0,0,0,0,0,0,0,0,17,-430,5,155,32160,7384
113FF_Forestry_fishing_and_related_activities,1708,1193,1,17,19,4,177,288,18,144,1478,798,0,0,146,205,0,0,0,12,0,3,0,0,1,10,125,24,2,0,3,0,0,0,0,0,0,0,0,18,2,183,1,434,0,0,0,33,190,-999,0,0,0,0,0,0,0,0,0,0,9,2,15,6607,-342
211_Oil_and_gas_extraction,0,0,166,0,0,2047,0,0,0,0,0,0,0,8677,19,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,110,6,-1383,0,0,0,0,0,0,0,0,0,0,0,12,0,10981,-1266
212_Mining_except_oil_and_gas,123,1,5,1045,6,1028,733,36,15,3,2,151,1,104,659,22,967,3186,22,10,6,12,17,4,2,79,0,2,27,0,27,1,49,0,1,0,35,13,8,1,3,0,7,7,0,0,0,25,643,-1355,0,0,0,0,0,0,0,0,0,26,117,92,44,8695,-680
213_Support_activities_for_mining,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,2435
22_Utilities,170,6,66,301,1,18,167,307,148,68,80,295,63,464,716,97,479,972,274,143,114,113,174,92,33,54,253,3102,269,20,211,619,192,14,424,215,273,327,552,83,116,166,657,12098,0,0,0,0,47,-136,0,0,0,0,0,0,0,0,0,36,161,768,1129,15006,12009
23_Construction,220,1,0,51,1,293,19,57,21,8,14,44,9,276,88,10,40,72,27,22,16,12,38,17,5,7,32,406,449,14,124,101,4543,5,53,53,67,169,74,29,41,37,202,0,0,0,56979,0,8,0,0,0,1138,0,0,2755,0,0,18953,17,435,381,2530,11133,79833
311FT_Food_and_beverage_and_tobacco_products,4493,97,1,1,0,4,38,15298,70,306,1,197,17,59,655,7,9,14,6,5,8,3,3,4,4,34,413,1390,144,0,26,13,3,1,37,0,4,3,462,133,111,10082,100,49186,0,0,0,877,2675,-2229,0,0,0,0,0,0,0,0,0,94,272,1,596,35218,50509
313TT_Textile_mills_and_textile_product_mills,95,103,4,25,1,12,222,84,6781,5978,29,144,131,0,47,552,70,3,42,12,3,39,471,38,385,330,723,145,94,0,8,0,1,0,4,0,10,0,40,1,38,1,144,3565,180,0,0,229,425,-1103,0,0,0,0,0,0,0,0,0,10,126,4,39,16990,3297
315AL_Apparel_and_leather_and_allied_products,13,6,1,1,7,21,89,44,15,5689,20,28,15,11,35,18,28,60,71,66,54,33,43,29,24,117,8,71,33,0,17,4,1,14,18,0,14,1,38,13,14,0,523,16986,0,0,0,108,199,-917,0,0,0,0,0,0,0,0,0,1,89,5,125,7526,16375
321_Wood_products,111,13,27,69,8,232,3919,79,12,43,1634,279,17,11,49,37,91,89,146,76,30,68,101,57,724,185,64,13,40,1,151,2,83,0,1,0,3,3,29,2,7,0,15,146,94,0,799,131,179,-1123,0,0,0,0,0,0,0,0,0,13,14,61,4,8614,226
322_Paper_products,18,89,2,25,1,41,275,1911,193,176,42,4891,1616,223,943,178,403,39,287,108,197,217,118,25,83,378,326,1930,85,2,1504,445,24,4,165,10,52,42,130,11,18,4,142,1222,0,0,0,199,542,-1395,0,0,0,0,0,0,0,0,0,6,61,22,208,17670,568
323_Printing_and_related_support_activities,1,1,0,1,0,22,16,350,5,43,3,30,596,6,32,2,5,10,109,8,75,7,90,11,2,8,113,186,99,1,1216,870,35,4,276,36,68,296,58,33,4,0,300,278,0,0,0,88,37,-12,0,0,0,0,0,0,0,0,0,20,132,18,389,5587,390
324_Petroleum_and_coal_products,745,44,22,91,57,321,1083,96,21,13,24,97,17,1314,196,12,61,143,76,71,40,39,62,45,6,22,170,833,1398,5,118,87,143,5,150,23,108,56,121,14,32,6,231,8601,0,0,0,395,793,-1032,0,0,0,0,0,0,0,0,0,31,522,94,448,9312,8757
