commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,F010_Personal_consumption_expenditures,F02E_Nonresidential_private_fixed_investment_in_equipment,F02N_Nonresidential_private_fixed_investment_in_intellectual_property_products,F02R_Residential_private_fixed_investment,F02S_Nonresidential_private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_Federal_national_defense_Consumption_expenditures,F06E_Federal_national_defense_Gross_investment_in_equipment,F06N_Federal_national_defense_Gross_investment_in_intellectual_property_products,F06S_Federal_national_defense_Gross_investment_in_structures,F07C_Federal_national_nondefense_Consumption_expenditures,F07E_Federal_national_nondefense_Gross_investment_in_equipment,F07N_Federal_national_nondefense_Gross_investment_in_intellectual_property_products,F07S_Federal_national_nondefense_Gross_investment_in_structures,F10C_State_and_local_Consumption_expenditures,F10E_State_and_local_Gross_investment_in_equipment,F10N_State_and_local_Gross_investment_in_intellectual_property_products,F10S_State_and_local_Gross_investment_in_structures,GFE_Federal_government_enterprises,GFG_Federal_general_government
111CA_Farms,29959,475,0,19,3,0,1150,115777,2200,0,0,0,0,0,3300,0,0,0,0,0,0,0,0,0,0,130,1365,661,28,0,0,0,0,0,211,9,324,86,0,173,15,596,17,45887,0,0,0,0,433,19602,-14104,0,0,0,0,0,0,0,0,0,0,0,0,0,-1286
113FF_Forestry_fishing_and_related_activities,12326,7345,0,56,0,0,0,4725,0,33,11665,3325,39,1,188,909,1,0,0,0,0,0,0,0,25,132,0,348,1,0,0,0,0,0,62,4,0,39,0,130,154,1832,108,4839,0,0,0,0,96,3733,-9967,0,0,0,0,0,0,0,0,0,0,0,0,24,45
211_Oil_and_gas_extraction,0,0,16092,7,0,52212,0,1,0,0,2,2,1,123294,4224,3,0,101,1,0,0,0,0,0,0,0,11,17,29,1,6,0,0,0,4,18,12,2,15,9,10,35,10,0,0,0,0,0,2487,1048,-93994,0,0,0,0,0,0,0,0,0,0,0,0,419,0
212_Mining_except_oil_and_gas,1193,1,28,2777,14,13000,10000,989,69,0,4,848,0,299,2356,82,5160,5451,228,49,205,67,43,88,21,137,4,1,51,0,335,0,0,0,222,15,80,61,20,167,31,170,180,92,65,0,0,0,-254,3026,-1615,0,0,0,0,0,0,0,0,0,0,0,0,0,504
213_Support_activities_for_mining,0,0,2726,1135,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,174,0,0,34590,-8,1049,-479,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,4236,210,2086,2150,26,32336,4436,16018,2870,1263,2678,8764,3071,2513,16843,8210,5489,12274,8402,3987,9390,2628,5750,2193,1259,1732,6147,18949,4566,1970,13317,3743,51009,1682,6333,4267,4279,3328,12950,4255,3277,13215,5886,173418,0,0,0,0,0,3342,-2804,0,0,0,0,0,0,0,0,0,0,0,0,822,1625
23_Construction,916,44,1565,1132,354,4851,211,1481,223,100,339,819,521,467,1620,802,532,1072,1137,727,1541,339,732,268,222,283,750,1800,2744,175,4885,8036,44755,243,831,232,243,295,1060,420,390,995,3106,0,0,0,396848,290734,0,79,0,0,0,0,5337,0,0,0,9220,0,0,0,189233,1170,5092
311FT_Food_and_beverage_and_tobacco_products,15367,477,0,0,0,0,0,99970,28,785,8,634,342,40,1680,64,118,2,0,0,0,0,0,0,0,5,737,2428,317,0,147,0,0,0,441,12,0,5156,10133,2097,2282,23065,1272,370520,0,0,0,0,1513,29494,-33819,0,0,0,0,0,0,0,0,0,0,0,0,634,1502
313TT_Textile_mills_and_textile_product_mills,214,108,0,2,0,0,1996,88,15723,12851,532,1296,462,14,2,1707,185,0,0,509,18,0,4264,537,2927,2564,828,1607,223,1,199,0,29,98,176,3,124,58,3206,298,1582,330,949,19435,1486,0,461,0,-693,8250,-15508,0,0,0,0,0,77,0,0,0,53,0,0,-8,716
315AL_Apparel_and_leather_and_allied_products,27,0,0,0,0,0,0,16,813,7711,0,0,1303,1,0,0,0,0,0,0,0,0,2436,0,0,104,335,777,0,0,1908,0,0,129,18,1,358,71,1382,92,16,226,1493,128181,0,0,0,0,-2319,7208,-97586,0,0,0,0,0,0,0,0,0,0,0,0,57,87
