commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,F010_Personal_consumption_expenditures,F02E_Nonresidential_private_fixed_investment_in_equipment,F02N_Nonresidential_private_fixed_investment_in_intellectual_property_products,F02R_Residential_private_fixed_investment,F02S_Nonresidential_private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_Federal_national_defense_Consumption_expenditures,F06E_Federal_national_defense_Gross_investment_in_equipment,F06N_Federal_national_defense_Gross_investment_in_intellectual_property_products,F06S_Federal_national_defense_Gross_investment_in_structures,F07C_Federal_national_nondefense_Consumption_expenditures,F07E_Federal_national_nondefense_Gross_investment_in_equipment,F07N_Federal_national_nondefense_Gross_investment_in_intellectual_property_products,F07S_Federal_national_nondefense_Gross_investment_in_structures,F10C_State_and_local_Consumption_expenditures,F10E_State_and_local_Gross_investment_in_equipment,F10N_State_and_local_Gross_investment_in_intellectual_property_products,F10S_State_and_local_Gross_investment_in_structures,GFE_Federal_government_enterprises,GFG_Federal_general_government
111CA_Farms,29837,631,0,25,8,0,1515,124791,3106,0,0,0,0,0,3514,0,0,0,0,0,0,0,0,0,0,320,783,845,49,0,0,0,1,0,316,12,431,100,0,220,16,715,22,46638,0,0,0,0,-13,23519,-15189,0,0,0,0,0,0,0,0,0,0,0,0,0,-882
113FF_Forestry_fishing_and_related_activities,13259,7471,0,54,0,0,0,5129,0,35,12129,3227,35,1,259,1185,1,0,0,0,0,0,0,0,17,181,0,383,1,0,0,0,0,0,85,5,1,59,0,144,196,2196,118,5847,0,0,0,0,889,3696,-11448,0,0,0,0,0,0,0,0,0,0,0,0,32,46
211_Oil_and_gas_extraction,0,0,26440,16,1,56658,0,3,0,0,7,8,1,146266,13100,7,1,269,2,0,0,0,1,0,0,0,31,48,141,3,9,0,0,0,10,47,10,5,50,23,27,89,31,0,0,0,0,0,2360,1856,-123707,0,0,0,0,0,0,0,0,0,0,0,0,388,0
212_Mining_except_oil_and_gas,1228,2,34,3854,26,7050,10769,1613,163,0,9,1718,0,167,2559,138,5978,8056,252,45,68,57,61,79,23,195,8,1,43,1,206,0,0,0,273,24,101,73,38,230,33,278,186,597,33,0,0,0,185,2874,-2344,0,0,0,0,0,0,0,0,0,0,0,0,0,1016
213_Support_activities_for_mining,0,0,2809,1200,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,272,0,0,38462,2,944,-507,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,3698,204,1689,1795,37,14062,4010,8343,1814,707,1456,5415,1045,444,9054,3346,3413,6232,3722,1721,2565,885,2793,991,652,855,5676,16639,8975,2131,5215,2613,45765,1666,2189,3618,1786,3958,6014,1833,2890,11386,2859,186773,0,0,0,0,0,2879,-1430,0,0,0,0,0,0,0,0,0,0,0,0,773,2110
23_Construction,1036,54,2130,1018,660,2943,188,1076,222,76,315,655,372,308,1244,609,428,801,809,548,676,197,618,196,226,218,748,1913,3274,279,4265,6916,63997,202,613,221,184,265,1101,346,378,936,2667,0,0,0,485649,243150,0,80,0,0,0,0,7094,0,0,0,10508,0,0,0,205226,731,4646
311FT_Food_and_beverage_and_tobacco_products,18058,631,0,0,0,0,0,112863,14,884,12,834,415,21,2024,95,188,3,0,0,0,0,0,0,0,6,848,2810,442,0,136,0,0,0,704,31,0,6219,12472,3659,2897,27169,1316,384171,0,0,0,0,-1277,29318,-39677,0,0,0,0,0,0,0,0,0,0,0,0,678,2271
313TT_Textile_mills_and_textile_product_mills,197,96,0,2,0,0,1468,321,14131,9295,584,1226,283,9,2,1895,226,0,0,436,11,0,3198,662,2913,2385,751,2403,193,1,198,0,42,105,205,3,183,55,3236,419,1676,299,949,19710,2982,0,686,0,128,8479,-18778,0,0,0,0,0,39,0,0,0,35,0,0,-7,806
315AL_Apparel_and_leather_and_allied_products,27,0,0,0,0,0,0,13,515,4625,0,0,724,0,0,0,0,0,0,0,0,0,2031,0,0,133,342,760,0,0,1623,0,0,105,22,1,305,65,546,88,17,210,1465,124298,0,0,0,0,-240,5690,-103121,0,0,0,0,0,0,0,0,0,0,0,0,46,107
