commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,F010_Personal_consumption_expenditures,F02E_Private_fixed_investment_in_equipment,F02N_Private_fixed_investment_in_intellectual_property_products,F02T_Private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_National_defense_Consumption_expenditures,F06E_National_defense_Gross_investment_except_structures,F06S_National_defense_Gross_investment_in_structures,F07C_Nondefense_Consumption_expenditures,F07E_Nondefense_Gross_investment_except_structures,F07S_Nondefense_Gross_investment_in_structures,F10C_State_and_local_government_consumption_expenditures,F10E_State_and_local_government_gross_investment_except_structures,F10S_State_and_local_government_gross_investment_in_structures,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government,T001_Total_Intermediate,T004_Total_Final_Uses_GDP
111CA_Farms,25619,1292,1,17,2,14,1126,105139,3501,4,0,6,1,1,3382,1,0,1,1,1,2,0,2,1,0,176,2616,859,25,0,6,1,89,0,85,5,266,74,123,101,52,1139,53,31486,0,0,0,2906,19853,-13415,0,0,0,0,0,0,0,0,0,2,-1275,0,1402,145914,40831
113FF_Forestry_fishing_and_related_activities,12121,7831,2,76,4,21,75,3128,7,88,12065,3798,53,8,236,1144,13,19,17,24,44,14,20,34,25,201,85,455,8,0,45,30,0,8,73,3,25,69,302,101,216,1623,122,4584,0,0,0,97,4606,-7441,0,0,0,0,0,0,0,0,0,23,40,94,1256,45644,1846
211_Oil_and_gas_extraction,0,0,5587,10,0,21481,0,1,0,0,2,3,0,82092,4521,2,0,71,1,0,0,0,0,0,0,0,20,27,341,1,3,0,0,0,9,24,25,1,17,10,12,37,7,0,0,0,0,188,2431,-58203,0,0,0,0,0,0,0,0,0,100,0,4774,0,119180,-55584
212_Mining_except_oil_and_gas,903,3,14,5511,7,7374,6813,724,113,6,5,1241,1,364,3653,84,4833,8987,170,75,101,72,158,60,18,70,13,10,68,0,127,1,219,1,81,16,22,34,23,209,23,183,76,210,39,0,0,145,4943,-1037,0,0,0,0,0,0,0,0,0,388,406,2098,708,46067,4301
213_Support_activities_for_mining,0,0,965,320,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,47,0,15048,1,720,-565,0,0,0,0,0,0,0,0,0,0,0,0,0,1378,15251
22_Utilities,2813,150,990,2306,75,5678,1930,4499,1548,853,1053,3927,889,1406,8211,2869,2434,5141,2727,1831,3028,726,1749,802,480,822,5423,16116,4895,517,2295,2712,21550,724,1961,2509,2134,1498,4717,1303,2785,8208,2358,137445,0,0,0,0,1730,-921,0,0,0,0,0,0,0,0,0,614,1461,3233,13180,159129,138253
23_Construction,707,155,122,868,119,1299,241,1101,282,163,319,742,242,131,1578,612,407,794,761,606,1266,172,407,293,116,272,1107,2667,1999,111,2555,4115,25008,218,721,488,248,2205,1466,482,626,1019,2277,0,0,0,444848,0,102,0,0,0,6698,0,0,10971,0,0,114993,656,6271,14897,14699,97609,577613
311FT_Food_and_beverage_and_tobacco_products,18195,348,0,0,0,0,0,86360,30,868,5,769,287,84,1695,54,111,3,0,0,0,0,0,3,24,65,1719,4094,391,0,157,0,0,0,514,6,1,3328,8573,2577,3492,41385,1313,295643,0,0,0,1775,30014,-30168,0,0,0,0,0,0,0,1,0,690,839,0,22720,200701,297264
313TT_Textile_mills_and_textile_product_mills,468,171,1,43,0,21,1991,127,19636,19405,337,1247,756,10,21,2122,196,1,1,404,12,5,4723,409,2549,2613,1717,1465,434,0,89,41,131,76,85,1,81,25,1922,169,1144,285,534,16913,2070,0,0,518,6627,-11226,0,0,0,0,30,0,0,20,0,44,399,16,1535,67463,14951
315AL_Apparel_and_leather_and_allied_products,38,8,1,3,0,2,0,7,716,12231,0,4,1034,1,1,8,0,0,15,6,3,0,1339,5,38,197,782,808,69,0,577,9,7,117,88,1,324,37,1129,136,48,98,1440,115984,0,0,0,1634,9034,-69248,0,0,0,0,0,0,0,0,0,111,289,37,1673,23438,57404
