commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,F010_Personal_consumption_expenditures,F02E_Private_fixed_investment_in_equipment,F02N_Private_fixed_investment_in_intellectual_property_products,F02T_Private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_National_defense_Consumption_expenditures,F06E_National_defense_Gross_investment_except_structures,F06S_National_defense_Gross_investment_in_structures,F07C_Nondefense_Consumption_expenditures,F07E_Nondefense_Gross_investment_except_structures,F07S_Nondefense_Gross_investment_in_structures,F10C_State_and_local_government_consumption_expenditures,F10E_State_and_local_government_gross_investment_except_structures,F10S_State_and_local_government_gross_investment_in_structures,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government,T001_Total_Intermediate,T004_Total_Final_Uses_GDP
111CA_Farms,15666,1306,0,0,0,2,95,83324,2478,4,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,26,1053,73,4,0,2,0,27,0,9,2,0,84,296,33,78,1482,58,19464,0,0,0,5172,16193,-7727,0,0,0,0,0,0,0,0,0,9,499,3,628,107445,33102
113FF_Forestry_fishing_and_related_activities,8819,3688,3,42,0,56,169,2482,234,217,7679,2503,12,4,258,930,6,13,7,8,12,29,9,6,24,118,81,117,45,0,42,27,0,5,12,0,48,192,265,79,196,1204,67,2346,0,0,0,299,1612,-4096,0,0,0,0,0,0,0,0,0,25,67,135,179,30115,162
211_Oil_and_gas_extraction,0,0,6651,0,0,22660,0,0,0,0,0,0,0,103927,2758,154,0,24,0,0,0,0,0,0,0,0,0,0,1609,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,-664,2113,-28816,0,0,0,0,0,0,0,0,0,0,121,0,0,137910,-27367
212_Mining_except_oil_and_gas,313,1,1,5271,45,10653,3128,154,45,8,19,653,12,385,3014,59,3946,8744,99,178,163,211,705,107,8,618,17,18,76,0,72,6,360,3,1,2,14,28,23,2,9,7,16,44,670,0,0,28,4643,-3317,0,0,0,0,0,0,0,0,0,790,133,1200,272,41591,2069
213_Support_activities_for_mining,0,0,2452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,27923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2452,28048
22_Utilities,2076,52,2397,2670,216,135,1481,3985,1436,542,995,3702,756,2991,8765,2173,3110,8216,2802,1884,2418,995,2544,1112,422,601,3507,9467,1307,68,1021,1568,234,396,1174,1240,1389,668,5006,696,1972,3739,1958,98382,0,0,0,0,221,-4082,0,0,0,0,0,0,0,0,0,259,1934,8982,12263,117325,94521
23_Construction,209,56,0,209,2,3799,107,178,86,45,113,139,61,185,342,122,181,600,737,490,487,167,481,500,110,103,463,1236,1920,61,3450,640,12584,64,134,266,122,1359,820,113,446,325,1253,0,0,0,326337,0,65,0,0,0,6219,0,0,7344,0,0,67553,295,3213,5873,19445,63594,407517
311FT_Food_and_beverage_and_tobacco_products,12004,146,6,4,0,2,1,53417,17,759,4,325,5,29,1251,12,24,9,12,18,12,6,6,9,23,121,1209,3584,242,0,181,5,6,3,59,0,7,137,5509,659,2300,38456,535,207172,0,0,0,-365,12089,-19159,0,0,0,0,0,0,0,1,0,783,1371,5,5344,128615,199737
313TT_Textile_mills_and_textile_product_mills,188,123,1,27,0,33,1400,64,12898,13412,108,791,114,28,153,1453,104,6,21,154,3,62,2333,358,1518,963,1435,202,757,0,74,117,135,1,13,0,11,11,706,47,337,29,281,13389,2460,0,0,644,2098,-5008,0,0,0,0,7,0,0,8,0,59,158,45,461,41194,13599
315AL_Apparel_and_leather_and_allied_products,34,11,10,17,0,8,134,15,131,10134,4,15,19,4,12,18,13,15,32,20,72,7,366,12,138,145,86,87,109,0,82,36,17,56,67,0,47,10,486,96,82,60,633,72978,0,0,0,286,1160,-29397,0,0,0,0,0,0,0,0,0,12,484,38,984,14861,45027
321_Wood_products,620,14,3,107,13,461,18767,61,40,36,6508,1794,2,74,45,101,310,240,442,320,190,215,508,278,2872,797,754,48,329,3,423,21,1806,3,26,2,244,49,265,83,25,33,73,685,5,0,5377,457,1334,-5244,0,0,0,0,0,0,0,0,0,122,28,447,89,39689,2614
322_Paper_products,613,79,18,46,0,119,888,9343,485,360,186,21985,12584,206,4443,1683,1403,155,878,562,1002,769,575,58,555,1111,3418,3676,193,8,6763,797,402,86,1255,58,631,616,1593,90,274,1409,722,7386,0,0,0,-5,4085,-7076,0,0,0,0,0,0,0,0,0,37,249,72,2191,84648,4391
323_Printing_and_related_support_activities,9,23,48,19,0,123,142,2272,19,55,21,81,3086,6,763,70,44,38,359,86,369,47,95,78,27,115,2173,69,471,4,7762,4801,807,12,3099,195,809,523,2255,98,226,122,3851,1394,0,0,0,69,256,-386,0,0,0,0,0,0,0,0,0,264,671,154,2823,39181,1333
324_Petroleum_and_coal_products,4615,813,733,1506,1701,4091,13211,872,361,265,454,1663,458,11801,2925,430,543,1249,819,617,631,346,940,494,201,308,1848,4234,21727,31,1242,1121,2022,244,1669,194,1537,545,1886,148,383,237,990,66441,0,0,0,1806,7859,-20359,0,0,0,0,0,0,0,0,0,817,4348,4452,9495,111212,55747
325_Chemical_products,6245,1405,952,773,1163,467,4561,2864,9857,1214,905,5831,2329,1903,49602,17854,2559,2844,2680,1098,2234,2251,2740,634,777,1711,499,167,352,1,695,488,820,114,796,141,1506,265,11980,42,308,185,1013,46761,1104,0,0,1424,21043,-19260,0,0,0,0,0,0,0,166,0,54,1746,1271,5410,155310,51237
326_Plastics_and_rubber_products,545,140,13,574,0,396,4631,4680,537,526,290,1719,1250,378,4896,3381,268,393,1451,2210,6880,1389,9367,941,1069,1341,647,418,1019,4,887,77,892,362,907,17,380,123,6908,176,561,1099,707,9910,125,0,0,391,2573,-5345,0,0,0,0,27,0,0,0,0,61,448,289,1217,66463,7682
327_Nonmetallic_mineral_products,371,13,287,133,1712,558,22549,3658,136,7,426,86,9,266,896,562,5435,937,980,795,707,960,1750,429,232,339,212,200,451,0,467,74,2181,92,61,13,11,205,867,12,359,311,384,3164,0,0,0,179,1608,-5080,0,0,0,0,0,0,0,0,0,137,99,606,376,51353,-129
331_Primary_metals,160,1,235,190,3373,190,8943,23,17,3,58,356,204,115,962,324,292,21965,29017,13218,4432,5686,15973,3867,1544,2525,16,16,249,0,160,14,726,1,7,2,7,24,147,3,9,15,22,464,16,0,0,3309,3875,-19929,0,0,0,0,0,0,0,0,0,45,459,155,75,115825,-12265
332_Fabricated_metal_products,809,471,910,1268,1445,1008,33259,10276,41,87,1688,761,118,479,3651,1259,561,2184,12424,10372,7213,2670,11072,5534,1924,1314,650,890,2589,6,1246,55,3465,77,333,52,404,156,853,84,63,329,1655,4816,5723,0,0,1159,5359,-8632,0,2848,0,0,124,0,0,166,0,272,2844,1155,750,130722,11563
333_Machinery,1106,110,601,2110,1850,827,8972,323,361,105,202,378,717,45,1070,399,223,1318,1534,8761,781,526,5282,2009,100,221,489,384,1107,7,588,923,959,229,1045,6,924,230,667,51,45,153,1470,4040,80014,0,0,1338,22189,-26031,0,2663,0,0,801,0,0,2656,0,114,895,562,1830,52615,87669
334_Computer_and_electronic_products,46,9,13,7,0,351,3627,26,13,3,7,37,216,24,1902,97,31,47,303,1025,49900,1582,3644,6435,14,955,823,210,433,1,5964,750,389,229,2959,624,1283,403,783,8,11,14,1223,16106,77150,0,0,-223,29794,-46424,0,17226,0,0,2132,0,0,2242,0,43,9765,125,643,96997,98003
335_Electrical_equipment_appliances_and_components,442,44,290,343,0,607,14010,7,6,5,252,12,5,35,153,114,79,1087,585,5451,4906,3809,2008,704,52,297,169,180,805,1,583,58,1488,39,641,19,199,151,430,52,104,88,644,15360,10657,0,0,776,4734,-9234,0,825,0,0,221,0,0,366,0,113,518,1068,514,43172,23705
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,502,109,122,544,0,108,329,13,4,21,171,29,25,32,14,33,20,479,216,3153,26,223,63191,1813,52,18,573,4565,912,4,244,65,136,539,123,28,781,54,78,12,17,7,4547,97047,68582,0,0,2921,27006,-66737,0,1658,0,0,162,0,0,4639,0,159,671,239,870,85868,135279
3364OT_Other_transportation_equipment,0,177,0,7,0,8,3,0,0,0,3,0,0,0,0,0,0,4,21,22,0,32,95,19990,0,5,26,0,3613,0,14,56,0,11,0,0,0,6,5,110,5,0,173,5813,10005,0,0,-1751,21462,-8097,0,20495,0,0,2998,0,0,399,0,21,21198,133,25,45760,51325
337_Furniture_and_related_products,60,0,1,2,0,105,4164,2,1,0,172,4,0,9,2,1,1,43,6,3,616,14,47,77,154,25,5,8,66,0,92,6,372,1,4,1,1,10,17,1,6,2,14,15409,13412,0,0,242,490,-3214,0,39,0,0,93,0,0,966,0,29,6,98,3,6253,27437
339_Miscellaneous_manufacturing,54,13,32,39,0,60,1063,47,78,518,272,42,225,15,141,121,62,50,139,384,295,208,390,96,49,2446,322,494,153,1,189,537,188,189,528,1,227,176,5160,110,134,275,1175,25810,10193,0,0,359,2999,-14938,0,160,0,0,101,0,0,810,0,48,295,74,3198,20310,25494
42_Wholesale_trade,5960,665,813,1348,1243,1641,16304,21570,3311,3543,2141,4211,2148,5885,11555,5075,1761,5572,6896,7677,11394,3842,12108,2990,1651,2453,6593,2162,5583,10,3340,922,1994,305,1599,169,1043,477,5188,231,615,4842,2105,80961,32173,72,726,2471,24643,12151,0,2852,0,0,460,0,0,1612,0,430,3318,1528,5237,191446,158122
