commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,F010_Personal_consumption_expenditures,F02E_Private_fixed_investment_in_equipment,F02N_Private_fixed_investment_in_intellectual_property_products,F02T_Private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_National_defense_Consumption_expenditures,F06E_National_defense_Gross_investment_except_structures,F06S_National_defense_Gross_investment_in_structures,F07C_Nondefense_Consumption_expenditures,F07E_Nondefense_Gross_investment_except_structures,F07S_Nondefense_Gross_investment_in_structures,F10C_State_and_local_government_consumption_expenditures,F10E_State_and_local_government_gross_investment_except_structures,F10S_State_and_local_government_gross_investment_in_structures,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government,T001_Total_Intermediate,T004_Total_Final_Uses_GDP
111CA_Farms,17188,1602,0,0,0,2,62,85064,2573,3,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,32,974,54,4,0,1,0,22,0,7,2,0,85,307,35,74,1469,51,19272,0,0,0,5074,19967,-7723,0,0,0,0,0,0,0,0,0,8,666,2,605,111103,36590
113FF_Forestry_fishing_and_related_activities,8687,4469,4,61,0,57,167,2522,263,189,8053,2534,11,4,271,985,6,13,8,7,11,26,9,4,24,88,73,91,42,0,33,20,0,5,10,0,43,166,236,80,170,1096,53,2185,0,0,0,1577,1500,-4093,0,0,0,0,0,0,0,0,0,22,56,115,169,30955,1170
211_Oil_and_gas_extraction,0,0,7334,0,0,26903,0,0,0,0,0,0,0,112777,2516,163,0,28,0,0,0,0,0,0,0,0,0,0,1767,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,-2845,2410,-33097,0,0,0,0,0,0,0,0,0,0,141,0,0,151633,-33532
212_Mining_except_oil_and_gas,327,2,2,5781,49,13651,2628,165,53,10,22,665,12,417,3136,66,3922,9884,110,190,149,236,674,85,9,594,16,15,85,0,67,5,299,3,1,2,13,30,21,3,8,7,13,39,689,0,0,-482,4450,-4280,0,0,0,0,0,0,0,0,0,680,142,1161,284,45693,417
213_Support_activities_for_mining,0,0,2812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,31284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2812,31401
22_Utilities,2541,67,3216,2995,303,172,1550,4433,1694,611,1132,4320,799,4065,9593,2426,3560,10132,3218,1978,2496,1114,2854,883,451,627,3517,8045,1401,100,1127,1372,203,389,1132,1189,1313,672,5085,685,1971,3742,1674,93122,0,0,0,0,196,-4546,0,0,0,0,0,0,0,0,0,228,1717,9950,11668,124411,88772
23_Construction,228,68,0,198,2,4324,104,165,88,43,115,137,58,203,329,124,173,607,714,439,449,163,492,349,107,104,423,930,1956,81,3237,507,10410,74,125,240,105,1270,784,110,395,290,1033,0,0,0,300980,0,50,0,0,0,4934,0,0,7034,0,0,60536,256,2530,4672,16750,55959,373534
311FT_Food_and_beverage_and_tobacco_products,13257,181,8,4,0,2,2,54223,15,754,5,349,5,33,1282,11,24,10,13,17,12,6,6,7,29,131,1041,2836,245,0,215,5,5,2,49,0,6,150,5447,643,2135,38185,446,203715,0,0,0,-3189,13383,-18491,0,0,0,0,0,0,0,1,0,909,1241,5,5027,128973,195419
313TT_Textile_mills_and_textile_product_mills,206,152,1,30,0,41,1355,61,13870,13302,120,821,112,33,154,1549,104,6,30,145,2,63,2162,254,1495,1050,1346,184,767,0,75,111,119,1,12,0,11,10,664,49,288,27,232,13050,2218,0,0,2911,2168,-4740,0,0,0,0,6,0,0,7,0,48,131,42,421,41654,15620
315AL_Apparel_and_leather_and_allied_products,37,14,14,17,0,9,128,15,178,10812,4,15,19,5,12,18,13,17,31,18,69,7,378,10,141,160,79,78,102,0,77,27,14,49,61,0,41,9,445,95,68,50,492,71812,0,0,0,552,1305,-27721,0,0,0,0,0,0,0,0,0,10,425,35,883,15182,45948
