commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,F010_Personal_consumption_expenditures,F02E_Nonresidential_private_fixed_investment_in_equipment,F02N_Nonresidential_private_fixed_investment_in_intellectual_property_products,F02R_Residential_private_fixed_investment,F02S_Nonresidential_private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_Federal_national_defense_Consumption_expenditures,F06E_Federal_national_defense_Gross_investment_in_equipment,F06N_Federal_national_defense_Gross_investment_in_intellectual_property_products,F06S_Federal_national_defense_Gross_investment_in_structures,F07C_Federal_national_nondefense_Consumption_expenditures,F07E_Federal_national_nondefense_Gross_investment_in_equipment,F07N_Federal_national_nondefense_Gross_investment_in_intellectual_property_products,F07S_Federal_national_nondefense_Gross_investment_in_structures,F10C_State_and_local_Consumption_expenditures,F10E_State_and_local_Gross_investment_in_equipment,F10N_State_and_local_Gross_investment_in_intellectual_property_products,F10S_State_and_local_Gross_investment_in_structures,GFE_Federal_government_enterprises,GFG_Federal_general_government
321_Wood_products,648,30,0,356,207,0,46644,431,54,9,26725,6287,3,0,351,1722,355,495,294,561,374,590,3219,245,7095,1388,4687,2692,2842,283,2961,90,7487,341,693,5,736,31,1288,100,338,864,587,4796,0,0,7575,503,-1309,4132,-23172,0,0,0,0,0,0,0,0,0,0,0,0,0,16
322_Paper_products,501,0,103,165,47,31,3657,29836,417,82,556,31343,4769,390,5919,4667,1452,918,2286,1621,183,974,3119,437,1062,1872,6128,4951,5094,404,2909,2085,1203,654,5407,1397,3980,316,4829,238,1006,3045,1795,24258,0,0,0,0,286,18938,-23123,0,0,0,0,0,0,0,0,0,0,0,0,41,949
323_Printing_and_related_support_activities,14,0,5,1,0,3,37,100,0,5,2,0,1253,2,163,0,0,0,0,3,0,0,3,0,0,0,6681,5856,850,7,11747,4407,123,285,8251,1336,2694,855,4556,608,228,438,1548,3219,0,0,0,0,720,1726,-2545,0,0,0,0,0,0,0,0,0,0,0,0,8,910
324_Petroleum_and_coal_products,4603,152,3728,1507,1125,11975,38197,2713,43,14,446,587,583,9588,4604,669,310,861,364,562,40,1197,342,58,197,480,2347,2060,34458,95,1162,7394,4023,1030,2199,772,5158,475,4947,578,287,1591,2141,100976,0,0,0,0,-3342,65697,-38715,0,0,0,0,0,0,0,0,0,0,0,0,1089,8498
325_Chemical_products,25796,1069,6317,2135,925,2044,13690,9442,7648,257,1635,9750,4798,10384,172398,52999,3891,723,6530,2848,913,1694,7841,926,1391,4452,2554,2658,467,679,2617,174,12762,348,24908,1537,10296,1057,57074,837,60,1073,5330,343191,1864,0,0,0,-3207,143836,-287208,0,0,0,0,0,0,0,0,0,0,0,0,90,2372
326_Plastics_and_rubber_products,1960,73,79,643,524,15,32554,21684,319,193,554,2792,695,515,9091,19471,1239,452,2289,5173,441,1379,24441,2138,3141,4182,17802,9964,3265,487,6398,469,614,1356,7074,165,2372,999,14473,200,79,5960,4794,40147,273,0,59,0,-595,22969,-60987,0,0,0,0,0,1,0,0,0,0,0,0,13,1745
327_Nonmetallic_mineral_products,3,20,1400,419,616,59,74206,4651,104,0,757,347,2,1756,1501,1643,14460,1406,1061,1402,127,1304,7795,263,284,665,108,1587,101,184,3679,92,414,343,3905,49,1267,54,3881,62,53,2047,1957,11997,0,0,0,0,-1434,6829,-24877,0,0,0,0,0,0,0,0,0,0,0,0,0,227
331_Primary_metals,130,0,4914,458,251,5,5253,4559,160,0,403,631,22,70,54,1302,1208,52958,60228,24722,2166,13411,42202,5999,3346,5967,1143,920,1164,0,815,1,2280,113,1438,41,851,130,342,148,8,134,781,1385,0,0,0,0,-4089,24177,-65198,0,0,0,0,0,0,0,0,0,0,0,0,0,347
332_Fabricated_metal_products,2154,85,6519,800,616,489,93912,16316,604,316,2379,5002,1454,780,8891,6966,3111,3442,38835,21655,2156,8075,40559,8767,2830,4815,3056,2615,3972,693,13584,460,1903,1172,6761,1180,5226,607,3311,291,660,2863,4973,23090,13140,0,0,0,-2795,26714,-68984,0,389,0,0,0,7,0,0,0,38,0,0,491,6022
333_Machinery,3431,139,9755,3848,3073,1598,37108,4110,30,0,390,723,1545,176,3560,1781,158,748,3730,30214,156,1963,22371,2982,83,881,3266,1338,4087,610,2902,768,324,606,3952,427,6559,1951,1696,110,41,663,7080,11153,233481,0,0,0,-5823,87453,-168102,0,1194,0,0,0,5,0,0,0,5260,0,0,21,886
334_Computer_and_electronic_products,49,0,23,13,50,92,5589,2787,762,153,898,1216,2595,663,6215,3074,1546,1639,5589,8652,14695,4343,23256,8241,1253,3118,14904,4781,361,240,29207,2125,1278,228,17056,9044,4510,1011,10197,124,96,71,5468,106819,200133,0,281,0,-750,88512,-334560,0,13556,0,0,0,370,0,0,0,1609,0,0,1,32098
335_Electrical_equipment_appliances_and_components,2816,128,99,42,273,15,40539,1044,62,8,1943,455,146,181,978,1450,174,1171,2647,14176,965,11115,7705,1226,89,989,1313,1257,468,118,7023,182,1344,213,6171,101,3109,994,1800,285,290,579,5534,44808,34624,0,4960,0,-1776,26010,-115013,0,392,0,0,0,5,0,0,0,578,0,0,44,4873
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,1068,62,692,452,183,24,1730,2107,40,1,509,778,177,226,902,436,486,383,868,10099,130,262,193543,2505,252,344,5716,10251,3676,2670,1172,50,0,925,3027,833,7126,283,2901,252,60,567,12786,262942,242451,0,0,0,-10318,80382,-283847,0,27782,0,0,0,4900,0,0,0,19744,0,0,860,4379
3364OT_Other_transportation_equipment,0,7,0,6,0,0,1,0,0,0,15,0,0,0,0,0,0,0,78,324,0,0,333,50530,0,0,3,14,5282,0,9,0,0,0,858,7,312,0,0,0,0,0,71,23905,42130,0,0,0,1139,70579,-40870,0,32959,0,0,0,352,0,0,0,892,0,0,2,59672
337_Furniture_and_related_products,0,0,0,0,0,0,17871,0,0,0,181,0,0,0,0,257,0,0,0,150,21,0,27,267,3415,32,610,1606,0,0,661,0,2882,0,344,3,1,0,496,149,1,250,161,70746,25553,0,588,0,-3048,2999,-49609,0,0,0,0,0,0,0,0,0,151,0,0,652,0
339_Miscellaneous_manufacturing,71,2,35,27,12,0,918,8,163,130,8,0,6,1,292,122,95,23,44,1739,1,558,1553,29,8,4671,704,1183,238,281,252,126,143,40,2434,14,1985,347,28906,128,13,359,1104,113026,50903,0,0,0,336,27485,-102811,0,10,0,0,0,706,0,0,0,298,0,0,0,538
42_Wholesale_trade,42752,1874,7805,3462,2432,6920,91978,67827,2421,1308,10119,12553,3128,13023,46393,15055,5793,23427,16959,25682,3886,9372,61488,8274,4900,8425,57627,42672,21118,2327,24057,6340,7033,12942,24779,5354,13378,4221,47902,2095,2366,16042,14784,602338,205101,31002,3133,72,-5366,175835,68627,0,17478,483,0,0,2832,592,0,0,10018,1676,0,1272,20795
441_Motor_vehicle_and_parts_dealers,8,1,204,138,92,18,2271,1053,23,1,142,363,92,1,522,180,256,125,335,2554,28,1,2366,944,110,194,217,5390,1206,99,189,57,459,456,960,0,1740,0,0,21,20,76,6225,155754,34915,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445_Food_and_beverage_stores,91,0,1,0,0,126,412,10,0,0,0,2,44,2,95,2,21,0,1,3,0,1,10,0,4,0,37,202,583,0,19,20,152,8,34,0,346,15,33,32,63,2684,57,253098,148,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
452_General_merchandise_stores,135,0,22,10,6,181,2394,173,4,0,11,39,254,15,353,26,51,9,35,195,3,9,222,60,53,16,219,738,884,7,122,116,901,55,318,0,747,98,163,22,200,1180,729,236839,3797,626,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
481_Air_transportation,185,1,16,18,102,446,293,611,25,11,75,103,126,129,253,257,174,93,275,196,17,30,216,98,68,109,2514,363,1438,31,3108,4044,5369,639,6197,206,4776,378,2452,173,58,499,415,62976,391,60,3,0,-9,18155,-11958,0,32,1,0,0,2,1,0,0,9,3,0,258,2848
482_Rail_transportation,2266,39,538,393,119,2760,2685,6228,69,8,876,2154,151,1660,4230,1837,1717,2210,914,429,39,285,1313,227,296,252,313,339,4354,45,277,253,397,71,689,41,471,56,855,50,64,460,218,7573,2477,0,24,0,-187,12240,430,0,949,0,0,0,165,0,0,0,607,0,0,409,486
483_Water_transportation,542,12,369,148,42,415,1170,825,30,0,6,115,1,85,556,154,263,358,117,50,9,72,75,19,13,39,30,52,63,0,46,10,78,7,380,35,124,110,295,10,4,40,49,11193,6,0,0,0,22,5664,11682,0,2,0,0,0,0,0,0,0,0,0,0,357,1652
484_Truck_transportation,8307,467,1491,1233,416,4856,29462,35129,964,219,2700,3630,705,7786,6837,3169,3912,6579,4326,3775,685,1500,9028,1587,1384,1417,5667,10563,9725,291,4062,784,1474,444,5810,512,2635,647,4944,684,320,2403,2559,105992,26306,1420,562,26,-1056,34877,5375,0,878,22,0,0,227,27,0,0,631,77,0,432,3840
485_Transit_and_ground_passenger_transportation,0,2,1,4,38,775,411,157,6,3,28,35,48,47,64,82,56,31,102,67,4,7,47,26,25,50,399,127,493,4,2092,2780,2962,462,5490,102,2800,278,3409,1247,33,271,195,28095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10
486_Pipeline_transportation,159,4,8263,36,18,10561,458,24,2,0,5,15,15,13474,260,11,6,6,5,10,0,4,3,1,2,4,57,42,902,2,21,195,75,24,44,20,113,11,105,14,6,37,47,2583,0,0,0,0,461,11424,0,0,0,0,0,0,0,0,0,0,0,0,0,315,223
487OS_Other_transportation_and_support_activities,0,86,38,1463,4,8478,0,765,71,0,795,553,385,1494,199,612,1190,104,132,15,0,2,7,0,263,229,42505,19228,100112,1645,10942,4496,0,2813,22498,581,5957,486,6830,949,53,416,1587,25118,0,0,0,0,0,11626,3853,0,0,0,0,0,0,0,0,0,0,0,0,819,60
493_Warehousing_and_storage,420,0,8,285,0,461,0,4727,1502,436,3559,3597,1837,3620,3184,6581,2189,114,1719,580,1258,71,216,100,127,593,21401,54633,16037,10727,3427,81,106,502,1807,5,2855,79,1976,197,366,1205,519,94,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283
4A0_Other_retail,1443,5,132,99,19,2174,96034,1278,33,2,98,234,1306,237,2835,155,68,32,208,845,20,93,1131,192,486,82,1178,7095,11226,27,648,609,6917,184,1986,0,1806,326,1127,318,1131,12670,3642,893123,44930,15075,8694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,174
511_Publishing_industries_except_internet_includes_software,49,1,24,0,1,181,660,7,0,0,1,5,41,3,21,10,1,3,31,25,4,1,9,29,5,23,1571,1030,521,104,15857,1522,457,302,7861,2245,2442,739,3223,68,38,66,508,109859,0,142388,0,0,63,33557,-3925,0,0,2067,0,0,0,2537,0,0,0,7191,0,150,2313
512_Motion_picture_and_sound_recording_industries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,711,239,0,62919,41,141,271,2848,180,75,2862,2715,155,1097,2023,736,12181,0,40644,0,0,-10,16693,-9775,0,0,0,0,0,0,0,0,0,0,0,0,4,1907
513_Broadcasting_and_telecommunications,463,14,802,154,300,1364,7268,866,54,27,146,212,300,348,483,452,266,141,628,479,67,99,289,131,111,324,14222,13118,11587,520,126137,22652,21772,2019,28737,5534,17031,2391,12227,1152,710,4248,3577,337718,7146,30846,0,0,0,10264,-123,0,0,0,0,0,0,0,0,0,0,0,0,342,7118
514_Data_processing_internet_publishing_and_other_information_services,0,0,55,5,6,1870,1316,1443,186,87,677,757,367,727,583,1233,688,725,2146,1134,287,224,663,432,457,720,3990,10227,1760,152,28202,14172,1224,6512,29840,7099,27323,4581,7854,920,248,3007,5139,103444,0,14803,0,0,0,5496,-1330,0,0,561,0,0,0,510,0,0,0,1682,0,215,17247
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,1494,47,1994,500,764,8979,9358,3426,171,120,241,311,322,594,1570,1229,902,592,1221,1098,632,296,1026,494,393,688,19869,23843,23361,900,13164,94808,206287,26872,35914,15539,13239,2467,16319,1650,661,2384,13477,312393,0,0,0,0,0,67194,-35,0,0,0,0,0,0,0,0,0,0,0,0,2137,756
523_Securities_commodity_contracts_and_investments,282,24,3267,1283,3492,770,2906,247,12,6,37,32,48,98,47,114,80,826,1535,1292,38,231,1056,458,399,736,2096,1780,17123,51,2231,199211,8633,1467,6601,10647,2915,372,14943,405,1518,3021,16672,267716,0,0,0,0,0,83919,-44,0,0,0,0,0,0,0,0,0,0,0,0,79,69
524_Insurance_carriers_and_related_activities,2531,579,9378,1091,1903,1035,1331,2896,273,199,156,255,84,399,1657,511,935,399,649,1002,150,603,1104,1695,320,480,25243,11092,15556,1909,6901,498161,75756,5526,19805,220,13025,2257,102205,2765,622,3222,3618,420290,0,0,8640,0,0,20779,-57026,0,0,0,0,0,0,0,0,0,0,0,0,229,96971
525_Funds_trusts_and_other_financial_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23782,0,0,0,31,0,0,0,0,0,0,0,170024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,4968,95,5056,1141,1869,1046,26561,3863,102,103,203,790,492,1616,4144,894,808,565,1876,1373,210,412,1490,859,160,1013,28344,16750,21570,1137,27901,18699,2637,5559,24427,22256,8618,2368,8816,1901,930,7304,1883,115578,0,0,0,0,0,83897,0,0,0,0,0,0,0,0,0,0,0,0,0,484,888
5411_Legal_services,301,36,2493,387,625,3926,6482,1171,201,103,683,862,578,1372,3333,1491,523,629,3314,1317,2725,159,1802,2237,287,1419,9783,5026,2899,227,14636,47170,25959,737,23468,8700,9468,365,20575,2061,1096,2903,2569,111219,0,0,31366,0,0,16148,-5047,0,0,0,0,0,0,0,0,0,0,0,0,635,1222
5412OP_Miscellaneous_professional_scientific_and_technical_services,1603,321,5683,2053,3546,13602,91661,16338,1214,648,2701,3178,2136,4590,11377,6693,2971,3390,9585,5346,6260,1585,6191,4223,2330,5631,106380,130615,21901,1702,148547,128853,111401,10244,201066,65066,56999,5851,90059,7157,4912,32593,21686,80477,22806,558084,3550,0,0,176059,-109516,0,0,61229,0,0,0,97948,0,0,0,22607,0,1358,55172
5415_Computer_systems_design_and_related_services,377,23,5812,188,18,1761,5067,888,68,28,142,203,367,867,562,406,223,162,1110,1644,122,67,369,450,127,332,11977,8223,3431,321,29897,22840,3324,837,35775,20495,14745,1822,18887,940,269,1730,2546,0,40260,251204,0,0,0,42645,-31277,0,146,10609,0,0,0,26655,0,0,8,11888,0,304,36531
55_Management_of_companies_and_enterprises,0,0,15693,3368,784,22,12469,30019,1168,1017,941,2896,945,9839,19926,3374,2323,1250,9669,16802,11574,1502,16640,4857,625,4199,87941,52645,22961,812,18702,29484,4348,7584,54278,120,73284,1923,49631,3062,10553,59860,5002,0,0,0,0,0,0,2908,0,0,0,0,0,0,0,0,0,0,0,0,0,446,0
561_Administrative_and_support_services,775,36,1265,596,879,21125,13220,4451,349,444,633,1495,2823,3011,4709,2197,1455,1917,6762,1918,1816,442,2997,2556,328,1343,67776,51178,42402,4625,75384,49707,156265,17627,105550,9287,87874,3980,101271,4356,3514,12265,16365,58524,0,0,0,0,0,3651,-2638,0,0,0,0,0,0,0,0,0,0,0,0,1870,18822
562_Waste_management_and_remediation_services,249,6,1200,224,177,812,3273,1419,73,11,84,252,83,617,1564,312,231,227,314,167,29,49,180,103,80,105,2465,3382,2344,797,659,3882,17028,485,2699,741,14818,814,6692,740,480,2366,1407,29373,0,0,0,0,0,331,-320,0,0,0,0,0,0,0,0,0,0,0,0,163,787
61_Educational_services,17,2,0,0,0,205,7,0,0,0,0,0,51,19,0,2,0,0,0,0,0,0,0,0,0,0,1608,6696,220,0,364,46,0,0,172,0,1427,5153,26,2601,0,0,4803,363713,0,0,0,0,0,4327,-1882,0,0,0,0,0,0,0,0,0,0,0,0,255,2356
621_Ambulatory_health_care_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,98,0,37773,81,0,0,146,1100094,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274
622_Hospitals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3777,0,0,0,0,1152233,0,0,0,0,0,5989,-6070,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623_Nursing_and_residential_care_facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2725
624_Social_assistance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
711AS_Performing_arts_spectator_sports_museums_and_related_activities,76,0,1,0,14,113,146,137,6,3,21,32,36,67,37,90,34,29,66,46,2,4,32,18,12,29,1606,1690,633,40,21183,2402,6971,337,7940,2274,2415,1694,2003,15344,171,913,2038,47324,0,5721,0,0,0,1244,-1405,0,0,0,0,0,0,0,0,0,0,0,0,41,1103
713_Amusements_gambling_and_recreation_industries,27,0,0,1,11,50,126,40,1,0,7,9,13,13,16,22,14,8,26,16,1,1,11,7,6,12,305,503,9,2,428,613,744,68,1099,663,834,72,498,82,111,297,65,141764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212
721_Accommodation,2,0,3,10,86,625,249,337,14,7,60,74,149,106,140,210,117,67,220,145,8,16,100,57,54,103,1008,273,749,109,3887,5614,8161,795,8537,511,5888,374,2960,133,112,736,445,89855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,926
722_Food_services_and_drinking_places,361,15,18,28,209,1326,343,655,33,15,112,139,165,287,214,305,190,130,338,245,16,38,168,88,80,161,3244,5113,11378,170,5026,13792,31055,1605,23450,2506,13784,1148,37265,1476,2295,2518,2084,707718,0,0,0,0,0,1697,0,0,0,0,0,0,0,0,0,0,0,0,0,546,452
81_Other_services_except_government,526,255,174,132,401,565,11529,3503,199,36,481,1741,609,1686,3626,1578,1067,1079,2020,995,231,228,1417,288,220,501,29931,21855,13565,1518,7952,23264,6626,5587,12372,8422,13756,1326,23625,1274,1238,12326,8282,617436,0,0,0,0,0,84,-3909,0,0,0,0,0,0,0,0,0,0,0,0,941,4487
GFE_Federal_government_enterprises,14,1,0,3,0,191,5,0,1,0,0,0,47,64,46,0,0,6,29,200,0,107,0,0,0,23,11000,5086,12740,304,3036,14539,399,667,3358,128,1399,247,2959,139,276,2275,881,5769,0,0,0,0,0,948,-283,0,0,0,0,0,0,0,0,0,0,0,0,1,114
GFGD_Federal_general_government_defense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701608,0,0,0,0,0,0,0,0,0,0,0,0,0
GFGN_Federal_general_government_nondefense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467992,0,0,0,0,0,0,0,0,0
